Item,Alabama,Autauga,Baldwin,Barbour,Bibb,Blount,Bullock,Butler,Calhoun,Chambers,Cherokee,Chilton,Choctaw,Clarke,Clay,Cleburne,Coffee,Colbert,Conecuh,Coosa,Covington,Crenshaw,Cullman,Dale,Dallas,DeKalb,Elmore,Escambia,Etowah,Fayette,Franklin,Geneva,Greene,Hale,Henry,Houston,Jackson,Jefferson,Lamar,Lauderdale,Lawrence,Lee,Limestone,Lowndes,Macon,Madison,Marengo,Marion,Marshall,Mobile,Monroe,Montgomery,Morgan,Perry,Pickens,Pike,Randolph,Russell,St. Clair,Shelby,Sumter,Talladega,Tallapoosa,Tuscaloosa,Walker,Washington,Wilcox,Winston
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","6,330",44,150,89,43,223,14,92,123,68,127,97,19,51,108,65,116,60,34,16,125,80,343,103,19,392,64,43,160,30,139,105,17,38,46,75,172,88,31,160,197,78,138,42,34,141,37,119,237,118,26,44,205,29,86,94,151,46,151,80,13,83,55,86,128,65,22,56
2017,"5,954",33,102,60,41,231,13,99,98,32,77,60,31,39,74,67,106,62,24,18,114,101,370,78,21,395,102,45,152,50,127,110,10,29,76,64,162,88,28,153,233,55,130,65,43,139,35,83,264,106,30,65,198,24,54,81,135,37,89,79,23,67,34,110,95,60,14,64
"Layers                                                                                farms, 2022","4,164",37,133,30,35,114,14,34,86,68,100,91,16,44,51,38,47,47,33,11,81,20,149,41,17,192,58,42,106,22,67,63,11,31,29,70,101,84,29,141,82,70,104,20,33,125,36,53,109,115,25,31,161,29,48,29,74,40,106,71,12,61,43,71,107,64,22,40
2017,"3,793",30,98,29,41,92,5,56,76,32,49,52,29,37,42,28,50,43,22,18,72,26,131,28,16,181,98,44,104,39,54,40,7,21,32,60,103,84,25,140,131,51,85,34,38,128,34,32,120,100,28,48,136,23,25,26,70,34,64,75,22,59,26,95,64,51,14,46
"number, 2022","7,588,334",959,(D),"104,897","1,027","370,801",334,(D),"2,361","1,459",(D),"2,808",384,"1,305","356,274","48,702",(D),(D),(D),132,"442,770","214,380","1,566,017","205,153",855,"1,182,305","1,661","1,310","172,558","1,081","143,135",(D),485,524,(D),"1,489","140,896","2,203",702,"86,046","182,321","1,972","48,195",323,"1,004","3,479","1,966",833,"366,260","4,183",722,566,(D),814,"104,287",(D),"222,443","1,046","2,313","1,551",339,"2,188","1,092","2,164","12,037","97,816",904,"105,045"
2017,"7,867,738","1,025",(D),"158,834",875,"258,259",(D),(D),"1,529",671,(D),"1,305","28,974",516,"174,950",(D),"193,883",(D),(D),413,"739,723","229,585","1,024,436","166,950",766,"1,230,837","2,612","1,117","182,284","1,308","120,431","54,171",121,579,"115,101","1,237","87,610","3,490",353,"204,921","214,571","2,531","68,262",490,917,"4,912",764,"32,447","290,921","5,601",516,"1,130","2,480",523,"223,634","149,570","341,291",885,"1,275","2,994",(D),"1,111",888,"3,226",(D),"228,349",328,"61,575"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"3,507",33,111,24,32,103,13,30,73,64,87,69,14,40,36,32,45,39,30,11,59,12,106,30,13,123,46,41,85,17,60,56,8,29,26,66,89,75,24,123,58,62,96,20,30,114,24,51,94,96,21,29,141,24,45,24,57,35,99,66,12,53,39,55,91,55,16,26
50 to 99.................................................................................,282,3,15,-,2,5,1,-,9,2,11,20,2,-,-,3,-,4,2,-,-,3,5,3,-,9,10,-,5,4,1,6,-,1,-,4,5,8,4,9,12,6,4,-,1,5,8,2,4,4,1,2,16,3,-,2,7,4,6,4,-,4,1,13,8,3,-,6
