Item,Alaska,Aleutian.Islands,Anchorage,Fairbanks,Juneau,Kenai.Peninsula
INVENTORY,,,,,,
"Any poultry                                                                            farms, 2022",289,12,100,56,18,103
2017,214,11,72,48,12,71
"Layers                                                                                farms, 2022",265,9,88,50,17,101
2017,189,11,60,43,11,64
"number, 2022","10,134",304,"4,364","1,426",534,"3,506"
2017,"8,360",520,"4,309","1,527",458,"1,546"
2022 farms by inventory:,,,,,,
1 to 49...................................................................................,221,7,74,39,14,87
50 to 99.................................................................................,25,1,5,8,2,9
100 to 399.............................................................................,15,1,6,3,1,4
"400 to 3,199..........................................................................",4,-,3,-,-,1
"3,200 to 9,999.......................................................................",-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-
"20,000 to 49,999...................................................................",-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-
"100,000 or more....................................................................",-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",45,2,13,10,4,16
2017,51,2,21,9,4,15
"number, 2022",807,(D),298,317,(D),123
2017,"1,368",(D),809,318,(D),168
"Broilers and other meat-type chickens                         farms, 2022",45,2,15,8,5,15
2017,42,3,16,8,3,12
"number, 2022","4,057",(D),890,(D),300,"2,580"
2017,"2,358",(D),977,396,(D),697
"Turkeys                                                                              farms, 2022",58,2,20,13,3,20
2017,44,1,16,13,1,13
"number, 2022",683,(D),174,70,(D),391
2017,375,(D),164,72,(D),115
"Ducks, geese, and other miscellaneous",,,,,,
"poultry                                                                              farms, 2022",115,5,30,21,8,51
2017,85,4,34,19,5,23
NUMBER SOLD,,,,,,
"Any poultry sold                                                                    farms, 2022",228,7,76,48,19,78
2017,177,10,56,44,12,55
"Layers sold                                                                        farms, 2022",49,2,19,4,5,19
2017,34,3,16,8,3,4
"number, 2022","7,489",(D),"6,414",140,(D),659
2017,"6,250",(D),"5,724",227,(D),46
"Pullets for laying flock replacement sold                      farms, 2022",10,1,5,2,-,2
2017,12,1,2,4,1,4
"number, 2022","1,610",(D),"1,180",(D),-,(D)
2017,498,(D),(D),(D),(D),52
"Broilers and other meat-type chickens sold                farms, 2022",48,3,16,11,3,15
2017,34,5,11,7,2,9
"number, 2022","11,666",(D),"5,642","1,064",(D),"2,935"
2017,"9,727","1,050","5,777",(D),(D),875
2022 farms by number sold:,,,,,,
"1 to 1,999..............................................................................",46,3,15,11,3,14
"2,000 to 59,999.....................................................................",2,-,1,-,-,1
"60,000 to 99,999...................................................................",-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",49,2,21,12,5,9
2017,37,2,13,10,3,9
"number, 2022","1,914",(D),"1,193",281,(D),346
2017,"1,063",(D),584,286,(D),93
"Ducks, geese, and other miscellaneous",,,,,,
"poultry sold                                                                     farms, 2022",37,1,11,6,2,17
2017,33,2,13,8,4,6
"2022 Census of Agriculture - Area Data                                                                                                           Alaska 235
USDA, National Agricultural Statistics Service",,,,,,
