Item,Arizona,Apache,Cochise,Coconino,Gila,Graham,Greenlee,La  Paz,Maricopa,Mohave,Navajo,Pima,Pinal,Santa  Cruz,Yavapai,Yuma
INVENTORY,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","2,765",841,195,353,38,34,18,3,290,49,512,110,119,26,139,38
2017,"2,985",748,221,337,43,61,30,8,340,50,645,116,130,25,199,32
"Layers                                                                                farms, 2022","2,147",523,182,286,38,34,16,3,274,37,363,91,107,23,132,38
2017,"2,345",500,205,221,43,60,30,8,321,47,436,109,120,23,190,32
"number, 2022",(D),"4,738","6,049","2,823","1,559",489,186,(D),(D),"1,597","3,842","2,521","2,496",855,"4,288","1,238"
2017,(D),"3,818","8,653","1,847","3,379","1,454",460,(D),(D),"2,885","4,897","2,959","3,027",525,"6,596",550
2022 farms by inventory:,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"2,007",517,161,275,33,32,16,2,238,28,351,80,94,22,124,34
50 to 99.................................................................................,96,6,15,11,4,2,-,-,22,5,10,9,8,-,4,-
100 to 399.............................................................................,30,-,3,-,-,-,-,-,10,3,2,2,5,-,1,4
"400 to 3,199..........................................................................",12,-,3,-,1,-,-,-,3,1,-,-,-,1,3,-
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",577,237,62,43,5,4,-,1,49,8,120,17,10,1,20,-
2017,714,182,37,107,3,24,3,1,66,8,194,15,27,2,40,5
"number, 2022",(D),"1,438","1,589",275,75,60,-,(D),(D),250,979,274,400,(D),509,-
2017,(D),"4,701","1,160",745,39,237,50,(D),(D),122,"1,227",344,293,(D),726,102
"Broilers and other meat-type chickens                         farms, 2022",109,18,10,9,1,1,2,-,17,2,12,10,7,4,16,-
2017,158,2,19,5,4,1,-,-,39,11,7,26,11,1,27,5
"number, 2022","3,741",303,620,104,(D),(D),(D),-,696,(D),124,661,245,70,775,-
2017,"4,466",(D),779,80,(D),(D),-,-,612,320,305,666,289,(D),786,114
"Turkeys                                                                              farms, 2022",428,147,27,53,2,-,1,-,32,5,102,8,24,1,21,5
2017,448,101,34,70,4,9,4,-,46,13,71,20,24,6,43,3
"number, 2022","1,884",352,266,215,(D),-,(D),-,274,14,232,165,61,(D),224,68
2017,"2,334",226,275,166,34,31,10,-,518,81,175,217,130,32,427,12
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,235",436,78,147,9,7,4,2,102,25,267,42,49,7,44,16
2017,"1,270",451,90,140,7,19,11,3,96,17,258,45,40,8,66,19
NUMBER SOLD,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022",852,85,120,79,26,6,6,3,178,24,82,69,60,7,81,26
2017,984,75,156,57,29,29,15,5,195,37,107,71,69,16,110,13
"Layers sold                                                                        farms, 2022",214,28,27,18,5,2,5,1,26,5,42,5,13,-,32,5
2017,248,19,54,11,7,5,4,-,44,11,29,18,8,2,34,2
"number, 2022",(D),618,375,255,361,(D),32,(D),(D),137,379,129,"7,179",-,"1,809",25
2017,(D),67,"6,477",161,154,136,78,-,(D),226,"1,226","1,096",136,(D),921,(D)
"Pullets for laying flock replacement sold                      farms, 2022",47,16,4,-,-,-,-,1,13,1,2,2,-,-,8,-
2017,57,3,6,12,-,1,-,1,6,-,6,-,4,-,18,-
"number, 2022",(D),222,52,-,-,-,-,(D),"2,321",(D),(D),(D),-,-,174,-
2017,(D),30,92,41,-,(D),-,(D),"1,590",-,26,-,34,-,360,-
"Broilers and other meat-type chickens sold                farms, 2022",43,3,10,-,3,-,-,-,11,1,-,2,4,-,7,2
2017,69,-,6,2,1,1,-,-,19,6,5,7,6,-,13,3
"number, 2022","14,754",150,(D),-,129,-,-,-,553,(D),-,(D),(D),-,(D),(D)
2017,"15,148",-,(D),(D),(D),(D),-,-,228,180,196,205,60,-,"8,957",75
2022 farms by number sold:,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",41,3,9,-,3,-,-,-,11,1,-,2,4,-,6,2
"2,000 to 59,999.....................................................................",2,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",49,1,14,5,1,-,-,-,8,2,-,4,-,-,11,3
2017,69,1,4,13,-,-,-,-,10,3,9,6,11,2,10,-
"number, 2022","1,991",(D),"1,098",37,(D),-,-,-,182,(D),-,76,-,-,550,27
2017,"1,431",(D),(D),(D),-,-,-,-,114,6,47,50,68,(D),334,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",142,18,16,10,2,-,-,-,34,5,19,16,8,-,11,3
2017,155,18,33,12,3,-,-,-,18,5,12,11,9,2,30,2
