Item,Arkansas,Arkansas,Ashley,Baxter,Benton,Boone,Bradley,Calhoun,Carroll,Chicot,Clark,Clay,Cleburne,Cleveland,Columbia,Conway,Craighead,Crawford,Crittenden,Cross,Dallas,Desha,Drew,Faulkner,Franklin,Fulton,Garland,Grant,Greene,Hempstead,Hot Spring,Howard,Independence,Izard,Jackson,Jefferson,Johnson,Lafayette,Lawrence,Lee,Lincoln,Little River,Logan,Lonoke,Madison,Marion,Miller,Mississippi,Monroe,Montgomery,Nevada,Newton,Ouachita,Perry,Phillips,Pike,Poinsett,Polk,Pope,Prairie,Pulaski,Randolph,Stone,Union,Van Buren,Washington,White,Woodruff,Yell,St. Francis,Saline,Scott,Searcy,Sebastian,Sevier,Sharp
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","6,732",10,62,67,434,198,42,21,248,13,49,38,110,63,40,135,30,128,24,17,15,8,49,177,113,124,70,67,67,163,97,153,148,83,24,36,120,44,53,-,48,61,205,89,206,60,45,5,-,53,79,59,34,57,4,87,5,110,174,17,99,171,71,46,90,439,244,3,184,4,61,85,81,167,126,123
2017,"6,576",12,35,72,382,199,40,18,287,5,36,27,72,63,76,149,33,132,13,13,12,5,39,197,116,141,71,62,42,128,100,183,114,66,29,53,95,63,63,5,45,49,156,68,255,115,55,-,2,57,59,57,36,68,3,93,26,138,178,10,87,87,81,71,74,449,228,2,152,4,73,87,78,124,138,123
"Layers                                                                                farms, 2022","4,525",10,60,63,293,139,28,21,120,8,42,15,87,11,30,75,28,116,24,17,15,8,41,171,46,114,69,66,67,35,95,29,94,61,20,32,74,13,28,-,15,26,116,86,118,50,43,5,-,43,42,38,31,41,4,48,1,57,117,15,84,110,37,37,83,308,203,3,83,2,61,44,75,122,34,78
2017,"4,249",12,35,69,228,150,27,18,131,5,34,19,39,10,55,81,29,113,13,13,12,5,36,194,43,134,62,49,41,27,97,35,68,40,25,47,56,20,43,4,15,13,59,67,156,92,50,-,2,46,28,51,32,31,3,55,26,68,111,10,75,53,46,57,64,301,217,2,53,3,71,41,71,60,23,78
"number, 2022","14,421,929",192,"245,346","1,456","1,469,123","290,424","547,270",263,"1,932,126",48,(D),251,(D),"100,436","41,550",(D),702,"2,102",838,338,272,95,"169,082","4,121","162,541","66,176",(D),"1,289","2,059","370,581","374,506","509,529",(D),"86,714",545,738,"380,443",221,"121,832",-,"182,318","483,275","163,089","2,446","534,734","1,170","230,793","45,040",-,"121,740","193,697",770,"1,287","1,795",56,"629,673",(D),"141,618","82,714",317,"2,263","1,243,034","1,531",756,"1,760","987,503",(D),90,"471,707",(D),"1,382","89,398","1,093","197,175","101,828","226,410"
2017,"12,285,533",303,(D),"1,373","1,365,181","179,418","580,056","96,468","1,348,923",80,"105,555",(D),"152,070","117,086","194,186","76,527","1,032","3,430",510,371,107,100,"198,030","4,818",(D),"103,883",(D),"1,804",633,"415,341","429,930","690,940",(D),(D),614,"181,218","204,663",(D),(D),200,"214,429",(D),"118,513","2,711","474,184","2,573","83,100",-,(D),"105,123","157,273",(D),"2,514",(D),19,"885,112",662,"104,738","64,672",122,"1,517","263,318","1,035","1,309","1,561","753,511",(D),(D),"325,643",310,"2,091","216,546","1,908","176,924",(D),"288,271"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"3,734",9,46,57,244,112,11,21,89,8,37,15,82,7,25,51,24,113,18,17,15,8,33,153,41,99,64,64,55,19,80,10,89,50,14,28,49,13,18,-,9,12,104,72,76,46,30,2,-,36,29,34,23,38,4,24,1,41,101,15,77,66,32,35,73,252,182,3,59,2,58,37,75,107,24,67
50 to 99.................................................................................,265,1,5,5,14,13,2,-,3,-,1,-,-,-,-,20,4,1,6,-,-,-,2,12,-,6,3,2,7,-,4,-,4,6,6,3,8,-,4,-,-,1,3,11,11,2,5,-,-,2,4,4,5,-,-,2,-,7,7,-,2,6,2,2,9,7,11,-,5,-,3,-,-,5,6,1
100 to 399.............................................................................,93,-,2,1,-,4,-,-,8,-,2,-,3,-,3,3,-,2,-,-,-,-,-,6,-,2,-,-,5,1,1,1,-,-,-,1,-,-,-,-,-,-,2,3,2,2,-,-,-,-,3,-,3,-,-,-,-,-,1,-,5,-,3,-,1,11,7,-,3,-,-,1,-,1,-,-
"400 to 3,199..........................................................................",8,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
