Item,California,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","6,817",37,-,89,181,149,18,42,15,299,207,63,96,7,6,158,46,84,82,139,89,32,88,117,101,45,9,93,118,154,15,329,47,298,209,49,139,408,-,253,305,40,102,91,85,270,-,94,125,351,237,46,152,35,132,77,124,82,158
2017,"7,182",57,2,72,206,142,23,80,17,339,215,64,163,19,3,168,62,68,52,154,93,50,45,143,138,58,14,92,91,167,14,233,43,319,262,66,198,451,-,173,256,40,97,93,76,269,4,118,137,419,238,23,173,59,157,97,140,99,131
"Layers                                                                                farms, 2022","6,310",37,-,86,167,133,18,41,15,288,169,59,84,6,6,143,42,76,80,114,79,31,88,109,94,43,8,90,118,153,13,303,46,271,197,47,130,379,-,237,296,40,98,91,81,252,-,93,116,328,181,39,137,33,118,72,119,74,142
2017,"6,546",53,2,65,185,132,18,76,17,303,165,56,145,16,3,156,52,64,48,132,80,46,45,138,118,56,14,75,90,163,10,217,32,287,238,65,177,426,-,154,242,35,91,92,68,257,4,115,135,400,185,21,164,59,135,85,125,89,125
"number, 2022","13,454,544",720,-,"1,941","5,141","3,095",367,"4,801","95,120","7,659","2,589","2,702","3,106",87,(D),(D),"1,152","1,906","1,856","2,960",(D),"38,370","1,792","3,568","3,410,713",731,66,"4,708","4,487","4,282",411,"5,544","1,531","984,579","6,527","5,627","860,010","1,094,318",-,"1,242,185","9,837","2,894","3,044","3,796",(D),"5,523",-,"2,029","18,994","1,196,304","972,924","1,158",(D),547,"2,009","1,363","5,416","26,018","3,618"
2017,"14,194,957","1,366",(D),"1,475","5,543","2,397",599,"3,194",396,"6,396",(D),"1,895","4,164",494,(D),(D),972,"2,752",837,"3,005","1,996","23,433","1,924","3,817","3,516,959","1,194",211,"1,716","4,769","3,743",351,"9,244",966,"1,007,667","7,420","3,570","550,727","1,808,815",-,"1,454,951","8,475","2,242","5,678","16,210",(D),"6,893",26,"4,251","26,169","1,612,494","1,853,281",627,"10,692","1,277","4,754","3,247","6,951","12,324","2,714"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"5,575",36,-,81,124,124,16,35,13,258,158,52,68,6,4,128,33,73,73,100,71,18,82,97,85,41,8,78,106,136,11,291,40,202,166,40,103,343,-,213,271,29,86,77,66,233,-,82,96,274,170,31,131,31,116,69,115,60,125
50 to 99.................................................................................,434,-,-,5,38,4,2,2,-,16,10,2,8,-,1,6,9,2,6,12,4,-,4,7,-,2,-,4,2,9,1,11,4,48,21,3,6,16,-,17,15,-,6,10,12,16,-,10,14,30,5,6,5,2,-,3,2,5,11
