Item,Colorado,Adams,Alamosa,Arapahoe,Archuleta,Baca,Bent,Boulder,Broomfield,Chaffee,Cheyenne,Clear Creek,Conejos,Costilla,Crowley,Custer,Delta,Denver,Dolores,Douglas,Eagle,Elbert,El Paso,Fremont,Garfield,Gilpin,Grand,Gunnison,Hinsdale,Huerfano,Jackson,Jefferson,Kiowa,Kit Carson,Lake,La Plata,Larimer,Las Animas,Lincoln,Logan,Mesa,Mineral,Moffat,Montezuma,Montrose,Morgan,Otero,Ouray,Park,Phillips,Pitkin,Prowers,Pueblo,Rio Blanco,Rio Grande,Routt,Saguache,San Juan,San Miguel,Sedgwick,Summit,Teller,Washington,Weld,Yuma
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","6,586",204,37,197,57,21,8,192,3,53,3,1,58,4,25,42,319,7,26,270,31,481,376,140,133,9,39,36,-,60,16,145,10,24,-,237,419,53,40,82,614,2,77,165,161,82,46,11,61,15,15,17,140,39,21,136,49,-,9,11,14,42,31,913,57
2017,"6,284",235,23,265,27,18,33,191,8,27,2,-,54,20,50,50,282,2,30,258,31,351,364,185,121,4,39,28,1,47,16,129,10,16,1,191,450,71,19,78,552,2,76,186,179,82,46,22,52,4,16,18,173,58,23,84,42,-,16,12,4,29,58,780,43
"Layers                                                                                farms, 2022","6,236",184,34,186,50,21,8,181,3,53,3,1,58,4,25,38,298,7,26,260,31,458,360,128,123,9,39,36,-,56,16,144,10,24,-,228,397,53,35,74,583,2,69,161,159,78,41,11,51,14,14,15,135,35,19,133,45,-,9,11,14,37,29,853,57
2017,"5,919",220,22,259,26,18,30,180,8,27,2,-,54,20,48,43,261,2,30,242,29,329,353,169,119,3,39,25,1,43,16,123,9,12,1,167,417,62,17,76,537,2,75,174,172,74,43,22,44,4,11,18,171,58,18,79,35,-,14,8,4,29,56,728,41
"number, 2022","1,726,744","4,021",875,"4,046","1,178",390,136,"4,391",45,932,46,(D),"1,282",88,562,634,"7,798",75,350,"4,505",717,"8,969","9,344","2,288","2,874",76,808,"1,523",-,"1,065",250,"2,180",166,458,-,"6,082","10,786",(D),719,"1,831",(D),(D),"1,287","4,037","464,268","1,403",535,267,901,298,"1,379",337,"1,986",497,330,"2,257",(D),-,179,382,163,737,(D),(D),"1,161"
2017,"4,536,917","4,505",405,"4,646",437,476,403,"5,031",24,596,(D),-,"1,504",418,"1,407",655,"7,159",(D),415,"4,542",823,"6,252",(D),"3,195","9,779",42,773,753,(D),681,205,"2,304",381,181,(D),"4,435","9,210","13,150",703,"2,405",(D),(D),"1,145","5,092","352,317","1,658",816,307,696,131,247,338,"2,943",534,570,"1,469",(D),-,596,357,32,378,"9,995","3,589,459",738
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"5,836",164,30,178,45,21,8,165,3,51,3,1,56,4,22,37,275,7,24,251,29,425,321,124,117,9,35,31,-,52,16,141,9,24,-,216,372,50,35,65,561,2,64,145,141,74,40,10,49,13,10,14,133,34,19,126,42,-,8,9,14,35,27,799,51
50 to 99.................................................................................,279,16,2,2,3,-,-,10,-,2,-,-,1,-,2,1,12,-,2,9,2,24,28,3,3,-,3,-,-,4,-,1,1,-,-,10,19,2,-,9,18,-,5,12,7,2,-,-,2,1,-,1,1,1,-,7,2,-,1,-,-,2,1,39,6
100 to 399.............................................................................,97,4,2,5,2,-,-,5,-,-,-,-,1,-,1,-,10,-,-,-,-,9,10,1,1,-,1,5,-,-,-,2,-,-,-,1,4,-,-,-,3,-,-,4,1,2,1,1,-,-,4,-,1,-,-,-,-,-,-,2,-,-,-,14,-
"400 to 3,199..........................................................................",14,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-
"10,000 to 19,999...................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
