Item,Connecticut,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham
INVENTORY,,,,,,,,,
"Any poultry                                                                            farms, 2022","1,339",105,168,276,112,175,201,132,170
2017,"1,371",101,160,298,107,151,216,158,180
"Layers                                                                                farms, 2022","1,209",92,155,245,108,163,175,127,144
2017,"1,265",89,145,268,99,135,211,151,167
"number, 2022",(D),"4,433","5,415","9,323","2,546","5,092",(D),"6,318","5,156"
2017,(D),"21,784","7,039","9,759","3,207","5,061",(D),"5,492","3,510"
2022 farms by inventory:,,,,,,,,,
1 to 49...................................................................................,982,70,132,188,98,135,144,102,113
50 to 99.................................................................................,125,5,9,39,2,22,16,13,19
100 to 399.............................................................................,92,17,13,16,8,6,12,8,12
"400 to 3,199..........................................................................",9,-,1,2,-,-,2,4,-
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",1,-,-,-,-,-,1,-,-
"Pullets for laying flock replacement                              farms, 2022",148,19,22,32,12,21,13,12,17
2017,162,12,11,27,9,34,23,16,30
"number, 2022",(D),"1,019",863,"1,150",216,652,(D),870,650
2017,(D),492,438,"1,650",184,560,(D),295,681
"Broilers and other meat-type chickens                         farms, 2022",140,7,9,38,19,16,17,16,18
2017,159,11,9,57,9,13,27,23,10
"number, 2022","51,667","2,726","3,462","5,099",198,"1,641","2,500","7,055","28,986"
2017,"30,563","2,056","1,528","7,221",(D),"2,421","9,178",916,(D)
"Turkeys                                                                              farms, 2022",154,17,19,25,5,15,38,15,20
2017,110,7,16,20,5,21,17,14,10
"number, 2022","3,108",273,283,500,14,661,572,710,95
2017,"3,294",364,441,813,76,606,293,590,111
"Ducks, geese, and other miscellaneous",,,,,,,,,
"poultry                                                                              farms, 2022",423,39,41,82,22,63,71,45,60
2017,465,37,68,106,48,49,74,33,50
NUMBER SOLD,,,,,,,,,
"Any poultry sold                                                                    farms, 2022",962,89,119,204,71,120,135,93,131
2017,940,78,118,202,89,97,147,98,111
"Layers sold                                                                        farms, 2022",222,21,19,35,25,38,33,22,29
2017,197,22,24,47,28,17,25,15,19
"number, 2022",(D),632,474,"1,884",751,"1,277",(D),"1,305",488
2017,"11,413","2,715",801,"2,065",841,"1,319","1,742",598,"1,332"
"Pullets for laying flock replacement sold                      farms, 2022",26,2,1,5,-,4,5,-,9
2017,14,2,-,-,1,4,5,-,2
"number, 2022",(D),(D),(D),73,-,190,(D),-,(D)
2017,(D),(D),-,-,(D),700,(D),-,(D)
"Broilers and other meat-type chickens sold                farms, 2022",149,11,11,31,9,13,35,14,25
2017,135,6,9,38,13,13,28,12,16
"number, 2022","223,640","4,453","7,570","9,186",720,"1,497","13,603","34,004","152,607"
2017,"83,468","1,950","1,424","10,649",284,"2,423","48,319","1,540","16,879"
2022 farms by number sold:,,,,,,,,,
"1 to 1,999..............................................................................",138,11,9,30,9,13,33,11,22
"2,000 to 59,999.....................................................................",9,-,2,1,-,-,2,3,1
"60,000 to 99,999...................................................................",2,-,-,-,-,-,-,-,2
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",107,18,10,26,-,7,25,7,14
2017,94,7,16,24,4,13,18,2,10
"number, 2022","21,829",739,549,635,-,(D),804,"1,263",(D)
2017,"11,993",376,704,825,28,(D),"1,287",(D),(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,
"poultry sold                                                                     farms, 2022",119,24,8,13,8,20,19,15,12
2017,128,12,24,17,23,10,18,13,11
