Item,Delaware,Kent,New Castle,Sussex
INVENTORY,,,,
"Any poultry                                                                            farms, 2022",804,240,64,500
2017,782,224,65,493
"Layers                                                                                farms, 2022",197,97,48,52
2017,200,84,59,57
"number, 2022",(D),"2,644",(D),"1,778"
2017,(D),"3,140",(D),"2,121"
2022 farms by inventory:,,,,
1 to 49...................................................................................,162,87,35,40
50 to 99.................................................................................,22,7,6,9
100 to 399.............................................................................,10,2,5,3
"400 to 3,199..........................................................................",2,1,1,-
"3,200 to 9,999.......................................................................",-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-
"20,000 to 49,999...................................................................",-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-
"100,000 or more....................................................................",1,-,1,-
"Pullets for laying flock replacement                              farms, 2022",21,16,4,1
2017,27,7,12,8
"number, 2022",(D),(D),(D),(D)
2017,(D),(D),(D),181
"Broilers and other meat-type chickens                         farms, 2022",583,128,7,448
2017,584,141,7,436
"number, 2022","50,458,117","12,831,080","723,600","36,903,437"
2017,"52,484,748","13,572,711","206,336","38,705,701"
"Turkeys                                                                              farms, 2022",18,10,6,2
2017,20,12,6,2
"number, 2022","1,512",(D),459,(D)
2017,233,(D),166,(D)
"Ducks, geese, and other miscellaneous",,,,
"poultry                                                                              farms, 2022",100,43,29,28
2017,66,19,28,19
NUMBER SOLD,,,,
"Any poultry sold                                                                    farms, 2022",722,180,53,489
2017,734,196,52,486
"Layers sold                                                                        farms, 2022",35,15,14,6
2017,42,18,13,11
"number, 2022",(D),309,(D),650
2017,(D),627,(D),233
"Pullets for laying flock replacement sold                      farms, 2022",2,2,-,-
2017,3,3,-,-
"number, 2022",(D),(D),-,-
2017,(D),(D),-,-
"Broilers and other meat-type chickens sold                farms, 2022",588,129,8,451
2017,602,145,11,446
"number, 2022","242,072,919","62,176,017","3,527,430","176,369,472"
2017,"262,807,807","68,820,439","1,031,700","192,955,668"
2022 farms by number sold:,,,,
"1 to 1,999..............................................................................",10,4,1,5
"2,000 to 59,999.....................................................................",10,2,-,8
"60,000 to 99,999...................................................................",40,8,-,32
"100,000 to 199,999...............................................................",116,16,-,100
"200,000 to 499,999...............................................................",235,41,1,193
"500,000 or more....................................................................",177,58,6,113
"Turkeys sold                                                                      farms, 2022",13,7,4,2
2017,20,8,9,3
"number, 2022","8,461",(D),(D),(D)
2017,(D),(D),521,60
"Ducks, geese, and other miscellaneous",,,,
"poultry sold                                                                     farms, 2022",44,13,24,7
2017,23,10,10,3
