Item,Florida,Alachua,Baker,Bay,Bradford,Brevard,Broward,Calhoun,Charlotte,Citrus,Clay,Collier,Columbia,DeSoto,Dixie,Duval,Escambia,Flagler,Franklin,Gadsden,Gilchrist,Glades,Gulf,Hamilton,Hardee,Hendry,Hernando,Highlands,Hillsborough,Holmes,Indian River,Jackson,Jefferson,Lafayette,Lake,Lee,Leon,Levy,Liberty,Madison,Manatee,Marion,Martin,Miami-Dade,Monroe,Nassau,Okaloosa,Okeechobee,Orange,Osceola,Palm Beach,Pasco,Pinellas,Polk,Putnam,St. Johns,St. Lucie,Santa Rosa,Sarasota,Seminole,Sumter,Suwannee,Taylor,Union,Volusia,Wakulla,Walton,Washington
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","6,828",271,91,42,70,94,81,40,37,153,95,41,176,58,30,56,67,14,9,73,93,27,3,38,70,19,175,96,270,95,64,96,88,37,243,146,70,121,33,71,98,523,106,283,-,91,74,47,80,47,176,201,14,192,87,27,74,175,46,66,176,195,37,69,262,64,167,98
2017,"7,029",254,62,51,104,81,79,54,43,149,91,66,208,60,46,45,106,15,-,67,80,27,-,47,79,27,132,102,298,95,59,139,109,43,264,148,50,162,19,54,102,593,126,262,-,69,122,42,101,55,181,184,18,141,135,45,56,120,21,77,183,210,32,59,344,47,125,64
"Layers                                                                                farms, 2022","6,197",229,88,42,58,81,67,34,37,142,95,37,155,56,30,54,64,12,9,65,90,27,3,31,69,18,169,87,245,83,64,88,78,21,218,130,66,110,29,60,78,489,102,262,-,85,70,39,74,38,174,170,14,188,82,25,66,159,44,65,156,141,30,62,258,56,141,88
2017,"6,339",229,50,50,99,75,73,50,40,138,84,60,181,59,43,42,93,15,-,65,71,27,-,42,60,27,121,99,271,83,54,125,102,19,256,134,46,142,19,44,88,552,113,210,-,64,109,39,85,51,166,156,18,137,129,36,50,114,21,74,170,145,31,53,331,43,108,58
"number, 2022","7,096,782","5,815","1,751",835,(D),"3,011","1,783",515,928,"4,880","2,709",664,(D),928,(D),"1,023","1,401",164,132,(D),"1,971",603,82,450,"1,172",(D),"3,965","1,535","6,790","1,316","1,372","2,740","4,069","104,504",(D),"4,851","1,886","3,525",632,(D),"3,938","11,151","2,236","36,755",-,"4,294","1,303",(D),"2,714",441,"5,431","2,636,116",914,(D),(D),517,"1,777","4,464","1,459","1,739",(D),"122,025",335,"1,121","7,405","2,132","22,966","2,452"
2017,"7,536,543","5,878",679,"1,237",(D),"7,727","4,477","1,022","1,445","3,955","2,359",(D),(D),"2,118",(D),"1,484","3,660",290,-,(D),"1,809",400,-,919,"1,215",605,"3,206","8,840","10,784","2,055","1,233","2,503","1,952","99,645",(D),"5,923","1,182","2,400",396,"45,553","12,492","11,373","3,621","11,910",-,"3,770","2,888",(D),"3,154",941,"6,308",(D),280,(D),(D),"1,708","1,100","2,596",343,"3,994",(D),"70,199","1,729","1,936","7,387","3,088","22,243",985
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"5,439",200,85,41,57,66,61,32,32,116,83,36,128,53,25,51,57,12,9,52,83,24,3,30,64,14,152,81,219,79,55,75,70,13,192,102,59,94,23,54,60,457,95,209,-,75,66,28,53,38,140,144,12,151,72,25,52,132,37,56,143,131,30,54,225,52,135,85
50 to 99.................................................................................,508,23,1,1,-,10,5,2,2,19,7,-,17,3,3,3,7,-,-,11,6,1,-,1,-,-,7,2,14,4,9,9,4,3,10,20,-,13,6,5,16,20,3,37,-,8,4,6,14,-,28,21,-,25,6,-,10,22,2,9,11,3,-,7,24,-,2,2
