Item,Georgia,Appling,Atkinson,Bacon,Baker,Baldwin,Banks,Barrow,Bartow,Ben Hill,Berrien,Bibb,Bleckley,Brantley,Brooks,Bryan,Bulloch,Burke,Butts,Calhoun,Camden,Candler,Carroll,Catoosa,Charlton,Chatham,Chattahoochee,Chattooga,Cherokee,Clarke,Clay,Clayton,Clinch,Cobb,Coffee,Colquitt,Columbia,Cook,Coweta,Crawford,Crisp,Dade,Dawson,Decatur,DeKalb,Dodge,Dooly,Dougherty,Douglas,Early,Echols,Effingham,Elbert,Emanuel,Evans,Fannin,Fayette,Floyd,Forsyth,Franklin,Fulton,Gilmer,Glascock,Glynn,Gordon,Grady,Greene,Gwinnett,Habersham,Hall,Hancock,Haralson,Harris,Hart,Heard,Henry,Houston,Irwin,Jackson,Jasper,Jeff Davis,Jefferson,Jenkins,Johnson,Jones,Lamar,Lanier,Laurens,Lee,Liberty,Lincoln,Long,Lowndes,Lumpkin,McDuffie,McIntosh,Macon,Madison,Marion,Meriwether,Miller,Mitchell,Monroe,Montgomery,Morgan,Murray,Muscogee,Newton,Oconee,Oglethorpe,Paulding,Peach,Pickens,Pierce,Pike,Polk,Pulaski,Putnam,Quitman,Rabun,Randolph,Richmond,Rockdale,Schley,Screven,Seminole,Spalding,Stephens,Stewart,Sumter,Talbot,Taliaferro,Towns,Treutlen,Troup,Turner,Twiggs,Union,Upson,Walker,Walton,Ware,Warren,Washington,Wayne,Webster,Wheeler,White,Whitfield,Wilcox,Wilkes,Wilkinson,Worth,Tattnall,Taylor,Telfair,Terrell,Thomas,Tift,Toombs
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","6,840",93,29,38,10,7,152,53,98,14,33,20,9,29,36,21,68,44,29,7,27,35,178,49,18,8,2,29,49,14,2,5,1,30,88,59,62,28,62,54,8,37,47,14,-,73,11,3,12,10,8,59,122,39,24,28,39,79,57,211,52,126,9,29,160,50,27,22,85,132,21,75,34,181,38,44,43,15,142,62,35,24,23,28,25,48,18,97,10,16,25,17,49,76,49,11,49,186,34,52,8,44,46,20,71,59,2,55,43,111,65,42,51,43,47,75,9,28,5,18,-,30,18,9,32,5,28,49,6,23,1,8,23,32,47,6,15,58,28,146,72,28,9,33,54,1,5,87,64,22,50,20,30,119,32,14,10,38,15,41
2017,"7,047",83,25,20,21,25,169,48,121,20,32,28,6,36,34,25,39,40,23,10,16,15,203,36,33,20,6,43,81,17,2,3,2,34,78,72,55,21,62,44,12,36,35,27,9,52,18,9,10,23,1,67,82,53,9,45,36,87,57,252,34,135,10,13,184,37,45,30,115,134,18,82,74,134,63,68,47,11,188,50,53,23,18,48,16,36,20,59,17,20,13,18,39,65,49,2,73,171,21,47,13,43,38,14,84,62,11,62,47,115,41,31,58,39,56,60,24,19,8,28,2,41,25,13,25,14,40,53,8,17,5,9,10,7,49,21,21,22,61,154,63,31,23,40,45,7,7,72,77,19,59,22,34,132,13,22,3,27,23,30
"Layers                                                                                farms, 2022","4,682",51,17,28,8,5,63,23,65,12,25,14,9,29,33,18,62,40,28,3,21,29,87,38,17,5,-,20,47,12,2,5,1,30,41,25,59,21,57,33,7,26,17,6,-,68,3,2,12,10,8,53,73,34,8,25,37,64,42,90,50,48,9,29,78,22,16,18,47,80,12,58,33,95,20,40,42,10,64,55,23,22,21,28,19,37,18,97,10,16,20,12,41,45,48,11,19,95,25,52,6,18,30,19,53,22,2,48,35,41,64,39,41,34,41,65,6,27,5,8,-,25,12,8,27,4,18,31,6,19,-,3,15,30,42,5,11,54,23,112,51,25,6,31,51,1,5,32,51,11,37,19,26,17,23,13,9,28,15,29
2017,"4,743",39,9,12,14,25,58,33,91,17,25,25,6,36,29,23,33,35,20,5,13,13,121,30,31,19,5,28,74,12,2,3,1,34,40,30,49,18,61,25,8,27,15,11,9,49,13,5,8,21,1,67,45,51,2,39,30,70,31,105,34,47,10,13,95,21,26,28,64,71,16,49,66,62,48,62,43,4,97,49,48,21,18,37,15,21,20,54,17,19,13,14,37,38,43,2,30,86,18,46,7,19,28,8,61,17,11,44,36,47,36,25,26,37,45,45,15,17,8,19,2,34,25,8,24,8,37,22,6,8,5,2,9,7,45,15,19,21,47,113,54,28,23,38,37,7,7,29,49,7,29,17,29,33,7,20,3,21,22,22
"number, 2022","22,129,571","597,265","44,407","421,852",(D),110,"533,691",371,(D),266,(D),334,158,(D),989,"1,256","1,365","1,014",364,145,559,"55,992","146,490",962,459,254,-,"172,473",876,332,(D),102,(D),"2,146",(D),"210,653",968,501,"1,073",(D),383,"102,465",(D),70,-,"1,547",71,(D),545,(D),"121,798","2,104","568,939","1,132",102,(D),461,"1,010","51,258","1,042,437","1,379","324,737",497,"1,650","116,459",455,(D),452,"457,841","2,097,101",413,(D),924,"1,422,028",424,635,"8,386",266,(D),"4,890,427","140,460",454,300,"1,004","1,533","1,847",692,"78,347",255,272,293,485,"1,168","121,794","1,998",291,549,"378,069","8,693",977,225,(D),837,(D),(D),"180,245",(D),"1,588","1,339","89,573","7,556",808,787,674,"1,947","1,620",43,404,127,88,-,946,348,181,301,628,697,"75,187",73,(D),-,48,190,779,"1,084",79,216,"1,161",727,"373,943","1,790",427,283,555,"264,015",(D),305,"144,460","193,611",851,979,714,"120,719","155,780",671,246,188,(D),264,"115,486"
2017,"17,966,521","139,585",(D),"746,458","98,107",252,"534,943",(D),"119,427",243,"107,868",866,100,(D),(D),175,"1,959","1,904",322,228,904,(D),"70,369",(D),(D),630,30,"106,438","1,687",183,(D),64,(D),"1,443",(D),"220,342","1,463",(D),"1,767",683,430,(D),321,(D),854,"1,279",447,83,115,(D),(D),"2,416","271,998","2,464",(D),"83,214",674,"1,895",(D),"1,512,764",931,"357,327",136,574,"143,043",433,(D),667,"386,244","1,779,419",224,743,"2,191","1,002,729","52,555","2,317","1,295",121,"1,922,133",(D),(D),"11,973",830,"1,198",485,"1,304",277,(D),292,404,385,"1,634","1,789","126,225","1,076",(D),"119,511","565,289",(D),"1,913",158,(D),"2,465",(D),(D),(D),282,"1,329",668,"179,341","1,391","1,096",732,987,"1,416","1,600",172,178,206,316,(D),"1,194",976,179,618,368,"1,331","98,351",682,(D),119,(D),172,214,"1,292",214,492,(D),607,"162,060","1,568",(D),425,"1,791","263,742",200,85,"217,287","185,549",140,(D),554,"83,892","319,905",155,805,116,392,580,(D)
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"3,711",31,14,25,7,5,30,22,61,12,21,14,9,21,24,10,55,30,28,2,20,23,77,32,15,2,-,12,44,9,1,5,1,15,29,17,56,16,51,26,5,21,14,6,-,57,3,2,7,9,6,45,37,25,8,18,36,60,34,42,42,23,6,16,59,20,14,16,22,59,9,48,29,40,18,40,34,8,49,45,14,20,21,20,16,26,15,76,7,15,19,5,40,38,40,11,16,65,18,48,5,15,27,14,44,16,2,38,33,31,59,37,39,33,31,57,6,26,4,8,-,20,9,8,27,-,9,23,6,16,-,3,15,28,38,5,9,47,19,89,45,24,5,31,44,1,1,13,40,7,34,14,14,10,20,11,9,23,14,21
50 to 99.................................................................................,401,-,-,-,-,-,1,1,2,-,2,-,-,2,8,6,7,9,-,1,-,-,5,6,-,3,-,3,3,3,-,-,-,8,4,3,3,5,6,6,1,1,-,-,-,11,-,-,5,-,-,1,-,9,-,6,1,4,3,2,6,4,2,5,11,2,-,2,2,2,1,6,3,-,2,-,5,2,9,5,6,2,-,6,-,8,-,15,3,1,1,7,-,3,3,-,-,9,-,4,-,1,-,2,4,-,-,8,-,5,-,2,2,1,5,8,-,1,1,-,-,2,3,-,-,3,8,3,-,2,-,-,-,-,3,-,2,7,1,5,4,1,-,-,2,-,4,5,3,3,-,4,5,1,3,2,-,3,1,3
