Item,Hawaii_S,Hawaii,Honolulu,Kauai,Maui
INVENTORY,,,,,
"Any poultry                                                                            farms, 2022",782,437,110,42,193
2017,766,410,97,48,211
"Layers                                                                                farms, 2022",697,395,87,34,181
2017,674,362,71,45,196
"number, 2022","298,360","10,218","278,241","3,017","6,884"
2017,"192,185","7,999",(D),"1,059",(D)
2022 farms by inventory:,,,,,
1 to 49...................................................................................,579,330,71,26,152
50 to 99.................................................................................,80,47,9,6,18
100 to 399.............................................................................,27,18,2,-,7
"400 to 3,199..........................................................................",6,-,-,2,4
"3,200 to 9,999.......................................................................",2,-,2,-,-
"10,000 to 19,999...................................................................",1,-,1,-,-
"20,000 to 49,999...................................................................",-,-,-,-,-
"50,000 to 99,999...................................................................",1,-,1,-,-
"100,000 or more....................................................................",1,-,1,-,-
"Pullets for laying flock replacement                              farms, 2022",78,44,14,2,18
2017,58,29,7,4,18
"number, 2022",(D),558,(D),(D),732
2017,"23,538",(D),(D),166,"1,126"
"Broilers and other meat-type chickens                         farms, 2022",55,25,2,9,19
2017,81,40,15,-,26
"number, 2022","12,768","1,448",(D),714,(D)
2017,"12,753",(D),(D),-,"1,437"
"Turkeys                                                                              farms, 2022",32,13,9,-,10
2017,12,1,6,-,5
"number, 2022",361,156,109,-,96
2017,207,(D),102,-,(D)
"Ducks, geese, and other miscellaneous",,,,,
"poultry                                                                              farms, 2022",257,135,54,7,61
2017,229,111,47,13,58
NUMBER SOLD,,,,,
"Any poultry sold                                                                    farms, 2022",476,244,77,29,126
2017,425,181,61,37,146
"Layers sold                                                                        farms, 2022",82,44,7,7,24
2017,75,27,10,6,32
"number, 2022","14,887","1,322",(D),136,(D)
2017,"46,362",525,"44,591",156,"1,090"
"Pullets for laying flock replacement sold                      farms, 2022",11,5,3,-,3
2017,10,-,4,3,3
"number, 2022",(D),80,(D),-,105
2017,(D),-,(D),36,300
"Broilers and other meat-type chickens sold                farms, 2022",25,10,2,3,10
2017,31,8,6,-,17
"number, 2022","8,918","1,189",(D),60,(D)
2017,"8,356",98,(D),-,(D)
2022 farms by number sold:,,,,,
"1 to 1,999..............................................................................",24,10,1,3,10
"2,000 to 59,999.....................................................................",1,-,1,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-
"Turkeys sold                                                                     farms, 2022",7,2,-,-,5
2017,5,1,-,-,4
"number, 2022",96,(D),-,-,(D)
2017,89,(D),-,-,(D)
"Ducks, geese, and other miscellaneous",,,,,
"poultry sold                                                                     farms, 2022",77,44,10,-,23
2017,79,24,27,10,18
