Item,Idaho_s,Ada,Adams,Bannock,Bear Lake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,Nez Perce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,Twin Falls,Valley,Washington
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","3,678",267,18,223,39,41,147,22,26,256,145,55,12,12,524,46,34,3,34,23,61,98,44,169,48,78,101,43,265,108,55,16,23,25,45,59,52,58,84,17,20,30,164,18,70
2017,"3,791",309,30,94,37,34,142,14,19,358,180,52,14,16,468,63,46,-,55,25,70,72,39,163,48,92,86,49,280,159,60,7,34,46,59,68,31,62,110,15,8,39,141,11,86
"Layers                                                                                farms, 2022","3,514",258,18,206,38,39,140,21,23,250,139,48,10,10,496,46,32,1,32,22,61,94,41,163,45,73,95,39,259,97,55,16,23,23,45,58,48,54,82,15,20,30,162,18,69
2017,"3,579",303,28,91,37,34,136,14,19,335,166,47,14,15,433,61,46,-,48,25,70,67,39,150,39,91,86,44,268,149,58,6,34,41,50,64,31,52,106,10,8,36,138,6,84
"number, 2022","638,424","4,662",341,"3,448",646,962,"3,548",501,497,"5,589","1,965","1,064",92,227,"31,361",867,(D),(D),629,568,"1,583",(D),938,"2,622",556,"1,233","1,638",(D),"4,617","1,777",988,211,526,352,667,949,"1,029",740,"1,608",160,318,"1,493",(D),430,"1,160"
2017,"472,192","5,156",316,"2,423",543,761,"2,673",226,377,(D),"2,823",970,284,301,"25,161","1,088",(D),-,647,310,"2,306",(D),961,"3,134",831,"2,253","1,344",891,"4,905","2,677",923,65,705,637,502,812,303,807,"3,833",163,172,672,"2,742",83,"2,333"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"3,277",247,18,198,37,37,130,20,20,222,135,45,10,10,453,43,29,1,30,19,57,92,35,157,45,68,85,35,247,92,52,15,20,23,43,56,41,52,74,15,20,18,153,16,62
50 to 99.................................................................................,179,8,-,5,1,-,6,1,3,21,4,3,-,-,31,3,2,-,2,3,3,1,5,5,-,5,10,2,9,5,3,1,3,-,2,2,5,2,5,-,-,7,2,2,7
100 to 399.............................................................................,44,2,-,3,-,2,2,-,-,7,-,-,-,-,5,-,-,-,-,-,1,-,1,1,-,-,-,1,3,-,-,-,-,-,-,-,2,-,3,-,-,5,6,-,-
