Item,Illinois,Adams,Alexander,Bond,Boone,Brown,Bureau,Calhoun,Carroll,Cass,Champaign,Christian,Clark,Clay,Clinton,Coles,Cook,Crawford,Cumberland,De Kalb,De Witt,Douglas,Du Page,Edgar,Edwards,Effingham,Fayette,Ford,Franklin,Fulton,Gallatin,Greene,Grundy,Hamilton,Hancock,Hardin,Henderson,Henry,Iroquois,Jackson,Jasper,Jefferson,Jersey,Jo Daviess,Johnson,Kane,Kankakee,Kendall,Knox,Lake,La Salle,Lawrence,Lee,Livingston,Logan,McDonough,McHenry,McLean,Macon,Macoupin,Madison,Marion,Marshall,Mason,Massac,Menard,Mercer,Monroe,Montgomery,Morgan,Moultrie,Ogle,Peoria,Perry,Piatt,Pike,Pope,Pulaski,Putnam,Randolph,Richland,Rock Island,St. Clair,Saline,Sangamon,Schuyler,Scott,Shelby,Stark,Stephenson,Tazewell,Union,Vermilion,Wabash,Warren,Washington,Wayne,White,Whiteside,Will,Williamson,Winnebago,Woodford
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","4,797",54,5,37,60,24,63,11,39,5,73,38,37,32,53,27,22,41,26,77,26,45,22,25,17,75,57,22,39,65,2,24,35,19,44,9,17,79,94,75,27,61,20,69,52,58,74,41,58,48,102,33,44,62,25,23,232,84,25,87,86,48,32,16,20,20,27,39,57,17,74,72,79,19,33,37,26,6,8,65,30,52,87,31,40,10,11,44,27,101,75,35,48,9,64,29,69,27,69,145,65,114,94
2017,"4,402",36,10,53,65,9,48,21,23,12,49,23,29,17,35,21,30,27,29,68,48,54,12,21,16,79,57,15,28,49,-,17,34,14,28,11,24,84,47,76,40,87,38,55,45,70,58,34,37,53,75,24,69,54,19,48,167,75,13,75,69,63,38,11,29,21,42,54,50,22,63,90,70,28,14,27,24,13,6,59,40,45,66,46,59,25,4,49,10,65,66,28,43,6,74,12,63,34,53,117,64,101,84
"Layers                                                                                farms, 2022","4,496",47,5,37,56,22,58,11,37,1,72,35,33,32,48,24,22,35,23,70,26,44,22,25,15,71,54,21,36,65,2,24,34,19,44,9,16,77,82,72,25,52,20,61,50,54,68,35,55,45,94,23,43,57,24,23,211,84,23,81,81,45,32,16,20,18,24,39,51,16,64,68,78,19,33,37,26,5,8,64,27,51,80,30,37,6,11,43,27,98,66,35,44,9,59,28,58,27,56,144,65,106,91
2017,"4,077",35,10,52,55,7,41,21,21,11,46,22,28,17,28,21,30,20,28,58,48,43,12,21,16,78,54,13,22,49,-,17,33,13,27,10,21,78,44,71,39,72,37,53,39,67,55,28,35,48,72,17,64,47,17,47,159,71,12,74,58,59,38,11,27,18,42,48,50,19,48,86,70,26,8,25,24,13,6,56,32,39,64,45,59,22,4,40,10,65,63,26,42,5,70,12,51,30,48,108,59,96,81
"number, 2022","7,278,610","4,074",175,"1,143","1,803","1,547","128,277",261,947,(D),"6,748","1,907",455,529,(D),434,891,634,301,"1,516",922,"2,098",475,"2,781",334,"1,166","7,178","1,787",835,"2,835",(D),547,"1,035",876,960,890,341,"1,990",(D),"106,897",389,"39,112",432,"1,094","1,307","14,839",(D),793,"1,335","1,389","3,222",615,"82,125","3,035",444,(D),"8,311","2,894",688,"2,357","2,219",(D),700,321,176,366,541,"1,445",653,"3,277","1,464",(D),"2,324",518,956,639,693,(D),356,"1,056","1,031","1,210","4,235","63,989","1,403",316,233,"1,050",647,(D),"4,189","1,214",973,217,"1,530",803,(D),433,"125,022","7,729",(D),"3,134","3,502"
2017,"5,470,158",991,313,"2,106","1,901",111,"21,225",508,649,271,"7,381",497,394,475,(D),469,"1,180",388,606,"1,428","1,247","2,503",210,"1,080",298,"1,551","1,102","1,863",274,"2,451",-,530,774,976,555,150,681,"1,668",(D),"54,862",773,"1,021","1,815","1,099","1,168","3,412",(D),966,684,"2,358","1,663",467,"65,887","2,435",264,"1,336","4,928","3,281",278,"2,185","1,733",(D),"2,058",421,409,412,"1,158","1,132",991,774,"3,499","2,168","2,263",566,"1,679",795,"4,152",248,216,"2,717",521,"1,330","2,637","82,269","3,894",252,248,"1,231",216,(D),"2,324",829,"1,276",363,"1,365",264,(D),525,"108,388","2,196",(D),"2,339",(D)
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"3,840",35,4,32,49,14,46,10,34,1,61,31,33,30,37,22,13,34,23,69,20,34,20,22,14,66,50,17,30,47,2,19,30,18,39,6,13,68,76,55,25,50,18,57,44,43,50,33,53,39,74,18,32,46,22,18,157,75,18,72,68,41,32,14,20,18,22,35,51,13,61,52,66,16,31,37,22,4,6,64,20,45,71,24,30,5,10,37,25,82,52,25,36,8,53,19,50,27,41,117,60,92,70
50 to 99.................................................................................,413,6,-,1,6,6,4,1,2,-,9,1,-,2,3,2,6,1,-,1,3,8,2,-,-,5,2,2,6,12,-,5,3,-,4,2,3,4,5,5,-,-,2,3,6,2,16,2,-,5,14,5,3,7,2,3,35,1,5,7,10,1,-,2,-,-,2,2,-,-,1,9,8,2,1,-,3,-,-,-,4,6,4,3,4,-,1,5,1,15,9,6,8,1,6,9,7,-,3,18,1,9,12
