Item,Indiana,Adams,Allen,Bartholomew,Benton,Blackford,Boone,Brown,Carroll,Cass,Clark,Clay,Clinton,Crawford,Daviess,Dearborn,Decatur,DeKalb,Delaware,Dubois,Elkhart,Fayette,Floyd,Fountain,Franklin,Fulton,Gibson,Grant,Greene,Hamilton,Hancock,Harrison,Hendricks,Henry,Howard,Huntington,Jackson,Jasper,Jay,Jefferson,Jennings,Johnson,Knox,Kosciusko,LaGrange,Lake,LaPorte,Lawrence,Madison,Marion,Marshall,Martin,Miami,Monroe,Montgomery,Morgan,Newton,Noble,Ohio,Orange,Owen,Parke,Perry,Pike,Porter,Posey,Pulaski,Putnam,Randolph,Ripley,Rush,St. Joseph,Scott,Shelby,Spencer,Starke,Steuben,Sullivan,Switzerland,Tippecanoe,Tipton,Union,Vanderburgh,Vermillion,Vigo,Wabash,Warren,Warrick,Washington,Wayne,Wells,White,Whitley
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","7,046",294,185,42,14,21,37,50,50,53,78,58,34,36,277,57,34,88,77,89,544,23,38,20,51,69,28,29,100,80,55,115,98,62,50,46,44,44,98,93,45,72,27,163,765,55,75,104,63,35,121,32,56,73,79,73,15,197,10,53,67,103,39,12,79,23,24,75,51,88,27,77,44,51,56,21,46,23,44,88,37,18,24,19,45,51,41,43,133,109,33,30,51
2017,"6,752",258,147,61,23,9,67,38,65,75,80,26,56,36,270,87,39,63,58,88,418,30,22,26,69,53,24,60,118,65,64,119,112,47,34,35,64,38,97,119,68,100,37,114,594,38,52,96,52,43,94,37,43,83,47,71,14,146,13,64,124,87,48,18,61,31,22,113,54,116,43,64,41,56,45,34,25,36,70,83,24,7,24,26,36,50,33,49,131,94,36,31,74
"Layers                                                                                farms, 2022","6,009",240,172,41,14,21,36,50,48,51,76,58,31,35,206,57,28,84,73,34,404,21,36,17,51,64,26,28,69,68,54,100,98,56,44,41,43,43,57,93,42,62,18,138,576,46,75,102,58,35,106,13,56,68,74,68,12,167,10,39,67,94,35,4,72,23,22,72,34,80,27,70,42,48,41,20,42,17,44,78,33,18,22,18,45,41,40,40,93,87,29,30,48
2017,"5,858",219,139,61,23,6,60,38,61,74,70,25,55,34,208,80,35,62,55,34,311,28,18,23,66,44,22,59,101,57,63,107,102,45,34,28,63,34,58,115,55,93,25,88,484,36,46,88,49,39,83,14,43,80,44,69,10,123,12,56,120,85,39,12,56,30,21,110,45,101,36,62,36,56,39,34,25,31,69,69,23,7,21,21,36,44,31,42,87,87,28,31,70
"number, 2022","35,924,482",(D),"63,498","1,029",225,437,"1,044","1,674","36,905",944,"1,863","1,142",(D),758,"3,823",769,483,"1,857","2,533",(D),"876,309",311,"1,617",304,"1,215",(D),"1,623",921,"1,415","1,692","3,169","2,456","3,392","2,324",792,"647,493",(D),872,"9,755,139","1,908",(D),"1,406",412,(D),"1,812,022","1,452","1,779","2,329","1,911","1,842","71,894",234,"2,204","1,184","2,320","1,618",(D),"119,480",166,(D),"1,478","59,981",667,72,"1,540",400,(D),"2,099",(D),"2,254",858,"2,623",862,"2,391","1,408",306,640,293,"1,942","1,944",(D),201,374,269,925,(D),"1,033",981,"162,368","8,069",(D),434,721
2017,"26,354,377",(D),"119,720","1,071",719,119,"1,815","1,011",(D),"1,492","1,691",671,(D),561,"5,977","1,086",698,"1,262","1,026",(D),"460,792",355,743,637,"2,092",(D),365,"22,847","4,928","2,009","2,212","3,357","4,517","2,413","2,581","657,226",(D),619,"5,879,710","2,080",(D),"1,626",840,(D),"901,594",824,"1,127","2,033","1,345","1,011","54,440",125,"1,659","1,488","4,069","2,069",(D),"199,171",142,(D),"2,597","3,620","1,547",363,"2,088",771,(D),"2,761",748,"1,857",614,(D),666,"3,777","1,312","3,422",442,"1,349","1,782","1,617",(D),66,396,368,"1,049","1,638",714,809,"72,335","5,258",(D),(D),"2,066"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"5,135",205,159,32,14,20,33,41,42,47,66,56,23,33,196,56,27,82,56,23,290,21,27,16,44,56,19,25,64,57,39,92,85,51,41,28,41,41,38,86,27,54,18,117,428,38,68,85,52,27,90,12,48,64,67,59,11,146,10,33,63,69,32,4,64,22,21,59,25,75,24,60,40,39,33,19,40,15,40,71,32,18,21,18,42,34,36,34,81,81,21,29,47
50 to 99.................................................................................,402,26,7,9,-,-,2,2,4,4,8,-,1,1,7,-,1,1,15,2,38,-,3,1,6,3,-,-,3,9,3,3,7,2,3,2,1,2,4,5,12,7,-,10,27,2,6,15,3,5,5,1,1,4,5,3,-,10,-,5,2,11,2,-,5,1,-,11,2,4,-,8,2,5,6,1,2,2,2,5,-,-,1,-,2,2,4,6,2,3,3,1,1
100 to 399.............................................................................,203,6,3,-,-,1,1,7,-,-,2,2,3,1,3,1,-,-,2,5,12,-,6,-,1,3,6,3,2,2,10,5,4,2,-,1,-,-,3,2,2,1,-,6,19,6,1,2,3,-,8,-,7,-,1,6,-,6,-,-,2,7,1,-,3,-,-,2,2,-,3,-,-,1,2,-,-,-,-,2,-,-,-,-,1,3,-,-,5,-,2,-,-
"400 to 3,199..........................................................................",83,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1,-,2,35,-,-,-,-,-,1,-,-,-,2,-,2,1,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,2,-,3,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,3,1,-,-
"3,200 to 9,999.......................................................................",12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"10,000 to 19,999...................................................................",35,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,24,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
"20,000 to 49,999...................................................................",109,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,2,-,-,-,-,-,-,-,-,-,6,-,-,4,-,-,-,-,4,62,-,-,-,-,-,2,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
"50,000 to 99,999...................................................................",7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",23,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,6,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,2,-,-
