Item,Iowa,Adair,Adams,Allamakee,Appanoose,Audubon,Benton,Black Hawk,Boone,Bremer,Buchanan,Buena Vista,Butler,Calhoun,Carroll,Cass,Cedar,Cerro Gordo,Cherokee,Chickasaw,Clarke,Clay,Clayton,Clinton,Crawford,Dallas,Davis,Decatur,Delaware,Des Moines,Dickinson,Dubuque,Emmet,Fayette,Floyd,Franklin,Fremont,Greene,Grundy,Guthrie,Hamilton,Hancock,Hardin,Harrison,Henry,Howard,Humboldt,Ida,,Jackson,Jasper,Jefferson,Johnson,Jones,Keokuk,Kossuth,Lee,Linn,Louisa,Lucas,Lyon,Madison,Mahaska,Marion,Marshall,Mills,Mitchell,Monona,Monroe,Montgomery,Muscatine,O'Brien,Osceola,Page,Palo Alto,Plymouth,Pocahontas,Polk,Pottawattamie,Poweshiek,Ringgold,Sac,Scott,Shelby,Sioux,Story,Tama,Taylor,Union,Van Buren,Wapello,Warren,Washington,Wayne,Webster,Winnebago,Winneshiek,Woodbury,Worth,Wright
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","5,790",38,23,72,80,26,63,100,68,106,84,43,67,39,55,39,70,45,36,41,55,24,97,54,40,94,118,44,67,27,32,118,18,69,61,42,16,52,38,34,55,43,49,57,60,59,15,15,,82,101,61,144,49,38,37,50,112,24,52,76,156,39,80,46,39,61,23,34,25,49,38,23,22,25,59,21,121,98,50,45,39,62,33,112,111,41,31,76,59,47,208,105,49,57,23,83,65,48,44
2017,"4,981",34,29,72,49,28,71,80,80,71,90,43,62,39,50,32,81,33,19,48,47,25,93,58,40,78,115,29,46,10,26,58,12,48,54,48,19,45,36,37,50,12,42,44,48,82,21,20,,60,58,47,123,57,28,42,46,125,15,47,52,88,54,81,46,37,69,12,37,14,59,18,24,23,20,58,12,82,64,69,34,49,67,22,102,89,35,19,65,52,49,113,74,42,43,26,69,86,29,28
"Layers                                                                                farms, 2022","5,352",36,23,62,80,26,60,90,64,99,73,25,64,37,47,36,68,43,21,38,52,19,90,48,34,85,111,42,67,27,30,93,16,66,56,39,16,52,37,34,41,42,43,52,45,53,15,15,,72,98,61,131,46,36,36,49,104,23,50,75,154,36,78,42,36,60,20,32,22,42,37,23,22,16,53,17,112,91,49,45,26,59,33,106,106,37,29,66,59,47,194,88,43,57,23,75,65,46,44
2017,"4,425",29,29,63,49,28,70,66,74,65,72,18,60,36,49,28,78,32,11,40,47,18,73,58,39,71,108,29,38,10,26,57,12,44,47,33,19,45,30,28,37,12,39,36,31,78,14,19,,57,52,45,107,54,22,37,42,107,14,46,48,84,52,78,43,32,65,12,30,13,53,16,24,23,19,52,9,81,53,67,30,29,53,19,81,78,29,15,51,52,49,92,59,41,36,20,64,85,24,25
"number, 2022","43,137,355",(D),525,"16,153","1,837",726,"1,490","1,994","12,705","2,798","52,349",(D),"1,967",604,"1,976",(D),"1,551","1,252",702,(D),867,"524,729","4,382","1,100","1,143","283,236","219,992","90,978","1,297","1,289",898,"2,670",(D),(D),"125,534",(D),200,895,612,(D),(D),(D),(D),(D),763,"103,673","433,848",358,,"122,240","3,925","10,595","167,451",991,736,"3,689","1,132","2,777",376,"1,218",(D),(D),(D),"2,631","1,132","1,299","139,479",399,637,"100,788",988,(D),(D),251,(D),"1,035",(D),"3,049","2,458",(D),"1,076",469,"1,558","1,288",(D),"8,958","1,011",(D),"336,558","1,981",972,"4,759","171,344",995,(D),(D),(D),"1,297","1,704","5,087,043"
2017,"56,554,774",(D),447,"21,478","1,019",(D),"1,434","1,092","12,144","2,061","19,537",(D),"2,568",513,811,(D),"2,289",718,329,625,972,(D),"14,152",(D),857,"248,947","158,996",(D),905,153,793,"1,991",(D),(D),"91,452",617,550,"1,315",631,(D),754,(D),(D),582,"1,342","6,777","350,216",197,,"203,332","1,447","20,907","204,387","1,317",(D),"2,986","1,322","2,167",943,"1,730",(D),(D),(D),"2,418","2,041",694,"204,613",227,522,(D),"120,657",(D),(D),238,(D),"1,160",(D),"2,350","1,444",(D),680,"1,056","1,614","2,261",(D),"3,617",781,326,"112,724","1,126",967,"3,179","119,318",726,(D),(D),"161,649","1,697",485,"9,968,233"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"4,594",29,20,56,76,20,53,80,57,84,51,19,59,37,34,29,61,34,15,32,48,16,81,44,25,74,87,35,64,23,24,85,13,57,44,37,16,49,37,28,40,34,38,48,41,44,12,13,,59,78,48,96,39,33,27,42,96,23,46,66,133,29,65,35,27,44,18,29,16,39,35,12,22,15,51,10,99,80,45,41,24,53,27,81,95,34,26,43,49,43,172,69,40,52,21,61,62,39,39
50 to 99.................................................................................,381,4,3,3,1,5,5,10,3,7,8,2,2,-,4,2,7,7,6,4,4,-,7,2,7,-,3,2,1,-,4,3,1,6,4,-,-,3,-,1,-,5,2,3,4,5,-,1,,3,12,9,6,7,1,5,6,2,-,3,5,13,6,9,7,6,3,2,3,-,3,1,10,-,-,2,4,12,6,3,-,2,3,-,14,7,2,2,4,6,4,12,-,3,4,1,11,3,-,1
