Item,Kansas,Allen,Anderson,Atchison,Barber,Barton,Bourbon,Brown,Butler,Chase,Chautauqua,Cherokee,Cheyenne,Clark,Clay,Cloud,Coffey,Comanche,Cowley,Crawford,Decatur,Dickinson,Doniphan,Douglas,Edwards,Elk,Ellis,Ellsworth,Finney,Ford,Franklin,Geary,Gove,Graham,Grant,Gray,Greeley,Greenwood,Hamilton,Harper,Harvey,Haskell,Hodgeman,Jackson,Jefferson,Jewell,Johnson,Kearny,Kingman,Kiowa,Labette,Lane,Leavenworth,Lincoln,Linn,Logan,Lyon,McPherson,Marion,Marshall,Meade,Miami,Mitchell,Montgomery,Morris,Morton,Nemaha,Neosho,Ness,Norton,Osage,Osborne,Ottawa,Pawnee,Phillips,Pottawatomie,Pratt,Rawlins,Reno,Republic,Rice,Riley,Rooks,Rush,Russell,Saline,Scott,Sedgwick,Seward,Shawnee,Sheridan,Sherman,Smith,Stafford,Stanton,Stevens,Sumner,Thomas,Trego,Wabaunsee,Wallace,Washington,Wichita,Wilson,Woodson,Wyandotte
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","4,629",27,48,65,13,13,54,36,232,4,38,74,15,8,33,16,63,3,82,93,10,56,20,179,3,24,44,19,27,23,133,25,11,19,4,21,-,45,4,21,71,6,13,68,118,18,116,20,48,14,100,3,192,17,71,23,74,78,56,28,25,239,23,97,37,16,47,67,8,19,106,9,38,8,36,84,20,9,155,11,29,55,9,14,20,38,11,129,20,104,15,18,25,16,1,19,104,38,7,57,6,24,5,25,21,26
2017,"4,236",38,59,28,15,32,77,25,213,5,38,54,17,3,23,34,42,3,59,92,15,52,15,120,12,14,50,17,12,24,135,16,21,8,3,15,7,32,11,22,113,2,11,93,130,17,86,8,32,7,92,4,185,23,84,4,60,101,78,61,4,215,15,107,31,9,31,50,1,13,69,22,30,5,19,60,20,9,147,17,22,62,10,11,15,43,2,140,11,78,13,20,18,8,2,5,65,16,2,43,10,27,6,28,23,33
"Layers                                                                                farms, 2022","4,371",27,38,58,13,9,48,34,229,4,37,66,15,5,33,16,59,3,76,91,10,53,19,172,3,18,38,19,21,23,127,25,11,17,4,11,-,41,4,21,62,6,8,67,116,16,107,20,42,13,92,3,186,17,68,21,68,77,54,28,24,227,22,87,37,16,46,59,6,19,105,8,34,8,33,84,20,9,147,9,29,55,9,14,19,38,10,124,19,98,12,18,23,14,-,19,98,38,7,55,6,24,4,25,18,26
2017,"3,967",35,57,28,14,30,70,22,209,5,31,43,17,3,21,33,36,3,57,90,11,42,15,118,12,12,45,14,12,22,128,16,17,8,1,9,6,29,11,20,103,-,11,89,121,16,86,8,30,7,82,4,179,23,83,4,53,88,74,60,4,213,13,100,31,9,22,46,1,11,67,21,29,5,17,58,20,9,138,16,22,57,10,10,13,41,2,127,11,69,13,20,18,8,1,5,55,12,2,42,10,27,6,28,22,33
"number, 2022","2,025,646",317,"1,019","1,474",189,145,"1,207",546,"3,875",72,656,"1,195",914,95,860,588,792,72,"21,194","2,086",165,"1,199",387,"4,045",43,386,761,327,588,268,"2,511","1,030",236,661,149,(D),-,660,190,417,"12,058",30,240,"1,398","2,422",831,"2,272",601,685,250,"2,187",48,"3,869",326,"1,315",372,"1,363","131,180",(D),517,382,"4,660",527,"1,571",669,259,770,"1,571",96,598,"2,190",182,628,167,"2,808",(D),301,144,"4,058",251,(D),"1,310",114,358,246,912,208,"2,518",428,"3,511",347,532,"1,101",127,-,476,"2,172",906,118,978,147,279,140,530,489,898
2017,(D),905,"1,526",823,432,489,"1,319",387,"3,660",62,631,951,913,115,704,764,666,32,"1,171","1,545",159,734,540,"3,160",246,237,"1,026",411,270,476,"2,328",325,267,149,(D),117,70,507,292,381,"3,014",-,142,"1,464","2,576",780,"2,326",577,476,88,"1,696",116,"4,424",476,"2,551",80,"1,153","32,964","2,919","1,097",140,"3,770",258,"2,345",599,142,426,"1,444",(D),316,"1,110",451,524,114,577,(D),403,451,"3,940",211,(D),"1,234",223,200,155,829,(D),"3,800",325,"1,769",562,645,772,138,(D),260,"9,309",339,(D),923,61,"1,110",145,384,386,"1,048"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"4,051",26,36,51,13,9,44,34,220,4,36,62,10,5,30,14,59,3,74,84,9,48,19,167,3,17,35,19,15,23,120,21,11,14,3,7,-,41,3,19,57,6,6,62,109,4,97,14,42,12,85,3,178,16,64,21,61,67,51,24,24,223,21,86,37,16,46,47,6,15,96,8,33,8,30,81,20,9,128,8,28,52,9,12,19,32,10,112,19,84,11,14,19,14,-,15,87,36,7,55,4,24,4,23,12,20
50 to 99.................................................................................,221,1,-,3,-,-,2,-,9,-,1,4,4,-,2,-,-,-,-,5,1,2,-,4,-,1,3,-,6,-,4,2,-,-,1,3,-,-,-,2,3,-,2,5,4,12,7,6,-,1,6,-,4,1,3,-,7,-,1,4,-,1,1,1,-,-,-,9,-,4,9,-,1,-,-,-,-,-,14,1,-,1,-,1,-,5,-,11,-,1,-,4,1,-,-,3,11,2,-,-,2,-,-,2,6,4
