Item,Kentucky,Adair,Allen,Anderson,Ballard,Barren,Bath,Bell,Boone,Bourbon,Boyd,Boyle,Bracken,Breathitt,Breckinridge,Bullitt,Butler,Caldwell,Calloway,Campbell,Carlisle,Carroll,Carter,Casey,Christian,Clark,Clay,Clinton,Crittenden,Cumberland,Daviess,Edmonson,Elliott,Estill,Fayette,Fleming,Floyd,Franklin,Fulton,Gallatin,Garrard,Grant,Graves,Grayson,Green,Greenup,Hancock,Hardin,Harlan,Harrison,Hart,Henderson,Henry,Hickman,Hopkins,Jackson,Jefferson,Jessamine,Johnson,Kenton,Knott,Knox,Larue,Laurel,Lawrence,Lee,Leslie,Letcher,Lewis,Lincoln,Livingston,Logan,Lyon,McCracken,McCreary,McLean,Madison,Magoffin,Marion,Marshall,Martin,Mason,Meade,Menifee,Mercer,Metcalfe,Monroe,Montgomery,Morgan,Muhlenberg,Nelson,Nicholas,Ohio,Oldham,Owen,Owsley,Pendleton,Perry,Pike,Powell,Pulaski,Robertson,Rockcastle,Rowan,Russell,Scott,Shelby,Simpson,Spencer,Taylor,Todd,Trigg,Trimble,Union,Warren,Washington,Wayne,Webster,Whitley,Wolfe,Woodford
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","9,472",176,157,165,42,169,80,14,112,120,45,63,66,26,137,110,83,44,62,93,32,20,117,114,131,100,34,37,59,71,99,98,57,43,85,79,10,90,12,37,62,106,153,183,95,77,63,193,12,148,220,28,88,36,102,69,52,96,67,67,10,56,116,156,57,33,13,30,63,124,43,99,25,36,29,65,207,38,62,86,11,40,102,23,141,86,54,63,64,48,213,58,101,85,105,8,131,13,16,28,191,16,75,47,57,92,198,60,79,89,80,70,53,15,177,108,74,52,104,37,54
2017,"8,965",103,188,113,26,137,78,29,93,82,43,89,55,29,156,124,60,34,96,76,39,26,109,141,128,102,27,40,58,34,119,73,63,43,55,96,27,98,12,37,60,100,150,153,101,84,29,161,14,117,169,37,67,44,84,69,66,98,62,74,19,62,77,99,43,25,6,38,49,136,34,82,23,42,45,62,138,41,60,77,2,41,86,43,186,69,49,59,68,74,207,49,128,93,97,23,105,11,19,42,192,26,82,25,48,94,217,54,87,77,79,44,59,8,220,114,58,21,93,36,45
"Layers                                                                                farms, 2022","8,586",152,153,158,34,140,67,14,108,114,45,56,62,26,125,106,79,38,48,93,22,20,106,112,120,92,28,26,57,65,82,91,57,41,78,76,10,86,10,37,57,106,81,169,90,72,59,186,12,141,212,25,82,3,88,62,52,85,62,63,10,54,110,149,57,32,13,30,56,114,43,96,24,36,27,23,199,38,52,75,11,39,91,23,134,79,34,61,61,37,201,57,62,81,103,7,127,13,16,25,182,16,68,42,52,88,187,52,68,75,69,67,45,13,166,98,53,27,97,37,43
2017,"8,032",88,181,90,17,114,74,25,90,78,43,85,55,27,136,120,46,30,66,75,31,26,104,137,114,102,26,28,54,30,101,61,60,41,51,88,21,90,6,37,60,96,81,128,90,83,24,159,11,115,162,33,64,9,67,68,64,98,62,67,19,57,76,88,43,24,6,37,42,131,23,72,23,40,37,21,127,32,56,71,2,39,68,40,179,66,33,52,68,53,199,47,86,93,88,21,96,11,19,41,177,26,79,25,46,90,207,46,84,72,63,39,57,7,187,99,42,4,87,36,44
"number, 2022","5,542,366","74,150","53,482","4,086",(D),"2,881","1,120",200,"2,404","4,266",848,929,"1,093",506,"2,736","2,234","42,386",776,899,"2,441",(D),514,"2,949","53,823","124,469","2,341","1,123",(D),"1,786","1,494","1,554","137,265","1,179","1,744","2,042","1,682",344,"1,585","241,772",828,"1,068","2,579",(D),"97,882","1,369","1,084","1,370","4,402",128,"3,186","10,740",415,"2,903",(D),(D),"2,804","3,787","3,435","1,016","1,488",192,"2,620","3,505","3,071",856,734,502,"2,466","1,686","10,013","1,245","286,139",376,(D),463,"128,915","4,072",581,864,"1,708",335,663,"22,978",376,"2,614",(D),864,"1,179",908,(D),"4,273","33,839","1,389","2,959",(D),256,"3,069",404,285,573,"56,152",426,"2,483",780,"1,340","2,141","5,131",819,"1,936","2,039","2,266,614","7,157","1,067",248,"220,777","1,659","90,432",555,"2,186",807,"1,531"
2017,"5,909,873","2,206","40,547","2,458","60,365","1,724","6,302",596,"8,163","1,604",755,"1,526","1,125",422,"4,326","2,772",(D),647,(D),"3,103","65,367",551,"2,640","70,733","160,902","9,274","1,017","68,663","1,621",746,"2,322","116,714","1,646","1,041","2,190","1,660",521,"2,229","120,572",766,"1,454","3,186","331,557","81,479","2,359","1,732","1,306","4,006",134,"2,426","16,025","1,083","2,312",(D),(D),"1,836","2,005","2,762","1,323","1,316",181,"2,460","1,320","1,423",791,728,231,"1,145","1,013","14,671",449,"297,357",425,(D),(D),"126,704","3,286",909,840,"4,095",(D),733,"1,378",626,"3,635","1,184",(D),"2,817","1,344",(D),"4,488","13,397","2,324","1,934","1,457",618,"3,096",451,469,961,"30,069",468,"1,773",418,"1,176","1,536","4,472","1,030","1,414","1,652","2,442,026","10,059","1,397",153,"226,601","2,079","122,537",240,"1,986",737,"1,208"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"7,789",140,135,135,33,135,66,14,97,101,43,56,58,25,111,99,58,34,48,80,16,19,100,101,102,88,21,24,48,58,79,83,53,39,68,72,7,80,4,36,56,96,72,152,89,71,52,167,12,132,204,24,71,2,81,52,47,78,60,57,9,43,101,137,57,30,5,26,54,102,42,71,23,33,27,16,188,37,48,65,11,38,79,23,124,74,31,53,60,34,188,51,55,70,99,6,111,9,14,21,172,15,62,41,45,82,165,48,57,64,46,61,43,13,145,96,43,25,90,33,37
50 to 99.................................................................................,478,6,13,21,-,3,1,-,8,7,-,-,4,1,13,7,15,4,-,12,4,1,4,4,4,2,1,-,7,3,3,2,3,1,6,-,3,6,-,1,-,6,4,9,1,-,7,12,-,5,5,1,8,-,6,5,3,4,2,3,1,10,7,7,-,-,8,2,1,11,-,11,1,1,-,-,6,1,4,10,-,1,9,-,4,-,2,7,1,2,8,1,6,5,2,-,13,4,2,4,6,-,5,1,5,3,7,4,7,9,1,4,-,-,6,2,2,2,5,4,2
