Item,Louisiana,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,Lafayette,Lafourche,LaSalle,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","3,614",60,52,46,8,87,157,31,92,95,127,42,11,28,63,4,93,77,3,71,41,27,47,36,8,48,-,73,99,59,61,101,131,4,17,43,14,114,8,40,101,18,15,62,8,11,55,6,2,118,49,10,224,137,6,33,117,81,114,152,68,14,28,32,35
2017,"3,498",81,41,20,7,113,138,42,73,99,131,51,13,16,40,7,62,83,8,81,50,31,32,69,12,44,3,60,76,75,39,97,126,9,27,72,2,90,7,27,89,17,36,98,-,12,43,4,2,110,62,19,245,189,9,27,80,81,116,90,41,9,7,25,33
"Layers                                                                                farms, 2022","3,187",59,46,46,8,79,144,26,84,95,120,34,11,22,23,4,87,74,3,66,40,26,41,35,8,27,-,70,90,48,57,63,131,2,15,33,14,100,8,34,97,18,14,33,8,11,55,6,2,96,47,10,209,131,6,33,62,73,99,144,59,11,28,31,31
2017,"3,048",78,39,20,7,111,132,32,60,95,130,50,13,15,16,7,61,80,8,79,43,29,28,59,9,23,3,57,71,66,37,45,126,9,26,60,2,77,7,27,83,15,30,54,-,12,37,4,2,93,40,17,218,175,9,24,24,75,111,84,36,9,7,22,30
"number, 2022","3,336,175","1,878","1,517","1,457",130,"1,755","3,535",(D),"1,447","2,265","5,358",891,291,847,"127,058",98,(D),"7,423",188,"1,564",811,993,"1,471",499,226,(D),-,"1,728","1,683","1,486","1,361","111,844","2,625",(D),340,(D),699,(D),"1,111",842,"1,509",592,251,"1,098",164,238,"2,224,515",195,(D),"3,571","1,438",278,"5,073","4,021",60,685,(D),"1,410","2,092","3,002","91,236",252,368,807,"382,392"
2017,"1,970,896","1,886",782,"3,319",65,"2,453","2,206","190,309","1,765","5,392","2,581","1,352",179,229,(D),66,(D),"14,286",301,"1,554","1,004",607,717,"1,091",237,(D),300,"2,083","1,935","2,001","2,206",(D),"3,315",170,425,(D),(D),(D),125,"1,097","2,750",216,976,"1,826",-,409,(D),90,(D),"2,443","1,088",332,"11,006","4,889",154,932,"76,534","1,455","2,592","2,114","54,861",65,98,626,"436,374"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"2,806",47,37,42,8,73,124,22,82,92,106,31,9,17,19,4,79,54,1,61,35,25,31,34,8,17,-,60,82,40,51,41,122,2,14,30,11,90,6,29,92,15,14,25,8,10,52,3,2,85,38,9,187,116,6,33,53,68,86,139,46,9,28,23,23
50 to 99.................................................................................,243,7,6,1,-,6,16,2,2,-,10,1,2,2,1,-,5,13,2,-,5,-,8,1,-,7,-,9,7,6,6,18,6,-,1,2,-,3,-,4,1,-,-,8,-,1,-,3,-,5,7,-,10,11,-,-,4,5,13,3,2,2,-,8,1
100 to 399.............................................................................,92,5,3,2,-,-,4,-,-,2,3,2,-,3,-,-,2,5,-,5,-,-,2,-,-,1,-,1,1,2,-,-,3,-,-,-,3,6,-,1,4,3,-,-,-,-,-,-,-,2,2,1,12,1,-,-,3,-,-,1,7,-,-,-,-
"400 to 3,199..........................................................................",15,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-
"3,200 to 9,999.......................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",5,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
"20,000 to 49,999...................................................................",19,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,6
"50,000 to 99,999...................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"Pullets for laying flock replacement                              farms, 2022",520,7,10,4,-,19,37,2,10,10,16,10,1,3,6,1,26,21,2,8,6,1,1,3,4,1,-,6,11,10,9,13,29,2,5,2,-,11,-,5,18,6,3,5,4,-,12,-,-,7,14,1,23,17,-,2,11,19,20,26,8,5,4,-,3
2017,544,12,11,6,-,37,20,3,7,18,28,10,-,-,1,-,4,37,8,13,3,-,10,3,2,6,-,23,14,14,1,17,20,-,-,8,-,7,2,4,32,-,12,9,-,-,-,-,-,10,8,5,20,38,-,2,6,14,11,20,2,-,2,2,2
"number, 2022","483,947",130,173,34,-,250,993,(D),107,220,713,234,(D),150,(D),(D),(D),717,(D),84,140,(D),(D),34,80,(D),-,56,145,144,128,(D),267,(D),25,(D),-,214,-,44,287,30,58,(D),20,-,72,-,-,171,295,(D),390,190,-,(D),108,419,223,623,146,60,33,-,(D)
2017,"468,714",158,166,63,-,558,218,(D),55,291,605,62,-,-,(D),-,40,"1,381",115,216,45,-,108,30,(D),58,-,520,138,329,(D),241,375,-,-,162,-,90,(D),85,855,-,138,"222,150",-,-,-,-,-,149,141,60,359,719,-,(D),92,124,244,316,(D),-,(D),(D),(D)
"Broilers and other meat-type chickens                         farms, 2022",642,13,5,2,6,26,22,8,4,13,12,-,2,13,41,1,21,11,-,16,1,1,3,6,-,25,-,9,11,9,13,45,8,-,-,14,3,22,3,-,22,-,1,25,4,-,-,3,-,25,6,-,19,17,-,2,55,19,19,24,4,2,-,2,4
2017,681,14,8,1,-,17,20,12,9,14,25,10,-,2,22,-,3,26,-,9,22,3,2,12,-,24,-,-,11,11,1,47,12,-,3,33,-,9,3,6,13,2,12,41,-,-,12,3,-,41,19,-,33,10,-,3,53,21,13,3,6,-,2,2,1
"number, 2022","27,083,927",338,138,(D),90,645,885,"733,066",70,977,184,-,(D),205,"3,449,495",(D),361,(D),-,762,(D),(D),30,177,-,"2,391,950",-,907,244,110,366,"5,379,970",88,-,-,"1,128,048",36,(D),550,-,143,-,(D),"5,097,872",60,-,-,45,-,571,74,-,"1,353",411,-,(D),"6,773,403",352,"1,135,527",(D),(D),(D),-,(D),(D)
2017,"28,373,788",198,69,(D),-,349,482,"748,368",175,"450,276","2,301",370,-,(D),"2,390,551",-,50,"151,460",-,236,220,57,(D),150,-,"2,145,934",-,-,104,280,(D),"5,985,960",66,-,72,"1,693,204",-,"459,008",115,123,510,(D),234,"6,559,082",-,-,372,30,-,"1,655",370,-,"18,188",80,-,27,"6,121,355",503,"1,169,720",(D),"219,066",-,(D),(D),(D)
"Turkeys                                                                              farms, 2022",307,9,6,8,-,19,15,-,8,16,10,10,2,-,-,-,11,10,2,5,1,12,2,-,-,8,-,2,5,4,4,15,14,3,2,4,-,4,1,6,12,6,-,-,-,-,-,-,-,9,1,-,12,8,-,2,-,6,5,11,3,-,3,6,5
2017,246,2,2,-,-,2,15,-,16,3,19,-,1,-,-,-,1,18,-,11,2,5,1,1,3,2,3,14,4,-,8,6,15,-,-,-,-,-,2,-,15,-,2,2,-,2,-,-,-,12,3,2,17,14,2,-,1,3,7,1,4,-,-,2,1
"number, 2022","1,862",39,29,10,-,147,48,-,38,45,119,53,(D),-,-,-,45,107,(D),15,(D),72,(D),-,-,46,-,(D),26,18,22,477,49,19,(D),4,-,32,(D),36,26,12,-,-,-,-,-,-,-,47,(D),-,47,18,-,(D),-,24,9,45,8,-,3,34,10
2017,"1,466",(D),(D),-,-,(D),63,-,45,21,62,-,(D),-,-,-,(D),208,-,29,(D),26,(D),(D),30,(D),36,66,16,-,49,84,42,-,-,-,-,-,(D),-,141,-,(D),(D),-,(D),-,-,-,94,21,(D),90,129,(D),-,(D),36,12,(D),16,-,-,(D),(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,325",24,26,19,-,29,84,10,34,33,31,19,7,5,15,3,47,32,2,27,23,7,21,14,3,12,-,22,47,20,19,40,49,2,9,21,-,61,5,14,32,-,4,20,4,2,11,3,-,55,24,-,90,54,-,4,18,24,30,54,23,9,6,6,16
2017,"1,273",27,9,6,2,31,67,16,31,35,55,32,5,4,9,-,18,51,6,17,9,9,4,36,5,7,3,36,43,25,11,29,41,3,18,13,-,39,2,10,48,7,11,30,-,-,14,3,2,52,13,3,88,72,-,5,8,41,62,17,13,-,3,5,12
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","2,171",43,32,32,2,51,85,16,50,57,80,26,4,11,59,3,48,60,2,36,16,23,39,21,6,37,-,34,51,41,44,76,79,3,12,31,3,79,6,16,40,6,12,50,4,5,25,3,2,50,38,1,139,84,-,25,105,45,49,90,40,3,7,14,20
2017,"1,969",36,13,14,2,45,70,27,38,45,65,30,6,8,39,4,27,52,8,39,35,8,27,37,5,30,3,36,33,48,27,82,79,3,19,30,2,47,4,17,53,10,26,69,-,11,18,1,-,62,33,3,119,96,5,21,75,41,65,57,21,2,3,10,28
"Layers sold                                                                        farms, 2022",386,3,3,3,-,12,20,5,8,20,29,5,-,3,3,1,4,16,-,-,2,1,6,1,1,8,-,1,14,5,6,15,13,1,2,7,-,18,-,-,12,-,-,-,-,1,3,-,-,2,6,-,16,20,-,-,18,6,7,30,21,2,-,-,6
2017,386,9,6,6,-,10,4,4,9,16,12,10,-,3,2,-,5,16,1,6,5,4,3,-,3,1,3,14,7,6,10,7,16,-,-,2,2,12,-,3,23,5,8,5,-,3,5,-,-,8,4,2,25,21,5,6,4,6,16,4,6,-,3,2,8
"number, 2022","2,119,364",115,90,264,-,190,"2,726",(D),150,468,787,110,-,210,"125,778",(D),(D),430,-,-,(D),(D),36,(D),(D),(D),-,(D),420,26,150,"110,650",468,(D),(D),(D),-,(D),-,-,186,-,-,-,-,(D),"1,242,975",-,-,(D),18,-,666,525,-,-,"84,802",80,104,"1,657","89,843",(D),-,-,"226,400"
2017,"1,400,103",285,134,422,-,168,150,"183,900",193,(D),505,392,-,30,(D),-,(D),438,(D),132,55,8,(D),-,15,(D),327,231,264,540,328,(D),"1,148",-,-,(D),(D),(D),-,120,"1,190",210,150,85,-,170,(D),-,-,92,256,(D),"1,384",920,45,282,"76,015",48,221,41,"52,393",-,82,(D),"297,408"
