Item,Maine,Androscoggin,Aroostook,Cumberland,Franklin,Hancock,Kennebec,Knox,Lincoln,Oxford,Penobscot,Piscataquis,Sagadahoc,Somerset,Waldo,Washington,York
INVENTORY,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","1,796",104,133,138,80,109,134,80,87,150,164,42,60,123,110,62,220
2017,"2,059",111,114,205,124,107,174,95,134,143,137,54,76,103,139,93,250
"Layers                                                                                farms, 2022","1,619",93,121,138,80,96,116,64,78,141,143,30,57,98,102,57,205
2017,"1,892",106,107,192,117,95,160,80,125,131,125,53,68,89,134,82,228
"number, 2022","543,946",(D),"4,198",(D),"2,239","5,537","3,792","1,644","3,933","24,923","4,024",813,"2,693","2,245","6,685","1,811",(D)
2017,(D),(D),"4,306","8,025","2,446","4,292","5,837","2,922","8,063","4,042","3,814","1,280","2,319","2,291","6,246","1,897","4,510"
2022 farms by inventory:,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"1,351",63,100,118,70,70,98,59,65,117,128,24,46,83,84,44,182
50 to 99.................................................................................,140,11,16,6,7,11,17,4,4,8,7,5,6,13,5,9,11
100 to 399.............................................................................,108,11,5,12,3,13,-,-,8,14,8,1,3,2,12,4,12
"400 to 3,199..........................................................................",18,7,-,2,-,2,1,1,1,1,-,-,2,-,1,-,-
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",214,11,9,12,5,9,19,4,12,20,25,6,5,20,7,5,45
2017,273,8,26,29,9,29,10,12,23,23,20,4,9,25,22,3,21
"number, 2022","5,099",196,152,709,80,217,423,300,218,963,405,178,176,300,194,83,505
2017,"68,114",(D),850,"1,197",122,646,76,425,"1,139",(D),776,96,98,396,308,36,663
"Broilers and other meat-type chickens                         farms, 2022",277,18,20,24,17,19,14,12,9,24,28,12,4,13,16,8,39
2017,389,20,40,49,25,13,37,16,23,23,23,12,-,16,22,28,42
"number, 2022","133,684","1,417","4,634","4,033","3,621","7,476","4,200",(D),401,"2,890","1,485",922,90,570,"66,448",(D),"2,800"
2017,"57,828","1,242","4,699","2,361","1,772","1,365","2,041",(D),"1,713","3,260",576,920,-,"1,050","3,045",(D),"1,181"
"Turkeys                                                                              farms, 2022",195,15,18,22,16,13,10,5,6,8,12,3,4,18,5,8,32
2017,245,9,18,23,22,19,16,6,11,18,15,8,1,10,22,21,26
"number, 2022","7,231",365,195,689,624,372,118,(D),199,350,33,30,20,(D),45,(D),489
2017,"7,702",246,294,422,316,409,486,(D),(D),220,107,134,(D),494,250,823,342
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",657,31,39,44,24,35,58,23,34,40,64,21,25,62,37,25,95
2017,670,34,18,56,36,53,55,50,34,27,46,29,33,45,35,38,81
NUMBER SOLD,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","1,269",77,97,103,58,85,113,52,65,97,124,27,48,61,86,40,136
2017,"1,541",77,85,143,73,85,139,65,104,108,124,35,62,88,110,62,181
"Layers sold                                                                        farms, 2022",239,14,21,26,16,15,25,10,3,9,16,9,12,20,14,7,22
2017,321,21,14,31,16,14,28,17,24,17,30,5,15,24,13,9,43
"number, 2022",(D),(D),"1,033","1,094",376,324,(D),328,(D),(D),334,104,535,355,367,420,476
2017,(D),(D),"1,066","1,377",298,325,872,"3,530","4,119","2,297",476,(D),330,575,"1,022","1,291","1,631"
"Pullets for laying flock replacement sold                      farms, 2022",38,1,6,3,-,-,6,5,-,1,6,-,-,2,5,-,3
2017,40,2,10,-,-,-,3,1,7,4,5,2,-,-,1,1,4
"number, 2022","1,098",(D),130,300,-,-,52,(D),-,(D),60,-,-,(D),48,-,105
2017,(D),(D),155,-,-,-,(D),(D),842,(D),530,(D),-,-,(D),(D),420
"Broilers and other meat-type chickens sold                farms, 2022",264,22,20,15,23,29,22,11,8,22,25,4,8,7,9,11,28
2017,366,32,31,22,26,10,45,7,28,33,13,7,5,29,23,8,47
"number, 2022","351,860","7,054","19,664","3,877","15,352","8,844","20,085",(D),"3,475","5,230",(D),240,"5,519","3,628","63,996",(D),"2,918"
2017,"222,347","4,022","8,881","4,099","1,196","5,295","2,443",(D),"2,388","6,427","14,921",535,(D),"5,060","9,488",(D),"4,019"
2022 farms by number sold:,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",246,21,18,15,22,27,21,10,7,22,24,4,6,6,5,10,28
"2,000 to 59,999.....................................................................",17,1,2,-,1,2,1,-,1,-,1,-,2,1,4,1,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",160,11,13,16,10,16,16,8,10,11,10,2,2,11,1,1,22
2017,227,16,17,22,15,11,24,4,15,13,20,6,4,12,18,7,23
"number, 2022","17,535",378,307,703,(D),476,660,(D),291,606,43,(D),(D),(D),(D),(D),524
2017,"17,039",525,242,868,218,426,820,(D),317,"1,476",131,146,396,(D),295,(D),777
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",174,11,20,11,8,12,15,5,8,5,11,6,11,26,13,1,11
2017,203,12,6,10,10,10,18,25,16,6,9,3,12,14,12,14,26
