Item,Maryland,Allegany,Anne Arundel,Baltimore,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince George's,Queen Anne's,St. Mary's,Somerset,Talbot,Washington,Wicomico,Worcester
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","2,920",46,137,207,78,154,284,127,86,76,327,124,136,75,41,164,84,86,180,88,41,178,109,92
2017,"2,724",54,87,160,60,194,237,99,71,68,252,158,135,61,30,113,72,99,150,93,54,204,140,133
"Layers                                                                                farms, 2022","2,292",45,127,195,75,47,266,120,82,9,303,119,125,67,19,159,80,42,165,10,26,165,27,19
2017,"2,009",50,83,151,56,65,217,88,62,8,241,146,131,57,15,108,62,42,142,7,35,189,31,23
"number, 2022","2,459,130",849,"3,800","8,800","2,347","2,017",(D),(D),"3,430",226,"67,900","3,653","5,167","1,805",727,"5,338","2,923","3,283","6,229","7,224","1,276",(D),655,(D)
2017,"2,971,918",973,"2,001","15,891","1,556","2,608",(D),(D),"13,916",864,"71,018","6,505","27,363","2,197",753,"2,211","3,840","1,621","7,013",(D),"1,591",(D),851,"25,379"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"1,948",40,109,169,60,37,225,114,65,8,273,103,104,61,11,137,68,34,139,3,20,132,25,11
50 to 99.................................................................................,200,5,13,10,12,7,25,2,9,-,19,9,15,3,7,19,7,2,13,2,3,14,-,4
100 to 399.............................................................................,108,-,4,11,3,1,13,2,7,1,6,6,5,3,1,1,4,4,12,4,3,13,2,2
"400 to 3,199..........................................................................",25,-,1,5,-,2,2,1,1,-,3,1,1,-,-,2,1,2,1,-,-,1,-,1
"3,200 to 9,999.......................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"10,000 to 19,999...................................................................",2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-
"20,000 to 49,999...................................................................",5,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,-,1
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",3,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
"Pullets for laying flock replacement                              farms, 2022",314,7,20,13,11,7,45,10,4,-,25,8,14,6,8,30,26,4,20,2,12,30,4,8
2017,234,14,7,9,5,3,31,9,12,-,30,18,13,3,7,8,11,2,20,-,8,20,-,4
"number, 2022","452,534",66,345,171,79,234,"1,558",(D),46,-,"1,095",211,129,341,470,762,860,35,"1,233",(D),189,409,130,(D)
2017,(D),228,158,363,38,359,723,(D),126,-,715,"1,496",642,130,210,251,357,(D),"1,726",-,230,(D),-,"118,673"
"Broilers and other meat-type chickens                         farms, 2022",690,4,15,15,6,107,33,10,10,67,25,14,18,8,23,7,8,41,25,76,17,16,80,65
2017,819,3,8,20,23,128,25,6,9,59,34,11,7,6,18,3,18,60,30,87,28,22,105,109
"number, 2022","60,567,658",83,(D),"5,725","170,237","11,067,264","41,069",467,(D),"8,266,650","3,573",512,"14,186",601,"2,068,900",421,711,"8,664,444",(D),"10,810,740","1,179,400",574,"9,644,944","8,610,366"
2017,"59,518,315",120,(D),"15,374",670,"11,420,218","1,057",(D),"6,108","4,997,456","1,130",429,(D),"3,020","1,022,045",(D),"4,195","4,606,353","14,173","12,451,578","1,291,037","1,288","10,587,039","12,954,700"
"Turkeys                                                                              farms, 2022",224,3,7,10,14,3,34,9,15,-,21,5,23,10,2,12,15,2,17,-,2,15,1,4
2017,220,4,4,16,5,-,21,16,7,2,53,15,11,9,6,11,12,9,8,-,2,9,-,-
"number, 2022","100,789",(D),315,484,89,(D),476,(D),146,-,"86,370",(D),"1,727",(D),(D),60,761,(D),843,-,(D),98,(D),102
2017,"54,875",40,124,"1,021",43,-,100,(D),(D),(D),(D),609,194,20,33,63,589,246,637,-,(D),"1,023",-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",851,16,51,51,22,13,94,33,34,2,113,26,42,34,12,88,44,12,66,4,12,62,15,5
2017,732,16,32,41,15,30,79,37,30,2,108,23,30,23,9,46,42,10,40,1,16,77,14,11
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","2,028",27,98,132,52,154,136,59,50,77,178,79,85,36,40,111,61,66,140,97,39,106,116,89
2017,"1,965",32,66,110,43,160,112,60,40,78,168,88,63,32,30,65,61,77,118,98,50,147,144,123
