Item,Massachusetts,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
INVENTORY,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","1,777",56,129,115,20,123,194,134,190,137,10,80,144,6,439
2017,"1,845",65,114,195,24,107,217,143,147,154,3,44,169,-,463
"Layers                                                                                farms, 2022","1,611",51,120,101,20,112,171,130,164,129,4,76,126,6,401
2017,"1,713",64,113,167,23,98,192,132,140,136,-,40,164,-,444
"number, 2022","182,630","4,076","8,424","10,188","1,450","5,742","6,701","4,993","7,409","9,997",156,"2,659","4,126",30,"116,679"
2017,"155,008","2,623","6,125","5,428","2,502","3,503","8,446","3,909","7,098","11,279",-,"1,861","5,850",-,"96,384"
2022 farms by inventory:,,,,,,,,,,,,,,,
1 to 49...................................................................................,"1,296",34,102,65,11,93,144,93,139,103,1,64,109,6,332
50 to 99.................................................................................,173,7,12,20,5,12,8,27,17,8,3,5,10,-,39
100 to 399.............................................................................,107,9,2,9,3,2,18,10,3,12,-,6,7,-,26
"400 to 3,199..........................................................................",34,1,4,7,1,5,1,-,5,6,-,1,-,-,3
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"Pullets for laying flock replacement                              farms, 2022",233,8,3,31,5,12,35,18,22,13,-,8,21,-,57
2017,212,4,15,38,6,5,15,20,17,23,-,3,14,-,52
"number, 2022","9,793",780,(D),923,(D),502,"1,608",740,899,"1,224",-,470,392,-,"1,376"
2017,"10,139",110,"1,942",894,228,(D),"1,244",594,746,364,-,(D),339,-,"3,289"
"Broilers and other meat-type chickens                         farms, 2022",211,1,3,31,4,8,30,22,21,14,-,7,16,-,54
2017,176,1,8,17,6,8,26,20,7,13,-,7,7,-,56
"number, 2022","36,805",(D),(D),"19,996","1,050",333,"1,063","3,235","2,067","1,332",-,620,"1,492",-,"5,521"
2017,"17,663",(D),257,"1,023",460,(D),916,"1,235","1,297","2,170",-,"1,670",612,-,"7,887"
"Turkeys                                                                              farms, 2022",184,5,2,24,3,13,8,12,17,9,-,4,19,-,68
2017,158,5,12,31,-,14,19,18,7,8,3,1,5,-,35
"number, 2022","12,967",252,(D),842,238,"1,124",151,441,123,"4,385",-,(D),374,-,"4,927"
2017,"21,227",413,89,437,-,"1,425",183,392,67,"3,912",60,(D),(D),-,"13,801"
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",602,17,44,50,7,34,68,34,73,42,7,17,44,-,165
2017,603,19,41,80,11,39,61,66,40,57,-,12,58,-,119
NUMBER SOLD,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","1,198",43,75,84,22,80,140,106,115,87,4,37,96,6,303
2017,"1,264",44,81,101,25,76,132,114,106,115,3,32,109,-,326
"Layers sold                                                                        farms, 2022",208,-,11,9,2,21,23,32,20,19,-,13,7,-,51
2017,322,9,32,13,11,18,50,21,30,13,-,15,28,-,82
"number, 2022","106,193",-,"3,935","1,866",(D),"1,706","1,629","2,381",(D),"3,705",-,867,364,-,"89,405"
2017,"66,373",(D),"1,822","1,176","1,398","2,406","2,837","1,676",663,"2,425",-,"1,737","1,150",-,(D)
"Pullets for laying flock replacement sold                      farms, 2022",35,3,1,-,-,3,4,8,-,-,-,-,3,-,13
2017,27,-,2,3,-,-,1,-,8,-,-,-,5,-,8
"number, 2022","4,224",420,(D),-,-,225,(D),318,-,-,-,-,315,-,186
2017,"1,608",-,(D),750,-,-,(D),-,288,-,-,-,136,-,394
"Broilers and other meat-type chickens sold                farms, 2022",180,1,5,17,5,12,24,11,37,13,-,7,7,-,41
2017,188,1,13,14,8,6,30,12,15,9,-,7,11,-,62
"number, 2022","177,113",(D),"21,700","101,643","1,788",341,"8,544",(D),"10,811","13,498",-,"3,228","2,150",-,"10,806"
2017,"56,291",(D),"9,426","4,499","1,223",6,"4,684",416,"9,289",(D),-,750,"1,855",-,"17,178"
2022 farms by number sold:,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",169,1,3,14,5,12,23,10,36,11,-,7,7,-,40
"2,000 to 59,999.....................................................................",10,-,2,2,-,-,1,1,1,2,-,-,-,-,1
"60,000 to 99,999...................................................................",1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",148,4,4,16,4,5,5,14,14,14,-,1,10,-,57
2017,111,2,4,7,2,8,25,8,5,9,3,2,5,-,31
"number, 2022","87,115",246,490,"1,294",76,(D),(D),572,116,"4,696",-,(D),348,-,(D)
2017,"67,639",(D),309,597,(D),(D),(D),(D),61,"4,086",60,(D),408,-,"40,285"
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",135,3,10,8,3,8,10,15,8,9,-,3,10,-,48
2017,146,4,1,17,3,10,29,11,16,6,-,4,3,-,42
