Item,Michigan,Alcona,Alger,Allegan,Alpena,Antrim,Arenac,Baraga,Barry,Bay,Benzie,Berrien,Branch,Calhoun,Cass,Charlevoix,Cheboygan,Chippewa,Clare,Clinton,Crawford,Delta,Dickinson,Eaton,Emmet,Genesee,Gladwin,Gogebic,Grand Traverse,Gratiot,Hillsdale,Houghton,Huron,Ingham,Ionia,Iosco,Iron,Isabella,Jackson,Kalamazoo,Kalkaska,Kent,Keweenaw,Lake,Lapeer,Leelanau,Lenawee,Livingston,Luce,Mackinac,Macomb,Manistee,Marquette,Mason,Mecosta,Menominee,Midland,Missaukee,Monroe,Montcalm,Montmorency,Muskegon,Newaygo,Oakland,Oceana,Ogemaw,Ontonagon,Osceola,Oscoda,Otsego,Ottawa,Presque Isle,Roscommon,Saginaw,St. Clair,St. Joseph,Sanilac,Schoolcraft,Shiawassee,Tuscola,Van Buren,Washtenaw,Wayne,Wexford
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","8,264",32,22,230,61,67,30,15,239,37,37,96,135,152,84,58,54,70,59,205,12,46,21,177,103,244,90,20,115,61,181,40,81,181,160,59,20,89,200,102,36,205,-,38,256,103,137,161,21,22,85,64,85,66,151,39,113,52,172,167,25,58,172,169,92,46,11,88,36,63,141,50,5,125,224,178,189,15,136,172,135,335,61,80
2017,"7,733",30,49,187,65,57,33,14,166,52,49,125,129,145,106,67,98,74,101,137,25,48,21,139,77,141,100,19,69,50,140,44,69,195,125,39,29,102,188,119,57,191,-,32,204,59,124,190,25,26,44,57,47,74,153,66,100,88,101,143,36,125,169,106,75,49,13,85,54,35,178,37,14,102,216,189,172,13,168,163,161,259,55,55
"Layers                                                                                farms, 2022","7,699",30,21,210,51,64,30,15,225,33,35,89,124,139,74,54,47,59,55,193,12,43,21,172,97,237,81,20,96,54,169,40,74,177,152,51,20,80,192,100,34,192,-,26,244,88,130,147,18,21,85,62,70,62,139,35,110,49,157,164,19,57,158,163,88,44,9,84,34,48,127,45,5,111,215,165,179,12,135,152,129,320,58,73
2017,"7,039",28,46,165,65,50,33,14,152,47,47,124,115,132,95,64,91,69,91,134,19,39,15,136,65,133,85,18,58,44,117,38,57,184,109,31,22,90,162,116,54,182,-,29,182,54,111,165,25,19,41,51,45,64,146,64,95,74,93,137,36,117,145,103,61,44,8,72,51,35,157,33,11,95,213,172,164,6,145,151,153,233,53,50
"number, 2022","17,234,017",766,(D),"6,495,609","3,263","2,520",576,562,"4,306",629,689,"2,610","2,462","8,086",(D),"2,025","1,829","2,044","2,439","6,584",172,844,549,"3,543","6,479","6,106","2,023",308,"2,541","1,291","4,898","1,105",(D),"25,692",(D),"1,115",388,"2,068","8,668","2,622","1,201","5,489",-,"1,174","6,882","2,549","4,753","3,933",649,428,"2,860","11,495","4,368","1,514","6,267",919,"3,059","5,541","6,979","7,769",608,"26,448","4,866","4,445","1,985","1,062",125,"2,052",802,"1,285",(D),"1,204",84,"3,105","4,995","49,771","3,913",(D),"4,446","4,258","6,277","11,433","1,266","1,599"
2017,"15,074,549",988,949,"6,155,985","3,795","3,172",524,830,"5,319","2,219","1,240","2,450","3,282","12,899","6,219","1,519","2,763","2,681","1,809","4,248",275,"1,663",363,"5,737","2,878","3,508","2,492",415,"2,267","1,646","2,645","1,119",(D),"17,389",(D),950,"1,174","2,788","8,289","1,995","4,308","4,485",-,582,"7,409","1,764","3,386","5,298",478,297,"2,668","2,985","5,157","3,374","7,804","2,042","8,301","5,070","4,317","10,652",882,"6,221","3,446","3,315","1,504","1,397",201,"1,627","1,064","1,830",(D),842,738,"2,091","5,271","6,595","4,753",(D),"2,629","4,420","7,105","11,486","1,452","1,296"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"6,641",27,20,178,45,49,26,14,220,32,35,81,116,113,69,39,38,44,48,162,12,38,17,160,77,201,64,20,82,50,149,35,70,137,132,45,20,73,152,90,25,163,-,16,207,75,111,136,11,19,68,41,58,58,109,32,95,32,130,150,17,49,135,141,81,38,9,73,26,46,109,38,5,94,196,146,165,11,124,134,116,252,52,68
50 to 99.................................................................................,706,2,-,22,2,12,4,-,3,1,-,4,5,16,-,10,3,12,3,22,-,4,4,11,14,30,16,-,10,3,12,1,1,20,16,6,-,6,27,7,7,24,-,4,33,11,14,5,7,2,9,9,5,4,13,2,12,12,15,9,-,1,11,18,2,6,-,9,8,-,9,4,-,15,17,8,9,-,10,17,3,42,6,5
