Item,Minnesota,Aitkin,Anoka,Becker,Beltrami,Benton,Big Stone,Blue Earth,Brown,Carlton,Carver,Cass,Chippewa,Chisago,Clay,Clearwater,Cook,Cottonwood,Crow Wing,Dakota,Dodge,Douglas,Faribault,Fillmore,Freeborn,Goodhue,Grant,Hennepin,Houston,Hubbard,Isanti,Itasca,Jackson,Kanabec,Kandiyohi,Kittson,Koochiching,Lac qui Parle,Lake,Lake of the Woods,Le Sueur,Lincoln,Lyon,McLeod,Mahnomen,Marshall,Martin,Meeker,Mille Lacs,Morrison,Mower,Murray,Nicollet,Nobles,Norman,Olmsted,Otter Tail,Pennington,Pine,Pipestone,Polk,Pope,Ramsey,Red Lake,Redwood,Renville,Rice,Rock,Roseau,St. Louis,Scott,Sherburne,Sibley,Stearns,Steele,Stevens,Swift,Todd,Traverse,Wabasha,Wadena,Waseca,Washington,Watonwan,Wilkin,Winona,Wright,Yellow Medicine
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","6,943",81,59,64,85,109,17,54,52,110,93,118,24,188,58,42,7,30,66,112,77,101,36,138,54,177,18,114,63,46,199,94,32,129,115,12,37,31,17,21,79,10,40,93,11,27,38,89,123,288,94,24,43,56,21,116,221,14,162,30,63,55,-,5,66,43,153,31,56,225,135,130,76,376,70,22,31,259,2,56,69,59,73,37,12,117,222,41
2017,"6,198",84,60,70,111,115,21,59,41,106,67,68,36,162,52,51,15,29,65,81,80,59,42,132,66,184,15,33,66,85,134,81,28,118,83,8,17,26,17,15,76,17,27,84,14,24,29,89,125,271,90,20,26,41,17,125,204,23,119,36,50,39,4,5,62,42,149,35,32,173,96,96,65,384,67,28,41,198,9,68,71,65,78,20,11,78,167,26
"Layers                                                                                farms, 2022","6,146",77,56,53,64,76,14,49,43,106,88,111,19,175,52,38,7,22,53,104,69,96,36,128,47,151,18,106,59,42,196,90,29,113,90,9,36,17,17,19,69,10,33,83,11,24,36,75,119,195,87,23,34,45,18,109,201,14,156,27,53,50,-,5,47,37,139,29,48,216,131,120,69,298,49,18,17,236,2,56,56,49,67,31,12,116,213,38
2017,"5,245",76,55,56,103,65,20,48,29,100,62,59,33,158,48,50,15,23,59,76,65,57,26,118,57,165,13,32,60,76,123,80,16,116,69,7,17,24,16,11,65,17,22,74,13,24,23,76,115,127,80,13,23,32,16,112,166,22,116,34,48,34,3,5,43,34,142,35,24,164,86,85,55,259,47,22,28,166,8,61,70,41,71,11,11,74,144,21
"number, 2022","14,553,497","1,681","1,883","1,156","1,469","31,573",273,(D),"2,231","3,822","1,809","2,539",360,"4,324","830,278",851,92,805,919,"7,046","3,073","2,500",785,"18,326","1,417","11,070",796,"2,556","1,471",756,"4,592","2,312",(D),"29,040","1,746",138,"1,210",281,663,412,"1,489",166,(D),"3,374",386,497,908,"5,700,533","362,928","312,324","2,624",638,"1,978,554","1,585",387,"1,977","4,145",238,"2,845",517,"1,082",866,-,85,852,930,"5,350",523,"1,076","6,331","3,977",(D),(D),"897,819",588,280,459,"2,036,330",(D),"1,886","3,421","1,087","1,544","1,426",341,"12,886",(D),664
2017,"10,849,607","2,375","1,172","1,958","3,672","1,431",388,"541,472","1,372","4,912","1,248","1,455",532,"4,202","767,536",(D),183,605,"1,129","2,645","3,341","1,418",531,"8,312","1,374","4,368",375,"1,018","1,155","1,589","2,303","2,377",(D),"13,862","1,275",150,482,323,885,310,"3,762",312,(D),"2,899",453,831,621,(D),"2,874","240,598","2,294",962,(D),835,477,"2,185","3,960",382,(D),"1,264","2,178",802,9,126,"4,107",(D),"4,558",707,620,"4,777","5,639",(D),(D),"1,033,055",986,567,633,"6,018",176,"1,630","2,562",782,"2,064",244,498,"6,274",(D),659
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"5,412",65,44,47,60,68,14,42,26,87,85,102,17,153,32,33,7,18,51,91,62,89,30,110,40,131,14,92,55,40,177,77,27,85,84,9,31,17,12,19,63,10,31,70,5,24,35,71,103,151,74,22,30,39,16,101,189,14,153,22,49,50,-,5,45,34,120,27,47,181,113,106,63,246,49,18,13,206,2,47,50,44,59,22,12,102,198,38
50 to 99.................................................................................,472,12,9,6,2,4,-,5,6,15,-,9,2,11,13,5,-,2,2,7,3,6,5,10,3,14,-,7,1,2,15,11,1,11,6,-,2,-,4,-,4,-,-,7,6,-,1,-,11,23,10,-,1,5,2,8,9,-,1,5,4,-,-,-,2,3,17,1,1,30,13,6,5,28,-,-,4,17,-,5,-,4,5,6,-,8,9,-
100 to 399.............................................................................,161,-,3,-,2,2,-,1,11,1,3,-,-,11,2,-,-,2,-,3,-,1,1,4,4,1,4,7,3,-,4,2,-,5,-,-,3,-,1,-,2,-,1,5,-,-,-,-,2,5,3,1,-,-,-,-,3,-,2,-,-,-,-,-,-,-,1,1,-,5,5,7,-,7,-,-,-,9,-,4,2,1,3,3,-,4,4,-
"400 to 3,199..........................................................................",36,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,3,4,-,-,1,-,5,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,4,-,-,-,-,-,-,-
