Item,Mississippi,Adams,Alcorn,Amite,Attala,Benton,Bolivar,Calhoun,Carroll,Chickasaw,Choctaw,Claiborne,Clarke,Clay,Coahoma,Copiah,Covington,DeSoto,Forrest,Franklin,George,Greene,Grenada,Hancock,Harrison,Hinds,Holmes,Humphreys,Issaquena,Itawamba,Jackson,Jasper,Jefferson,Jefferson Davis,Jones,Kemper,Lafayette,Lamar,Lauderdale,Lawrence,Leake,Lee,Leflore,Lincoln,Lowndes,Madison,Marion,Marshall,Monroe,Montgomery,Neshoba,Newton,Noxubee,Oktibbeha,Panola,Pearl River,Perry,Pike,Pontotoc,Prentiss,Quitman,Rankin,Scott,Sharkey,Simpson,Smith,Stone,Sunflower,Tallahatchie,Tate,Tippah,Tishomingo,Tunica,Union,Walthall,Warren,Washington,Wayne,Webster,Wilkinson,Winston,Yalobusha,Yazoo
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","4,183",10,39,49,46,24,-,23,41,34,17,5,52,25,3,82,78,52,74,15,81,95,22,58,87,79,29,-,1,25,111,94,19,59,161,28,30,92,37,74,101,37,6,109,37,51,87,47,50,16,122,113,30,37,21,122,74,89,79,34,-,114,104,3,94,119,58,13,13,50,50,14,1,30,93,21,15,124,23,15,64,33,19
2017,"4,300",15,47,62,43,16,6,29,34,22,21,5,33,20,-,59,109,47,56,31,114,63,14,95,80,96,20,4,-,30,117,129,26,36,169,23,69,126,48,72,135,39,8,80,60,15,96,82,63,5,175,126,26,40,22,142,45,80,83,22,-,105,101,3,93,118,57,15,14,70,32,17,3,46,72,8,-,105,8,14,53,28,8
"Layers                                                                                farms, 2022","3,003",7,39,34,44,24,-,23,41,28,16,5,42,19,3,66,27,48,64,13,73,69,22,51,78,62,26,-,1,23,104,21,10,25,68,21,30,78,37,28,21,35,6,82,28,50,52,46,47,15,55,75,16,31,18,121,63,70,75,32,-,65,43,3,42,38,57,13,13,47,48,11,1,30,61,21,10,66,20,9,47,31,19
2017,"3,004",9,47,28,41,16,3,29,34,20,21,5,26,20,-,34,36,43,45,30,114,59,14,77,76,83,20,4,-,26,116,37,17,20,49,17,67,94,44,35,56,33,8,55,48,14,65,72,54,5,70,75,17,39,20,133,29,60,72,22,-,68,43,3,34,34,57,15,14,62,28,16,3,46,43,8,-,44,8,3,36,28,8
"number, 2022","4,673,149",212,"115,456","1,198",781,273,-,488,922,"120,426",415,185,"1,389",394,20,"1,532","102,650","2,623","1,484",196,"2,188","115,025",574,"1,425","1,266",(D),"1,064",-,(D),775,"2,925","100,301",208,(D),"53,550",(D),"1,813","68,651",997,527,(D),"1,092",392,"54,940",593,"1,294","335,516","1,207","4,948",660,"139,947","147,057","238,178",627,589,"4,629","29,681",(D),"4,486",794,-,"135,109","177,855",(D),"216,968","83,686","1,625",276,243,"1,380",755,(D),(D),358,"92,068",602,352,"261,748",201,250,"239,464","1,657","1,338"
2017,"5,828,262",168,(D),844,803,579,72,373,"1,514",(D),464,103,705,274,-,897,"206,877",998,"1,032",(D),"2,557","101,005",851,"1,931","2,085",(D),699,12,-,378,"4,568","188,386",396,"299,851",(D),"107,740","1,567",(D),"41,086","68,792","197,707",799,274,"1,538","1,000",634,"389,736","1,915","2,125",67,"328,196","176,148","210,390","1,034",554,"4,874","108,930","62,204","1,975",264,-,"59,292","118,503",18,"325,170","240,090","1,180",369,194,"1,450",655,337,75,581,"112,587",394,-,"409,288",180,56,"253,754",957,208
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"2,532",4,23,28,43,23,-,19,38,25,11,4,39,18,3,58,19,40,55,13,58,58,22,45,74,57,20,-,1,18,87,18,10,23,59,19,25,59,29,26,18,31,2,64,28,46,40,34,36,13,46,66,9,31,11,99,54,54,61,26,-,58,34,3,34,31,46,12,11,40,48,10,1,30,54,14,8,57,20,8,32,24,17
50 to 99.................................................................................,237,3,7,2,1,-,-,4,2,-,5,1,1,1,-,6,4,7,9,-,10,6,-,3,4,-,2,-,-,3,16,-,-,-,4,-,4,12,8,1,-,2,3,8,-,-,-,12,5,-,3,1,-,-,7,8,5,3,5,6,-,2,1,-,1,1,10,1,2,2,-,-,-,-,3,7,-,1,-,1,7,4,-
100 to 399.............................................................................,101,-,-,4,-,1,-,-,1,1,-,-,2,-,-,2,-,-,-,-,5,-,-,3,-,4,4,-,-,2,1,-,-,-,3,-,-,5,-,1,1,2,1,7,-,4,-,-,3,2,-,3,-,-,-,12,-,11,5,-,-,-,-,-,1,-,-,-,-,5,-,-,-,-,-,-,2,-,-,-,-,3,-
"400 to 3,199..........................................................................",22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,2,3,-,4,-,-,-,3,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",28,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3,-,-,3,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,1,-,-,1,-,-,2,-,-,-,-,-
"20,000 to 49,999...................................................................",76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,3,-,1,2,1,-,2,-,-,1,-,-,-,-,-,9,-,-,-,4,5,6,-,-,-,1,2,-,-,-,5,5,-,2,3,-,-,-,-,-,-,-,-,3,-,-,5,-,-,8,-,-
"50,000 to 99,999...................................................................",5,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"100,000 or more....................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",595,-,10,15,4,4,-,4,7,1,2,1,2,7,-,7,10,16,14,2,27,9,1,1,6,12,4,-,-,7,33,-,-,4,15,1,4,9,10,4,7,3,5,28,5,4,12,6,22,4,16,33,3,-,8,22,15,11,13,8,-,11,-,-,15,14,16,5,-,4,10,-,-,5,8,6,-,8,4,-,2,4,5
2017,471,-,7,4,9,11,-,-,2,1,4,2,3,-,-,9,2,2,4,10,17,6,5,14,11,13,7,-,-,-,21,2,1,4,12,2,5,12,6,1,9,5,-,8,11,7,13,9,16,1,19,19,-,2,3,35,4,3,17,3,-,16,6,-,8,4,11,3,-,5,1,3,-,-,7,3,-,2,-,-,8,1,-
"number, 2022","3,490,217",-,121,428,168,90,-,32,162,(D),(D),(D),(D),16,-,90,"60,036",216,270,(D),438,"130,440",(D),(D),136,(D),240,-,-,175,"1,888",-,-,"280,000","267,135",(D),92,"180,090",100,(D),"288,000",80,222,401,37,40,"148,321",150,457,120,"410,720","237,695",(D),-,170,544,530,120,"2,677",131,-,(D),-,-,"277,150","316,052",195,100,-,110,82,-,-,65,(D),150,-,(D),136,-,(D),75,20
2017,"3,428,183",-,62,54,259,335,-,-,(D),(D),40,(D),60,-,-,62,(D),(D),60,105,206,56,308,699,172,(D),342,-,-,-,396,(D),(D),"430,000","416,080",(D),152,"120,110",97,(D),(D),67,-,84,201,201,"269,716",156,435,(D),"394,368","198,530",-,(D),110,736,60,60,"1,386",38,-,"155,007","30,020",-,"360,215",(D),149,30,-,114,(D),45,-,-,(D),90,-,(D),-,-,(D),(D),-
"Broilers and other meat-type chickens                         farms, 2022","1,295",4,5,14,5,6,-,1,19,8,4,-,17,1,-,19,51,9,16,-,13,27,2,14,19,5,7,-,-,5,19,68,13,27,97,7,-,17,-,43,72,4,3,35,9,13,32,6,12,4,64,38,15,4,6,12,27,16,4,-,-,32,51,-,47,71,7,-,-,8,-,1,-,7,36,-,-,68,1,-,21,1,6
2017,"1,386",2,18,33,4,-,3,11,6,1,2,-,9,-,-,25,76,4,10,2,3,18,3,14,11,7,9,-,-,4,1,95,8,12,106,9,5,35,5,41,90,8,-,32,11,2,31,3,8,-,97,60,9,1,2,20,13,26,4,-,-,38,54,-,59,85,6,-,-,10,4,-,-,-,29,3,-,61,-,10,16,-,2
"number, 2022","124,374,849",127,80,"1,984,056",(D),12,-,(D),588,"849,002",76,-,"2,137,082",(D),-,"2,211,351","6,669,445",66,"293,097",-,199,"2,819,968",(D),(D),373,65,647,-,-,275,"2,082","7,618,782","1,071,323","2,650,606","10,136,434","649,000",-,"978,864",-,"5,796,300","10,748,500",(D),210,"3,742,025","860,084",364,"4,011,446",270,(D),48,"7,956,713","3,928,740","1,719,660",(D),80,193,"403,281","1,255,868",(D),-,-,"4,887,320","7,923,960",-,"6,739,030","8,978,806",88,-,-,174,-,(D),-,235,"3,717,761",-,-,"8,402,757",(D),-,"2,260,579",(D),120
