Item,Missouri,Adair,Andrew,Atchison,Audrain,Barry,Barton,Bates,Benton,Bollinger,Boone,Buchanan,Butler,Caldwell,Callaway,Camden,Cape Girardeau,Carroll,Carter,Cass,Cedar,Chariton,Christian,Clark,Clay,Clinton,Cole,Cooper,Crawford,Dade,Dallas,Daviess,DeKalb,Dent,Douglas,Dunklin,Franklin,Gasconade,Gentry,Greene,Grundy,Harrison,Henry,Hickory,Holt,Howard,Howell,Iron,Jackson,Jasper,Jefferson,Johnson,Knox,Laclede,Lafayette,Lawrence,Lewis,Lincoln,Linn,Livingston,McDonald,Macon,Madison,Maries,Marion,Mercer,Miller,Mississippi,Moniteau,Monroe,Montgomery,Morgan,New Madrid,Newton,Nodaway,Oregon,Osage,Ozark,Pemiscot,Perry,Pettis,Phelps,Pike,Platte,Polk,Pulaski,Putnam,Ralls,Randolph,Ray,Reynolds,Ripley,St. Charles,St. Clair,Ste. Genevieve,St. Francois,St. Louis,Saline,Schuyler,Scotland,Scott,Shannon,Shelby,Stoddard,Stone,Sullivan,Taney,Texas,Vernon,Warren,Washington,Wayne,Webster,Worth,Wright
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","10,591",90,55,15,117,281,71,96,98,94,182,50,59,88,125,85,74,39,22,203,128,40,153,18,79,72,91,56,109,63,173,84,65,90,142,12,261,81,60,326,35,59,77,57,5,33,207,55,110,180,148,196,37,177,115,196,41,129,45,38,187,97,37,75,49,32,131,-,141,74,57,232,1,293,67,73,83,73,8,43,137,128,51,61,188,60,40,37,71,99,51,83,44,101,99,104,25,29,28,68,34,60,21,75,87,28,99,231,161,73,63,31,329,19,136
2017,"10,245",75,72,19,90,259,58,102,81,44,169,52,29,80,121,99,82,38,23,194,147,35,102,30,40,72,105,82,85,42,184,91,51,125,116,13,246,69,50,255,71,62,71,41,5,40,172,56,142,142,128,191,44,167,126,209,46,155,66,32,148,117,32,71,31,27,101,2,155,92,59,250,-,269,39,69,97,86,1,52,164,97,66,74,212,66,32,53,101,113,57,45,33,77,88,96,17,58,39,50,22,62,27,60,113,28,77,223,170,83,77,29,332,8,105
"Layers                                                                                farms, 2022","9,421",82,51,13,103,156,65,96,69,91,174,46,54,87,122,82,72,36,22,190,114,39,142,18,77,69,85,53,102,45,165,79,55,89,134,12,254,79,59,319,34,52,74,54,5,30,201,49,98,156,145,180,37,167,110,157,41,125,44,35,132,94,36,70,49,31,99,-,99,74,52,117,-,184,65,64,56,73,8,39,87,128,47,56,177,54,39,35,71,99,51,73,42,90,90,98,22,29,28,59,21,58,14,69,70,27,98,219,150,71,63,30,273,19,128
2017,"9,052",69,59,19,86,120,55,100,65,43,148,46,29,72,107,84,80,35,20,186,140,32,96,30,39,72,102,75,85,37,161,84,50,114,105,12,221,64,44,235,55,55,62,39,4,34,163,51,133,126,124,175,42,163,124,159,42,151,66,32,98,116,29,71,31,25,69,2,122,90,58,163,-,192,31,67,69,77,1,52,118,85,65,72,188,62,32,52,97,108,55,41,30,74,80,94,10,57,35,45,11,60,27,45,99,27,69,214,160,78,72,29,276,8,93
"number, 2022","11,474,121",(D),910,191,"185,693","327,353","1,416","1,987","265,619","1,663","10,544",734,727,"2,074","2,606","1,492","2,468",825,334,"4,584","284,714",653,"3,915",596,"1,843","2,621","1,932","228,164","2,445",920,"576,076","79,203","2,217","1,177","2,266",171,"5,337","1,535","7,152","5,280",(D),"1,523","6,202","12,049",81,"1,086","77,647","1,478","3,132","3,032","3,869",(D),"89,913","22,768","2,161","330,351",879,(D),"1,031",432,"255,017","2,455",765,"2,603","1,084",921,"3,163",-,"40,449","1,327","1,148","452,701",-,(D),"3,880","23,016","1,255","1,410",280,"1,182","626,070","2,677",894,"1,111","536,397","1,129",637,770,"1,797","1,972","2,693",(D),"1,610","95,780","2,440","2,258","1,435","1,317",571,"79,662",(D),"1,134",(D),(D),"1,853",426,"1,352","22,621","215,718","1,555","1,383",555,"62,457",222,"54,442"
2017,"11,306,386","45,618","2,786",278,"161,505","449,695","17,291","2,254","224,570",987,"12,956",795,"1,300","1,257","2,173","1,841","8,658",585,523,"4,674","244,512",449,"8,448",550,"2,471","1,869","1,928","285,492","2,019",509,"486,805","61,405",(D),"2,992","2,196",173,"4,993","1,392","6,373","4,307",(D),"1,340","1,100",979,167,(D),"23,209","1,281","4,145","3,196","4,022",(D),"99,703","2,944","2,999","136,005","1,118",(D),"1,489",964,"309,598","2,723",510,"4,555",795,643,"1,050",(D),(D),"2,642","1,536","313,741",-,(D),"1,193","2,249","1,846","1,588",(D),"1,450","883,598","2,007","2,494","1,448","518,738","1,126",769,"1,168","1,300","3,115","1,354",(D),"1,492","16,957","1,520","2,375",605,"1,316","1,442","132,190",(D),"1,215","42,539",(D),"2,918",364,"1,194","4,240","137,569","1,816","1,525",732,"92,045",129,"25,975"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"8,368",80,50,13,73,138,56,84,56,91,151,46,52,78,110,77,55,34,22,179,97,39,131,14,71,65,75,44,85,44,122,70,50,88,133,12,242,75,46,304,30,47,67,49,5,27,181,38,88,144,133,158,26,161,105,145,40,116,36,33,108,80,34,53,46,28,83,-,82,69,48,88,-,165,56,46,51,68,6,37,56,113,46,50,141,49,38,30,67,87,37,56,31,77,74,89,12,28,25,47,19,54,12,65,59,27,97,203,128,65,60,30,232,19,116
50 to 99.................................................................................,554,-,1,-,17,4,8,12,5,-,14,-,2,7,12,3,9,2,-,6,-,-,6,4,5,3,9,-,17,1,1,5,2,1,1,-,9,1,-,12,2,3,1,1,-,1,13,9,3,10,5,10,1,2,4,4,1,4,8,2,8,8,2,9,3,2,13,-,7,5,4,6,-,7,1,13,3,5,2,1,9,15,-,6,7,3,1,4,2,12,9,10,9,7,11,4,7,-,3,6,1,4,-,1,9,-,1,12,2,6,3,-,21,-,7
