Item,Montana,Beaverhead,Big Horn,Blaine,Broadwater,Carbon,Carter,Cascade,Chouteau,Custer,Daniels,Dawson,Deer Lodge,Fallon,Fergus,Flathead,Gallatin,Garfield,Glacier,Golden Valley,Granite,Hill,Jefferson,Judith Basin,Lake,Lewis and Clark,Liberty,Lincoln,McCone,Madison,Meagher,Mineral,Missoula,Musselshell,Park,Petroleum,Phillips,Pondera,Powder River,Powell,Prairie,Ravalli,Richland,Roosevelt,Rosebud,Sanders,Sheridan,Silver Bow,Stillwater,Sweet Grass,Teton,Toole,Treasure,Valley,Wheatland,Wibaux,Yellowstone
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","2,534",27,26,20,48,77,13,118,24,54,5,13,10,20,58,167,148,19,22,13,12,31,52,19,134,89,10,57,9,44,15,11,116,46,57,3,14,23,42,34,2,243,35,17,27,98,15,23,46,27,47,18,5,40,16,11,164
2017,"2,809",71,27,18,54,87,27,126,23,49,3,20,4,33,85,162,146,16,27,3,14,42,48,20,131,130,17,71,15,54,14,12,120,59,89,2,12,27,32,36,9,290,32,14,38,95,6,25,47,29,29,9,5,22,19,16,198
"Layers                                                                                farms, 2022","2,407",20,24,20,47,71,13,114,23,45,5,12,10,20,53,152,148,19,22,13,10,31,42,17,130,86,10,57,9,42,11,10,113,46,52,3,13,23,41,34,2,234,35,17,27,94,14,20,45,24,42,18,5,40,14,10,155
2017,"2,685",70,27,17,51,85,26,114,23,47,3,18,4,31,82,153,138,16,26,3,13,36,46,20,131,120,17,71,13,53,13,12,113,58,88,2,11,25,32,36,9,266,31,14,38,93,6,23,47,25,29,9,5,20,17,16,193
"number, 2022","1,235,100",218,541,(D),948,"1,166",165,"94,282",(D),623,84,379,99,309,"1,597","3,076","7,105",459,"238,979",(D),96,"105,299",571,250,"2,054",(D),"72,555","1,475",377,921,254,195,"1,809",592,"1,939",26,(D),"205,250",661,"4,272",(D),"7,849",992,367,407,"6,028",207,289,715,342,(D),"121,328",67,"1,186",176,153,"20,326"
2017,"931,006",773,395,(D),820,"1,680",465,"76,469","93,291",792,110,722,29,539,"1,592","5,334","2,415",226,"172,403",(D),174,(D),717,594,"14,273",(D),"107,810","1,105",424,902,98,192,"2,087",980,"2,314",(D),342,"115,236",538,736,360,"6,031",573,349,697,"5,335",93,229,896,289,"69,282","26,229",82,442,248,254,"20,552"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"2,227",20,22,17,45,70,13,101,20,45,5,11,10,20,46,145,132,19,14,12,10,26,42,17,129,75,6,51,8,37,10,9,107,46,44,3,12,18,41,31,2,213,29,16,27,84,14,20,45,24,38,14,5,33,14,10,150
50 to 99.................................................................................,95,-,1,-,2,1,-,9,1,-,-,-,-,-,3,2,11,-,-,-,-,-,-,-,-,9,-,2,-,5,-,1,5,-,4,-,-,-,-,1,-,15,6,1,-,4,-,-,-,-,2,-,-,7,-,-,3
100 to 399.............................................................................,38,-,1,1,-,-,-,-,-,-,-,1,-,-,4,5,3,-,1,-,-,1,-,-,-,-,-,4,1,-,1,-,1,-,4,-,-,-,-,-,-,3,-,-,-,5,-,-,-,-,-,1,-,-,-,-,1
"400 to 3,199..........................................................................",11,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",7,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"20,000 to 49,999...................................................................",21,-,-,1,-,-,-,2,2,-,-,-,-,-,-,-,-,-,5,-,-,3,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-
"50,000 to 99,999...................................................................",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"100,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",271,3,4,2,4,7,2,21,3,7,-,2,-,-,3,15,21,2,4,1,-,4,-,3,13,17,1,3,-,8,-,1,15,2,4,-,4,3,3,3,-,26,4,-,-,10,-,3,9,3,3,2,-,7,1,1,17
2017,272,4,1,2,6,7,3,16,5,2,-,3,-,1,8,30,9,2,8,1,-,3,7,-,9,3,3,9,-,2,1,1,18,5,9,-,1,3,4,7,1,31,6,1,-,14,-,-,7,2,1,3,-,1,4,-,8
"number, 2022","303,454",42,126,(D),34,70,(D),(D),9,84,-,(D),-,-,(D),216,"1,327",(D),"47,207",(D),-,(D),-,30,80,(D),(D),15,-,52,-,(D),217,(D),36,-,25,"73,500",36,30,-,309,48,-,-,(D),-,(D),75,22,33,(D),-,225,(D),(D),(D)
2017,"354,492",36,(D),(D),76,99,36,"30,233",(D),(D),-,45,-,(D),143,636,127,(D),"83,367",(D),-,(D),75,-,"5,853",(D),(D),39,-,(D),(D),(D),372,92,130,-,(D),"72,750",39,116,(D),379,144,(D),-,(D),-,-,160,(D),(D),(D),-,(D),(D),-,(D)
"Broilers and other meat-type chickens                         farms, 2022",243,1,2,1,14,-,-,18,2,-,-,3,-,5,15,21,13,-,1,3,1,3,1,2,12,7,3,4,-,4,5,-,7,2,3,-,2,6,6,6,-,24,4,3,2,11,-,1,1,4,8,-,-,2,2,-,8
2017,232,4,1,2,9,7,2,10,1,4,-,3,-,-,13,21,4,2,3,1,1,8,2,2,4,3,4,6,3,-,1,-,10,10,10,-,1,5,1,4,-,22,3,2,1,11,-,-,3,2,5,2,1,3,2,-,13
"number, 2022","95,107",(D),(D),(D),296,-,-,290,(D),-,-,160,-,26,"1,000",322,124,-,(D),(D),(D),"8,100",(D),(D),97,390,"15,000",460,-,86,60,-,112,(D),70,-,(D),(D),106,76,-,351,125,7,(D),607,-,(D),(D),212,(D),-,-,(D),(D),-,(D)
2017,"105,024",56,(D),(D),138,263,(D),"8,708",(D),110,-,375,-,-,693,328,32,(D),"3,260",(D),(D),"3,440",(D),(D),114,38,"21,000",240,36,-,(D),-,240,151,304,-,(D),(D),(D),72,-,566,23,(D),(D),113,-,-,21,(D),(D),(D),(D),12,(D),-,(D)
"Turkeys                                                                              farms, 2022",201,1,-,1,4,4,-,6,3,-,-,-,-,-,2,19,8,-,1,2,-,2,3,3,4,20,2,4,-,6,2,-,7,1,1,-,1,3,3,1,-,33,-,-,2,12,3,6,3,6,8,-,1,3,1,-,9
