Item,Nebraska,Adams,Antelope,Arthur,Banner,Blaine,Boone,Box Butte,Boyd,Brown,Buffalo,Burt,Butler,Cass,Cedar,Chase,Cherry,Cheyenne,Clay,Colfax,Cuming,Custer,Dakota,Dawes,Dawson,Deuel,Dixon,Dodge,Douglas,Dundy,Fillmore,Franklin,Frontier,Furnas,Gage,Garden,Garfield,Gosper,Grant,Greeley,Hall,Hamilton,Harlan,Hayes,Hitchcock,Holt,Hooker,Howard,Jefferson,Johnson,Kearney,Keith,Keya Paha,Kimball,Knox,Lancaster,Lincoln,Logan,Loup,McPherson,Madison,Merrick,Morrill,Nance,Nemaha,Nuckolls,Otoe,Pawnee,Perkins,Phelps,Pierce,Platte,Polk,Red Willow,Richardson,Rock,Saline,Sarpy,Saunders,Scotts Bluff,Seward,Sheridan,Sherman,Sioux,Stanton,Thayer,Thomas,Thurston,Valley,Washington,Wayne,Webster,Wheeler,York
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","2,967",24,43,6,8,7,10,31,9,23,75,38,75,50,41,16,41,47,30,16,57,70,24,54,27,15,19,48,50,9,2,19,16,15,64,10,10,11,2,11,39,35,14,8,12,60,3,64,32,12,27,12,5,30,49,214,69,15,5,3,64,26,38,13,19,23,72,16,11,17,29,44,28,24,28,16,45,61,65,84,85,35,26,26,38,24,10,18,8,70,18,14,10,31
2017,"3,023",22,19,5,15,7,11,32,18,33,81,28,48,79,45,14,41,41,35,18,46,57,29,45,39,15,21,37,52,17,17,35,22,19,87,13,25,7,6,18,44,50,18,7,7,68,1,48,29,18,8,10,9,26,46,216,78,13,4,5,32,40,34,20,28,21,67,28,10,13,31,49,13,26,26,8,27,66,85,84,86,28,6,25,31,28,1,29,18,78,33,19,11,18
"Layers                                                                                farms, 2022","2,782",24,41,2,8,6,10,31,9,20,68,34,64,48,41,16,41,45,30,15,54,59,23,54,27,13,17,43,47,9,1,18,15,14,58,10,10,11,2,11,32,34,14,8,12,60,3,58,32,10,27,12,5,30,47,208,69,15,5,3,63,22,38,13,18,23,69,16,11,15,26,30,27,24,28,16,34,58,59,80,75,32,23,26,37,24,10,16,8,59,18,14,10,27
2017,"2,771",22,18,5,15,6,10,32,17,32,80,28,40,73,43,12,40,29,35,13,43,54,29,42,35,15,21,37,45,17,13,35,22,19,80,13,21,7,6,18,44,33,16,7,7,59,1,41,24,11,8,5,9,26,43,196,73,13,3,5,30,30,34,20,26,21,64,26,10,13,27,49,12,26,26,8,25,58,78,76,83,28,5,19,30,22,1,17,17,75,31,10,11,17
"number, 2022","7,161,783",388,"1,406",(D),225,18,162,518,659,277,"110,415",909,"543,468",(D),"1,029",349,539,906,(D),532,"101,247","1,342",462,"1,254",883,326,(D),855,"1,030",290,(D),356,329,274,(D),199,235,96,(D),(D),(D),"1,013",248,62,205,"3,721",30,"1,559",(D),166,810,260,106,423,(D),"5,570","1,306",396,146,39,"3,113",404,446,190,449,400,"1,876",517,383,276,620,662,(D),611,524,213,524,"1,219","2,089","1,531","1,747",694,385,441,(D),497,224,373,203,(D),(D),630,72,502
2017,"7,353,761",365,652,72,523,73,370,631,330,515,"1,710",733,(D),"1,831","2,032",198,605,588,(D),325,"1,112","1,535","1,018",777,"1,015",384,(D),"2,044",994,955,372,789,552,306,"1,443,351",157,655,272,141,(D),835,594,254,81,210,"1,901",(D),"1,310",(D),420,131,71,207,558,(D),"8,365","1,813",139,63,117,"1,340","1,047",613,462,817,501,"1,601",740,784,223,"1,094","2,068",(D),646,484,99,391,"1,310","2,768","1,259","1,818",511,113,365,607,398,(D),246,666,"2,988",814,654,149,540
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"2,511",24,32,2,5,6,10,31,4,20,56,32,56,38,40,13,41,43,29,13,43,51,20,49,21,13,14,41,44,7,1,17,13,14,49,10,10,11,2,10,28,26,14,8,12,42,3,50,28,10,25,10,5,30,43,196,65,12,5,3,49,22,38,13,16,23,63,14,7,15,25,24,24,22,26,16,34,51,50,77,66,30,23,26,33,24,10,14,8,52,17,12,10,27
50 to 99.................................................................................,159,-,4,-,3,-,-,-,-,-,4,-,-,4,-,3,-,-,-,-,9,8,3,4,5,-,2,1,1,2,-,1,2,-,6,-,-,-,-,-,3,7,-,-,-,11,-,3,-,-,-,2,-,-,3,7,4,3,-,-,5,-,-,-,2,-,3,1,4,-,-,6,2,-,2,-,-,4,6,3,7,2,-,-,-,-,-,2,-,5,-,-,-,-
