Item,Nevada,Churchill,Clark,Douglas,Elko,Esmeralda,Eureka,Humboldt,Lander,Lincoln,Lyon,Mineral,Nye,Pershing,Storey,Washoe,White Pine,Carson City
INVENTORY,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022",554,84,30,47,81,3,9,43,7,19,56,5,34,24,2,71,36,3
2017,571,80,51,26,77,1,12,30,21,23,71,2,48,26,2,58,39,4
"Layers                                                                                farms, 2022",539,84,29,46,81,3,9,42,7,19,54,5,34,22,2,63,36,3
2017,535,76,45,26,68,1,12,26,21,21,61,2,48,26,2,57,39,4
"number, 2022","15,363","1,618",920,"1,096","1,245",38,185,823,99,259,"1,283",(D),"4,934",533,(D),"1,367",843,30
2017,"15,964","2,334","1,697",418,"1,132",(D),225,433,544,255,"1,556",(D),"4,416",514,(D),"1,751",521,36
2022 farms by inventory:,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,489,78,23,39,79,3,8,41,7,19,47,5,27,19,2,56,33,3
50 to 99.................................................................................,37,5,5,5,2,-,1,1,-,-,5,-,4,3,-,6,-,-
100 to 399.............................................................................,11,1,1,2,-,-,-,-,-,-,2,-,1,-,-,1,3,-
"400 to 3,199..........................................................................",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"3,200 to 9,999.......................................................................",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",56,3,2,-,12,-,3,5,-,2,7,-,5,3,-,12,2,-
2017,99,4,13,10,17,-,-,3,-,1,8,-,13,10,-,20,-,-
"number, 2022",742,21,(D),-,97,-,18,26,-,(D),154,-,128,75,-,155,(D),-
2017,"1,580",44,149,22,135,-,-,(D),-,(D),436,-,388,126,-,255,-,-
"Broilers and other meat-type chickens                         farms, 2022",46,2,-,7,1,-,3,10,-,1,13,-,2,-,2,5,-,-
2017,58,10,1,-,18,-,-,6,-,-,8,-,5,3,-,7,-,-
"number, 2022",887,(D),-,372,(D),-,18,74,-,(D),156,-,(D),-,(D),110,-,-
2017,"1,141",125,(D),-,423,-,-,135,-,-,125,-,70,(D),-,183,-,-
"Turkeys                                                                              farms, 2022",84,8,2,6,10,-,-,15,1,2,9,-,12,5,2,5,7,-
2017,78,2,7,-,11,-,1,3,7,3,15,-,8,6,-,9,6,-
"number, 2022","1,146",(D),(D),149,86,-,-,55,(D),(D),44,-,59,36,(D),13,128,-
2017,549,(D),124,-,56,-,(D),22,8,(D),71,-,34,38,-,107,45,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",191,27,9,11,19,-,6,26,5,3,29,-,6,10,-,26,14,-
2017,208,15,16,2,41,-,9,6,13,3,43,2,15,12,2,19,10,-
NUMBER SOLD,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022",240,33,17,20,27,2,3,19,5,7,26,-,13,10,2,40,16,-
2017,301,41,34,15,32,-,7,10,13,7,41,-,27,16,2,41,15,-
"Layers sold                                                                        farms, 2022",38,4,3,3,1,1,-,-,-,2,6,-,6,3,2,6,1,-
2017,61,1,5,13,1,-,-,1,1,2,5,-,14,4,-,13,1,-
"number, 2022","2,097",22,(D),25,(D),(D),-,-,-,(D),190,-,"1,340",75,(D),46,(D),-
2017,"2,110",(D),18,157,(D),-,-,(D),(D),(D),107,-,"1,510",25,-,158,(D),-
"Pullets for laying flock replacement sold                      farms, 2022",9,-,-,-,1,-,-,-,-,-,2,-,-,3,-,3,-,-
2017,3,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-
"number, 2022",86,-,-,-,(D),-,-,-,-,-,(D),-,-,(D),-,45,-,-
2017,9,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-
