Item,New Hampshire,Belknap,Carroll,Cheshire,Coos,Grafton,Hillsborough,Merrimack,Rockingham,Strafford,Sullivan
INVENTORY,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","1,209",55,69,117,78,131,163,215,177,103,101
2017,"1,231",77,89,123,44,132,230,147,159,107,123
"Layers                                                                                farms, 2022","1,109",50,63,114,78,118,135,192,169,95,95
2017,"1,145",69,88,122,44,125,199,138,146,103,111
"number, 2022","238,651","2,574","2,278","9,218","1,514",(D),"9,924","8,483",(D),"3,228","11,622"
2017,"246,099","5,483",(D),"6,774","2,298",(D),"11,012","5,588","5,728","3,431","21,096"
2022 farms by inventory:,,,,,,,,,,,
1 to 49...................................................................................,933,45,48,95,77,96,107,166,133,76,90
50 to 99.................................................................................,95,3,8,10,-,10,13,14,26,7,4
100 to 399.............................................................................,67,1,7,7,-,9,11,10,10,12,-
"400 to 3,199..........................................................................",10,1,-,1,1,1,4,2,-,-,-
"3,200 to 9,999.......................................................................",1,-,-,1,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",1,-,-,-,-,-,-,-,-,-,1
"20,000 to 49,999...................................................................",1,-,-,-,-,1,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",1,-,-,-,-,1,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",158,4,8,12,11,27,17,25,39,8,7
2017,174,3,12,18,4,8,40,13,33,16,27
"number, 2022",(D),130,125,(D),137,"2,894","1,080",454,"1,820",111,(D)
2017,"23,599",600,78,(D),824,(D),"1,590",553,"2,075",150,"7,910"
"Broilers and other meat-type chickens                         farms, 2022",109,9,6,12,16,18,19,6,9,9,5
2017,156,7,17,9,4,8,46,15,14,24,12
"number, 2022","19,994","2,585",612,"1,225",945,"1,295","2,317",(D),(D),355,130
2017,"26,139",722,960,125,70,"4,322","5,429",454,"12,765",512,780
"Turkeys                                                                              farms, 2022",141,6,7,9,4,21,30,19,27,11,7
2017,156,6,19,9,2,4,40,20,22,18,16
"number, 2022","3,943",817,55,150,31,253,"1,228",217,487,520,185
2017,"3,646",(D),136,257,(D),(D),"1,479",442,388,288,222
"Ducks, geese, and other miscellaneous",,,,,,,,,,,
"poultry                                                                              farms, 2022",393,13,23,45,17,54,56,64,57,47,17
2017,372,13,26,41,4,39,75,53,32,44,45
NUMBER SOLD,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022",849,45,59,84,35,89,122,173,114,69,59
2017,885,56,69,76,38,89,178,114,109,82,74
"Layers sold                                                                        farms, 2022",150,9,10,19,-,17,28,21,22,8,16
2017,223,17,16,23,11,16,40,33,23,24,20
"number, 2022","140,830",(D),431,(D),-,(D),"2,168","3,333","1,547",258,(D)
2017,"63,132","3,495",570,(D),340,"8,290","2,933","2,032","1,055",340,(D)
"Pullets for laying flock replacement sold                      farms, 2022",13,-,-,-,-,3,10,-,-,-,-
2017,42,3,-,-,-,6,10,5,7,10,1
"number, 2022",(D),-,-,-,-,12,(D),-,-,-,-
2017,"9,074",600,-,-,-,"1,575","3,800",235,970,(D),(D)
"Broilers and other meat-type chickens sold                farms, 2022",147,11,9,21,8,13,25,29,17,13,1
2017,156,10,21,11,6,8,41,14,11,24,10
"number, 2022","115,753","3,840",610,"5,771","1,405",(D),"13,305","4,832",(D),864,(D)
2017,"128,782","1,624","3,585","4,343",844,"3,655","14,703","1,136",(D),(D),"14,245"
2022 farms by number sold:,,,,,,,,,,,
"1 to 1,999..............................................................................",142,10,9,20,8,13,23,29,16,13,1
"2,000 to 59,999.....................................................................",4,1,-,1,-,-,2,-,-,-,-
"60,000 to 99,999...................................................................",1,-,-,-,-,-,-,-,1,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",116,6,2,7,6,9,29,34,14,9,-
2017,141,3,11,14,2,4,38,18,15,22,14
"number, 2022","12,763","1,067",(D),290,230,468,"8,806","1,116",564,(D),-
2017,"5,875",(D),787,443,(D),480,"1,552",569,349,328,953
"Ducks, geese, and other miscellaneous",,,,,,,,,,,
"poultry sold                                                                     farms, 2022",100,5,3,12,-,11,17,21,16,12,3
2017,91,4,4,7,-,3,32,8,10,12,11
