Item,New Jersey,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren
INVENTORY,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","2,458",96,11,200,22,29,87,-,106,-,465,66,42,293,126,58,48,179,101,295,1,233
2017,"2,156",61,18,188,45,27,74,7,86,2,378,70,46,192,96,69,37,131,105,283,-,241
"Layers                                                                                farms, 2022","2,296",93,10,195,19,29,80,-,102,-,430,61,37,270,121,46,48,162,95,284,1,213
2017,"1,986",60,17,168,34,26,67,7,79,2,359,66,37,182,89,60,37,113,95,271,-,217
"number, 2022","1,388,403","3,684",662,"12,569",806,783,(D),-,"6,323",-,"18,182","2,165","1,319","65,226","4,100","2,321","3,595",(D),"8,786","9,889",(D),(D)
2017,"1,631,775","2,398",814,"8,228",788,615,(D),170,"1,809",(D),"11,202","1,850","1,634","71,258","4,027","1,465","2,953",(D),"10,296","10,863",-,(D)
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"1,841",67,4,164,13,26,65,-,75,-,347,54,28,230,89,33,37,133,71,230,1,174
50 to 99.................................................................................,291,21,-,17,1,2,4,-,21,-,59,5,8,18,27,4,7,23,6,43,-,25
100 to 399.............................................................................,134,4,6,12,5,1,9,-,2,-,20,1,1,20,5,9,3,4,12,10,-,10
"400 to 3,199..........................................................................",24,1,-,1,-,-,1,-,4,-,4,1,-,1,-,-,1,1,6,1,-,2
"3,200 to 9,999.......................................................................",2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"Pullets for laying flock replacement                              farms, 2022",359,18,-,46,1,4,16,-,11,-,56,7,9,46,14,5,9,26,8,51,-,32
2017,326,13,2,20,4,2,15,-,18,-,46,17,10,33,22,7,11,29,24,27,-,26
"number, 2022",(D),234,-,666,(D),49,293,-,232,-,"1,153",186,640,"1,002",454,144,(D),(D),114,900,-,827
2017,(D),532,(D),873,71,(D),244,-,356,-,"1,757",455,364,(D),502,192,195,(D),543,707,-,685
"Broilers and other meat-type chickens                         farms, 2022",249,4,1,20,1,2,14,-,20,-,40,6,7,21,9,6,5,20,12,36,-,25
2017,175,7,-,14,7,-,4,-,1,-,39,4,4,8,4,2,-,15,6,37,-,23
"number, 2022","52,074",(D),(D),658,(D),(D),(D),-,392,-,"2,532",(D),(D),"1,179",322,107,26,"1,895","21,296","3,095",-,"1,538"
2017,"25,331",159,-,483,(D),-,140,-,(D),-,"1,528",(D),86,111,(D),(D),-,"1,172",(D),"5,307",-,"1,229"
"Turkeys                                                                              farms, 2022",198,2,-,15,-,3,10,-,7,-,23,6,4,20,10,12,5,34,9,18,-,20
2017,154,7,1,9,-,2,7,3,4,-,30,3,8,15,4,11,7,9,5,20,-,9
"number, 2022","29,543",(D),-,79,-,23,296,-,14,-,386,(D),613,(D),(D),61,20,163,146,278,-,221
2017,"15,985",37,(D),91,-,(D),26,3,20,-,(D),(D),406,72,18,90,26,50,473,735,-,40
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",847,42,1,83,4,7,19,-,24,-,193,21,16,79,42,48,25,67,27,71,-,78
2017,783,10,8,93,28,8,32,3,28,-,132,31,16,54,42,31,16,48,30,82,-,91
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","1,914",76,12,153,23,24,73,-,83,-,358,53,31,208,113,52,37,114,84,236,1,183
2017,"1,587",48,16,118,24,23,61,4,60,2,288,48,42,156,68,49,29,82,77,222,-,170
"Layers sold                                                                        farms, 2022",349,19,2,31,7,8,11,-,14,-,51,6,5,33,29,12,8,29,15,29,1,39
2017,368,29,-,34,3,4,19,-,16,-,57,12,16,34,12,9,11,18,19,38,-,37
"number, 2022",(D),640,(D),"21,113",108,266,248,-,335,-,"1,232",290,(D),(D),747,444,439,"13,174","1,752","3,200",(D),(D)
2017,"488,367",999,-,"5,779",233,24,(D),-,441,-,"5,163",138,460,(D),"10,610",150,404,308,"2,088","2,937",-,(D)
"Pullets for laying flock replacement sold                      farms, 2022",54,9,-,4,-,1,-,-,2,-,10,1,1,3,2,2,1,4,4,4,-,6
2017,43,1,-,10,1,-,-,-,5,-,7,2,-,4,-,-,-,-,5,7,-,1
"number, 2022","6,234",148,-,(D),-,(D),-,-,(D),-,310,(D),(D),180,(D),(D),(D),795,(D),(D),-,150
2017,"8,238",(D),-,220,(D),-,-,-,26,-,"3,624",(D),-,25,-,-,-,-,116,"3,497",-,(D)
"Broilers and other meat-type chickens sold                farms, 2022",147,4,1,4,4,-,7,-,16,-,19,6,4,11,4,7,1,8,5,26,-,20
2017,104,7,1,11,1,1,-,-,2,-,19,4,2,4,4,1,1,5,9,22,-,10
"number, 2022","311,102",(D),(D),580,77,-,(D),-,228,-,"1,623",(D),"2,575",399,123,237,(D),"1,121",(D),"11,382",-,"4,222"
2017,"217,559",459,(D),"1,536",(D),(D),-,-,(D),-,"2,366",174,(D),47,(D),(D),(D),(D),(D),"10,088",-,842
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",138,4,1,4,4,-,6,-,16,-,19,5,3,11,4,7,1,8,1,24,-,20
"2,000 to 59,999.....................................................................",8,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,3,2,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",86,1,1,3,-,1,9,-,3,-,12,4,3,7,7,3,-,2,7,12,-,11
2017,79,4,-,6,-,3,6,-,1,-,13,3,7,4,3,3,5,1,6,13,-,1
"number, 2022","55,074",(D),(D),7,-,(D),932,-,6,-,285,(D),612,(D),(D),100,-,(D),690,271,-,188
2017,"57,630",66,-,58,-,(D),12,-,(D),-,570,(D),389,(D),(D),12,60,(D),699,736,-,(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",219,18,1,23,6,1,10,-,9,-,52,3,5,10,16,13,1,12,7,17,-,15
2017,214,2,1,30,5,1,6,-,7,-,33,1,5,14,5,10,5,16,8,35,-,30
