Item,New Mexico,Bernalillo,Catron,Chaves,Cibola,Colfax,Curry,De Baca,Dona Ana,Eddy,Grant,Guadalupe,Harding,Hidalgo,Lea,Lincoln,Los Alamos,Luna,McKinley,Mora,Otero,Quay,Rio Arriba,Roosevelt,Sandoval,San Juan,San Miguel,Santa Fe,Sierra,Socorro,Taos,Torrance,Union,Valencia
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","2,915",273,40,69,94,29,25,24,155,29,42,10,13,24,78,62,2,16,269,36,68,59,162,44,127,493,98,130,37,55,83,80,13,176
2017,"3,240",299,26,81,102,36,43,18,148,61,62,22,6,16,67,65,1,14,301,71,64,63,178,51,164,407,141,128,59,76,151,80,15,224
"Layers                                                                                farms, 2022","2,665",263,37,65,94,29,25,24,151,29,42,10,13,24,72,61,2,15,220,33,68,51,160,33,123,380,95,124,37,49,74,80,13,169
2017,"2,848",269,24,70,94,36,37,18,148,58,54,22,6,14,59,63,-,14,169,65,63,54,163,49,144,363,132,115,57,56,141,71,15,205
"number, 2022","91,564","6,577",609,"1,330","1,129",489,697,481,"5,989",614,925,214,278,344,"1,688",932,(D),583,"1,824",702,(D),899,"3,368",(D),"2,596","5,421","1,893","3,352",778,888,"1,513","1,535",256,"5,728"
2017,"102,020","7,954",572,"1,459","1,750",811,"2,336",288,"3,436",863,(D),377,80,154,"1,352","1,329",-,463,"1,513","1,517","1,327","1,101","6,184",(D),"2,425","5,146","2,556","2,474","1,341",782,"3,002","1,067",200,"5,666"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"2,517",242,33,60,93,29,23,24,137,28,37,10,12,24,70,61,2,10,220,27,63,49,145,29,117,370,92,111,30,47,71,78,13,160
50 to 99.................................................................................,96,8,4,5,-,-,1,-,10,-,5,-,1,-,2,-,-,4,-,5,5,-,10,3,1,6,3,7,6,2,2,2,-,4
100 to 399.............................................................................,47,12,-,-,1,-,1,-,3,1,-,-,-,-,-,-,-,1,-,1,-,2,5,-,5,4,-,5,1,-,1,-,-,4
"400 to 3,199..........................................................................",4,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",442,39,6,8,15,4,4,3,9,5,4,-,4,6,14,11,-,4,82,7,7,5,17,4,6,101,11,27,6,3,7,4,-,19
2017,578,39,7,14,33,10,7,2,3,8,12,5,-,2,6,9,-,1,122,18,20,3,17,7,24,82,8,19,10,23,10,10,-,47
"number, 2022","26,943",(D),48,227,290,60,108,9,167,120,36,-,50,52,378,72,-,320,347,179,62,266,246,(D),91,958,216,836,90,48,125,69,-,346
2017,"33,173",465,98,197,358,145,252,(D),652,28,213,50,-,(D),82,81,-,(D),654,480,313,54,318,(D),155,"1,030",73,(D),214,206,150,166,-,504
"Broilers and other meat-type chickens                         farms, 2022",223,22,2,9,9,-,3,6,8,4,2,-,2,3,8,2,-,-,9,-,10,7,20,1,12,25,7,16,6,-,11,3,-,16
2017,254,47,1,12,-,2,4,1,13,6,2,-,2,-,6,1,-,2,3,13,13,5,13,2,5,25,13,21,13,1,8,-,-,20
"number, 2022","6,292",498,(D),242,704,-,(D),180,144,160,(D),-,(D),23,510,(D),-,-,52,-,67,27,754,(D),62,434,75,480,"1,250",-,109,65,-,176
2017,"5,773",810,(D),245,-,(D),601,(D),777,23,(D),-,(D),-,60,(D),-,(D),14,400,152,(D),328,(D),110,279,187,624,314,(D),162,-,-,229
