Item,New York,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,St. Lawrence,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","6,186",117,149,1,95,159,107,204,55,119,139,105,73,138,166,180,80,100,37,71,60,4,102,133,-,79,102,113,81,139,4,6,113,219,85,117,151,74,140,199,27,3,138,-,3,217,152,36,132,85,52,225,81,137,92,75,95,32,160,138,22,78,190
2017,"6,172",104,153,-,95,162,95,182,57,130,96,113,85,182,146,178,90,105,24,54,58,-,138,134,3,99,111,103,90,111,3,4,139,231,80,110,113,72,117,170,28,3,104,-,5,290,126,25,107,100,108,229,77,106,98,79,100,27,158,115,37,100,213
"Layers                                                                                farms, 2022","5,693",116,129,1,88,145,96,182,55,117,136,91,62,132,144,163,75,91,31,69,60,4,98,119,-,76,98,112,72,131,4,6,109,205,81,110,143,69,131,174,17,3,135,-,3,204,135,30,124,78,43,210,63,118,87,69,88,32,143,125,20,72,169
2017,"5,712",100,143,-,92,154,86,175,54,120,94,105,81,168,130,158,86,103,17,43,53,-,128,130,3,94,105,88,85,104,3,4,133,218,73,106,107,66,113,137,27,3,100,-,5,262,125,21,94,86,99,219,61,86,84,74,98,26,143,111,36,91,202
"number, 2022","6,388,603","3,733","3,022",(D),"2,915","4,012","49,801","6,622","1,994","4,545",(D),"141,959","1,124","6,893","6,865",(D),"2,376","95,414",637,(D),(D),64,"16,854","2,353",-,"2,685","2,539","2,687","1,857","9,566",360,109,"4,234","7,188",(D),"22,596","8,900","1,621","3,420","3,791",911,600,"10,635",-,116,"5,319",(D),753,"3,835","35,157",(D),"292,829","6,112",(D),"2,876","2,117","4,461","1,246","17,680",(D),"2,380","3,807","221,353"
2017,"6,058,141","3,557","18,772",-,"3,025","3,539","34,492","5,887","1,114","5,453",(D),"9,359","1,710","5,905","4,542",(D),"6,317","84,234","5,228",(D),(D),-,"10,079",(D),28,"2,772","2,577","2,902","1,902","5,034",60,36,"4,067","5,744","703,150","40,723",(D),"2,832","2,607","8,161",899,550,"6,252",-,359,"7,038",(D),665,"5,965","15,219","68,095",(D),"8,065",(D),"2,317","2,724","4,855",782,"7,395",(D),"4,134","2,485","82,637"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"4,689",93,122,1,75,123,84,154,45,101,115,67,61,97,111,129,61,71,31,56,40,4,74,113,-,62,85,105,62,114,3,6,84,164,60,83,97,64,115,159,13,-,110,-,1,185,114,28,110,63,37,179,41,105,69,55,62,23,117,103,5,55,123
50 to 99.................................................................................,581,13,4,-,10,16,2,15,7,7,17,9,-,22,13,24,9,9,-,8,13,-,15,5,-,8,11,5,8,9,-,-,13,29,16,15,26,4,15,12,1,-,12,-,2,13,14,1,9,7,1,20,10,2,12,8,13,7,13,15,7,4,21
