Item,North Carolina,Alamance,Alexander,Alleghany,Anson,Ashe,Avery,Beaufort,Bertie,Bladen,Brunswick,Buncombe,Burke,Cabarrus,Caldwell,Camden,Carteret,Caswell,Catawba,Chatham,Cherokee,Chowan,Clay,Cleveland,Columbus,Craven,Cumberland,Currituck,Dare,Davidson,Davie,Duplin,Durham,Edgecombe,Forsyth,Franklin,Gaston,Gates,Graham,Granville,Greene,Guilford,Halifax,Harnett,Haywood,Henderson,Hertford,Hoke,Hyde,Iredell,Jackson,Johnston,Jones,Lee,Lenoir,Lincoln,McDowell,Macon,Madison,Martin,Mecklenburg,Mitchell,Montgomery,Moore,Nash,New Hanover,Northampton,Onslow,Orange,Pamlico,Pasquotank,Pender,Perquimans,Person,Pitt,Polk,Randolph,Richmond,Robeson,Rockingham,Rowan,Rutherford,Sampson,Scotland,Stanly,Stokes,Surry,Swain,Transylvania,Tyrrell,Union,Vance,Wake,Warren,Washington,Watauga,Wayne,Wilkes,Wilson,Yadkin,Yancey
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","8,067",104,187,29,121,69,29,18,76,77,38,176,112,123,109,19,9,54,130,252,46,7,21,188,49,43,82,28,5,136,63,211,59,44,86,113,86,33,18,72,33,97,21,120,111,85,10,39,1,166,34,153,27,64,61,98,61,75,110,15,32,56,69,202,51,17,24,98,147,9,8,91,17,57,56,36,293,107,115,117,150,145,206,38,95,96,208,16,27,1,210,30,135,17,8,51,99,184,29,157,60
2017,"7,875",107,178,47,96,66,19,38,77,74,41,225,143,94,91,20,23,59,125,229,49,4,10,152,53,35,89,11,-,146,71,164,69,51,88,106,89,29,22,97,22,86,27,142,72,97,25,40,1,150,41,167,45,48,56,168,66,57,120,9,46,28,85,150,76,18,20,85,124,12,9,72,28,53,75,49,263,63,114,105,110,130,160,26,94,99,148,24,47,-,252,34,138,23,22,79,117,182,20,128,41
"Layers                                                                                farms, 2022","5,772",90,81,29,32,67,29,18,5,39,38,167,86,116,101,18,8,54,92,166,46,4,21,132,37,43,59,27,5,124,57,45,58,18,83,105,73,15,18,65,5,85,16,89,106,79,1,23,1,118,34,120,7,53,22,71,50,73,101,12,29,55,20,141,38,17,14,64,138,8,6,79,4,55,40,33,168,30,49,113,141,119,42,5,68,91,136,14,27,1,115,28,123,17,7,50,41,87,27,135,60
2017,"5,520",95,85,45,15,62,19,36,10,50,40,213,100,84,59,20,11,53,94,137,48,2,10,99,49,28,68,11,-,128,60,29,64,23,87,81,71,15,22,95,4,74,21,93,70,97,-,30,1,107,39,131,25,31,24,142,59,55,114,3,46,22,33,90,43,18,3,63,117,10,9,53,8,45,56,42,151,16,56,97,99,102,37,6,65,94,90,22,46,-,107,30,121,23,21,79,31,77,14,104,36
"number, 2022","14,535,543","259,801","766,425",493,"347,344","1,948","1,014","1,035",(D),(D),"1,769","5,001","49,585",(D),(D),296,445,"223,686","82,887","248,744",(D),118,459,"58,461","1,486","1,674","1,971",904,89,"236,940",(D),"910,329","2,659",(D),"2,707","87,210","1,601",(D),389,"1,911",210,(D),"200,250","2,775","2,378","3,664",(D),734,(D),"291,759",506,"2,832",137,(D),"90,522",(D),(D),"1,632","5,875",280,942,880,(D),"37,980",(D),397,"1,098","2,505","200,291",174,136,"180,810",42,"1,475","1,180",553,"917,927","80,701","1,480",(D),(D),"94,280","456,007",160,"1,265","92,413","767,749",219,"1,269",(D),(D),"1,021","5,171",672,230,"1,462",(D),"486,561",(D),"1,747,457","1,714"
2017,"14,160,452","370,579","756,772",800,"305,080","1,333",666,665,(D),(D),"1,758","15,863","58,161",(D),"1,134",848,"1,079","245,815","69,831","252,773",(D),(D),246,"92,972","1,606",887,"1,703",307,-,"118,545","138,563","424,677","3,661","97,221","1,998","139,540","1,809",(D),482,"3,031",166,"304,100","89,256","2,468","1,835","3,256",-,(D),(D),"526,910",495,(D),587,(D),"120,701","3,578","15,904","1,771","2,886",114,"1,130",442,"104,949","33,235","283,502",234,(D),"3,194","160,739",360,252,(D),113,"1,149","1,015","1,585","623,000",(D),"1,847",(D),"57,503","61,072","313,787",56,(D),"112,398","611,337",278,"1,103",-,(D),"1,196","8,648","11,369",300,"2,617",(D),"421,297",285,"1,694,328",671
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"4,731",71,39,28,21,62,22,15,4,26,29,141,80,92,80,18,5,35,79,131,37,3,19,120,20,32,45,20,5,111,48,21,45,14,71,86,67,11,16,56,4,76,9,72,100,65,1,20,-,85,34,111,7,52,16,62,47,61,93,12,26,53,11,117,32,17,11,48,105,8,6,58,4,51,34,32,121,24,46,103,123,104,24,5,63,78,110,14,19,-,97,19,103,11,6,41,32,68,17,83,55
50 to 99.................................................................................,477,3,4,1,2,1,6,-,-,11,3,16,4,21,15,-,2,3,6,22,4,1,-,3,11,5,6,3,-,4,7,4,1,3,8,10,5,1,2,8,1,5,2,11,5,7,-,1,-,8,-,8,-,-,2,6,1,12,6,-,1,2,3,19,5,-,-,8,15,-,-,14,-,4,4,1,12,4,2,2,10,8,11,-,3,3,-,-,3,1,11,9,8,1,-,6,6,6,9,4,1
