Item,North Dakota,Adams,Barnes,Benson,Billings,Bottineau,Bowman,Burke,Burleigh,Cass,Cavalier,Dickey,Divide,Dunn,Eddy,Emmons,Foster,Golden Valley,Grand Forks,Grant,Griggs,Hettinger,Kidder,LaMoure,Logan,McHenry,McIntosh,McKenzie,McLean,Mercer,Morton,Mountrail,Nelson,Oliver,Pembina,Pierce,Ramsey,Ransom,Renville,Richland,Rolette,Sargent,Sheridan,Sioux,Slope,Stark,Steele,Stutsman,Towner,Traill,Walsh,Ward,Wells,Williams
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022",902,11,22,11,16,22,7,11,55,14,8,17,8,11,6,9,3,21,19,7,21,9,12,23,13,21,10,21,39,12,47,26,13,14,20,8,17,13,3,36,8,5,7,7,4,44,1,28,6,29,18,36,32,21
2017,831,13,26,15,19,15,6,10,51,27,9,21,14,20,-,6,8,21,9,11,11,23,23,13,3,26,7,17,25,26,48,9,4,5,6,16,7,24,6,24,9,4,7,5,6,30,3,42,7,11,12,36,15,20
"Layers                                                                                farms, 2022",850,8,21,11,16,22,6,9,52,14,8,16,8,11,6,9,2,21,17,7,21,9,12,22,12,17,10,21,36,12,47,26,13,14,20,8,15,12,3,35,8,2,7,6,3,43,1,19,6,27,11,35,32,21
2017,743,11,23,14,19,7,6,4,43,27,6,20,14,19,-,4,8,21,7,9,11,23,20,11,3,26,7,17,23,26,48,7,4,5,5,11,7,22,6,19,9,4,7,3,4,27,2,32,5,8,10,34,15,20
"number, 2022","80,263",191,420,195,254,486,112,197,"1,045",856,135,483,112,258,118,184,(D),404,(D),239,725,224,422,833,274,534,238,688,756,224,(D),449,248,475,148,162,395,260,(D),(D),109,(D),262,242,69,999,(D),366,44,409,217,717,782,329
2017,"81,364",470,357,240,226,146,153,49,(D),"1,289",88,712,277,437,-,97,259,653,(D),264,516,444,523,872,82,829,213,344,473,429,(D),125,97,255,78,394,210,939,98,521,373,92,445,67,65,627,(D),759,170,176,292,544,"1,084",414
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,779,8,19,11,16,21,6,9,47,10,6,14,8,10,6,8,2,19,15,4,16,9,11,20,12,15,8,17,34,12,39,26,13,12,20,6,15,11,2,31,8,2,5,5,3,42,1,17,6,27,11,32,31,21
50 to 99.................................................................................,50,-,2,-,-,-,-,-,5,3,2,1,-,1,-,1,-,2,-,3,2,-,-,1,-,1,2,2,-,-,7,-,-,1,-,2,-,-,1,2,-,-,2,1,-,1,-,2,-,-,-,3,-,-
100 to 399.............................................................................,18,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,3,-,1,-,-,1,-,2,2,-,1,-,-,1,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-
"400 to 3,199..........................................................................",2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
