Item,Ohio,Adams,Allen,Ashland,Ashtabula,Athens,Auglaize,Belmont,Brown,Butler,Carroll,Champaign,Clark,Clermont,Clinton,Columbiana,Coshocton,Crawford,Cuyahoga,Darke,Defiance,Delaware,Erie,Fairfield,Fayette,Franklin,Fulton,Gallia,Geauga,Greene,Guernsey,Hamilton,Hancock,Hardin,Harrison,Henry,Highland,Hocking,Holmes,Huron,Jackson,Jefferson,Knox,Lake,Lawrence,Licking,Logan,Lorain,Lucas,Madison,Mahoning,Marion,Medina,Meigs,Mercer,Miami,Monroe,Montgomery,Morgan,Morrow,Muskingum,Noble,Ottawa,Paulding,Perry,Pickaway,Pike,Portage,Preble,Putnam,Richland,Ross,Sandusky,Scioto,Seneca,Shelby,Stark,Summit,Trumbull,Tuscarawas,Union,Van Wert,Vinton,Warren,Washington,Wayne,Williams,Wood,Wyandot
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","11,925",147,67,259,251,119,62,117,138,154,126,117,136,199,114,233,244,52,25,175,82,145,32,204,45,87,54,134,275,176,138,57,58,95,74,50,168,116,563,118,73,84,269,68,73,282,130,186,56,72,162,43,275,88,171,162,111,138,106,172,193,101,40,38,153,71,82,208,115,50,252,131,70,91,53,84,307,116,172,281,145,29,64,174,174,450,45,65,44
2017,"11,350",172,68,229,209,104,50,134,135,152,148,93,105,179,78,234,174,43,26,179,47,130,39,142,35,74,61,151,273,129,115,34,49,66,92,40,163,90,476,115,87,109,278,32,83,286,154,169,35,67,162,65,267,73,200,149,127,157,78,193,201,98,40,28,141,69,82,252,147,35,204,142,56,105,86,91,292,120,189,244,118,45,21,188,149,399,62,92,50
"Layers                                                                                farms, 2022","10,695",142,65,208,236,114,54,115,127,149,116,109,126,197,99,203,198,43,25,123,78,142,31,194,43,74,54,116,247,170,129,54,56,92,65,41,157,116,418,101,71,75,248,66,70,268,122,168,53,70,141,43,241,82,73,157,104,132,99,153,169,97,38,34,133,70,74,193,107,43,230,115,63,86,52,80,281,113,160,242,138,22,60,166,169,350,42,64,41
2017,"10,274",164,52,193,193,101,44,130,130,146,141,86,102,173,67,211,147,36,24,121,39,115,35,137,35,65,57,148,242,123,103,34,43,62,82,32,157,90,382,91,84,105,249,30,81,283,151,155,31,67,138,55,253,70,72,139,106,154,77,187,181,92,34,25,138,66,79,241,135,32,184,133,53,104,80,87,275,115,186,198,107,36,21,184,137,334,59,89,49
"number, 2022","38,570,322","25,051",(D),"260,479","7,238","1,926",(D),"2,435","3,764","3,119","2,751","3,915","2,438","5,272","2,324","27,176","68,271","68,838",848,"8,610,584",(D),"4,349",718,"5,527",(D),"3,404","2,131","40,744","10,444","6,323","2,676","1,333",(D),(D),(D),716,"6,489","2,696","689,185","284,840","1,482","1,410","155,303","1,358","1,468",(D),"46,268","6,254","1,306","2,327","39,914","2,196","9,075","2,010","5,822,729","4,788","2,100","4,066","3,397","44,643","310,206","2,087","1,119","1,810","3,191","2,119","1,414","6,743","3,462",(D),"642,393","59,911","1,072",(D),"1,424",(D),"95,737","4,710","3,463","126,537","2,317,440",(D),"1,097","4,922","4,314","620,297","1,532",(D),(D)
2017,"28,868,147","3,265","1,528","346,862","5,615","2,761",(D),"3,319","3,515","3,642","2,703","4,298",(D),"7,262","1,994","24,143","75,661",(D),519,"5,184,982",947,"2,714",877,"4,610","1,067","2,722","1,812","16,355","7,994","4,291","2,351","1,145",(D),(D),"1,954",592,"7,037","2,351","369,844","192,160","1,207","2,366","27,530","1,666","1,838",(D),(D),"3,905","1,652","1,522","4,838","1,614","7,875","7,125","5,687,390","4,656","2,563","5,658","2,956","4,151","48,962","1,635","1,030",921,"3,179","1,397","1,890","6,980","87,397",(D),"371,292","24,271","1,619","2,712","4,328",(D),"145,327","5,492","5,371","5,758",(D),(D),439,"8,819","3,116","357,563","1,627",(D),(D)
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"9,188",132,55,176,204,112,49,108,113,139,105,86,118,172,87,172,176,37,16,89,66,123,28,161,35,64,41,110,178,141,118,45,53,77,55,39,130,104,368,82,61,72,216,63,64,242,106,130,43,61,122,38,190,72,36,137,101,103,91,135,151,87,32,27,123,60,67,166,91,34,168,98,61,78,43,64,246,88,146,223,102,13,57,147,154,293,35,60,27
50 to 99.................................................................................,817,6,6,14,18,2,1,4,12,5,6,13,8,17,12,17,17,2,9,11,9,11,3,27,2,4,11,1,38,15,9,5,2,5,4,2,13,8,14,7,8,3,26,2,4,21,4,24,10,-,8,-,37,6,-,6,3,22,3,12,12,6,3,1,5,5,7,12,11,8,16,14,2,5,4,12,21,16,11,10,23,5,1,10,1,17,1,1,8
100 to 399.............................................................................,435,-,2,8,14,-,3,3,1,5,5,10,-,7,-,11,1,-,-,5,2,8,-,4,5,3,-,1,31,14,2,4,-,5,5,-,13,4,18,-,2,-,2,1,2,3,8,14,-,9,8,2,12,4,2,14,-,7,3,3,1,4,3,4,5,5,-,14,5,-,9,-,-,2,5,3,8,7,3,3,6,-,2,9,14,21,6,2,4
"400 to 3,199..........................................................................",51,2,1,-,-,-,-,-,1,-,-,-,-,1,-,2,-,-,-,-,-,-,-,2,-,3,2,-,-,-,-,-,-,2,-,-,1,-,6,-,-,-,-,-,-,-,2,-,-,-,2,3,2,-,-,-,-,-,2,2,-,-,-,2,-,-,-,1,-,-,1,-,-,-,-,-,4,2,-,3,2,-,-,-,-,-,-,-,-
