Item,Oklahoma_S,Adair,Alfalfa,Atoka,Beaver,Beckham,Blaine,Bryan,Caddo,Canadian,Carter,Cherokee,Choctaw,Cimarron,Cleveland,Coal,Comanche,Cotton,Craig,Creek,Custer,Delaware,Dewey,Ellis,Garfield,Garvin,Grady,Grant,Greer,Harmon,Harper,Haskell,Hughes,Jackson,Jefferson,Johnston,Kay,Kingfisher,Kiowa,Latimer,Le Flore,Lincoln,Logan,Love,McClain,McCurtain,McIntosh,Major,Marshall,Mayes,Murray,Muskogee,Noble,Nowata,Okfuskee,Oklahoma,Okmulgee,Osage,Ottawa,Pawnee,Payne,Pittsburg,Pontotoc,Pottawatomie,Pushmataha,Roger Mills,Rogers,Seminole,Sequoyah,Stephens,Texas,Tillman,Tulsa,Wagoner,Washington,Washita,Woods,Woodward
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","11,028",168,25,154,37,107,38,158,111,242,210,230,82,20,297,55,161,34,118,493,61,205,43,42,101,218,223,41,18,11,22,113,118,59,28,119,74,71,30,112,317,524,259,72,213,191,95,85,79,252,87,269,77,88,117,276,246,212,102,102,271,218,186,375,132,39,409,172,185,182,22,17,174,226,93,60,31,124
2017,"10,777",163,21,104,42,62,40,218,84,168,261,192,72,13,268,85,163,36,131,524,64,242,43,24,82,174,202,38,17,8,20,106,125,43,10,99,92,62,33,133,296,438,183,78,240,248,115,72,92,297,74,246,108,71,137,214,206,238,122,96,266,248,239,444,111,26,364,184,158,147,60,18,247,172,119,39,35,65
"Layers                                                                                farms, 2022","10,258",129,25,148,35,105,35,152,110,234,196,210,82,20,282,51,154,34,105,464,57,146,41,41,98,204,219,37,18,11,19,100,111,53,28,109,72,71,28,105,257,507,244,68,193,135,88,71,72,228,84,262,74,84,115,253,232,202,92,98,257,213,171,361,132,38,390,168,158,166,16,16,167,211,88,58,29,121
2017,"9,894",133,17,97,36,57,40,203,79,164,250,163,68,13,250,83,156,36,116,497,64,174,40,22,74,166,187,35,17,8,19,78,124,41,10,91,86,62,33,120,176,407,166,78,226,179,111,69,87,274,68,221,106,66,127,204,185,229,111,85,248,246,230,430,106,26,342,173,141,140,58,13,237,165,119,39,34,63
"number, 2022","3,407,879","478,553",413,"4,150",529,"1,531",970,"3,732","1,862","5,156","3,820","9,410","1,797",384,"7,309","6,274","3,373",677,"11,747","51,014","1,232","664,154",643,900,"2,409","6,778","4,931",873,347,172,256,"201,507","3,642",987,454,"2,385","5,304","1,377",472,"3,196","136,921","11,717","5,744","2,221","5,112","113,815","136,253","1,140","1,573","136,948",(D),"548,257","2,196","2,259","3,157","6,829",(D),"4,368","2,142","2,201","5,457","6,313","3,079","7,719","2,461",554,"10,843","4,445","140,682","3,298",437,348,"3,126","6,021","2,337","1,285",594,"2,717"
2017,"3,354,460","253,103",388,"2,458",495,995,(D),"4,608","1,865","4,405","6,571","28,896","1,853",191,"6,395","1,679","3,337",704,"12,160","35,566","1,729","668,224",517,593,"3,014","3,649","4,252","1,071",326,128,538,"178,641","3,504",501,71,(D),"2,174","1,158",537,"2,808",(D),"9,352","3,175","1,215","5,826","358,413","54,681","2,147","2,095","25,236",861,"202,669","2,831","2,216","3,209","5,122","5,971","4,336","2,856","1,827","6,317","6,913","5,328","14,453","5,634",711,"67,379","3,966","219,946","3,287","1,291",162,"5,298","5,413","2,609","1,004",815,"1,127"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"9,164",94,22,128,35,100,30,138,104,208,184,191,75,20,247,47,141,32,96,417,55,94,41,38,83,177,201,33,18,11,19,79,88,50,28,98,54,61,28,104,241,468,222,49,163,123,77,71,69,201,78,209,64,64,104,226,204,181,75,91,239,191,162,329,128,34,335,153,142,152,12,16,154,192,78,54,28,116
50 to 99.................................................................................,692,3,3,12,-,5,5,9,4,25,12,18,5,-,29,3,5,2,8,26,-,17,-,-,11,20,14,4,-,-,-,9,17,3,-,9,9,10,-,-,6,26,17,16,20,9,4,-,2,10,-,14,6,14,5,22,15,16,16,3,13,13,9,27,4,4,33,9,5,12,4,-,13,14,7,4,-,3
100 to 399.............................................................................,251,4,-,8,-,-,-,5,2,1,-,-,2,-,6,-,8,-,-,19,2,2,-,3,4,6,4,-,-,-,-,3,6,-,-,2,8,-,-,-,7,12,5,3,10,-,-,-,1,7,5,12,4,6,5,5,10,5,1,4,5,6,-,4,-,-,22,6,1,2,-,-,-,3,2,-,1,2
"400 to 3,199..........................................................................",19,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,2,-,1,-,-,1,-,1,-,-,-,-,3,-,1,-,-,-,-,2,-,-,-,-,2,1,-,-,-
"3,200 to 9,999.......................................................................",18,5,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",55,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,6,-,6,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
