Item,Oregon,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,,Wheeler,Yamhill
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","7,817",99,276,"1,161",30,193,103,113,25,430,397,8,72,70,45,610,66,184,78,42,621,87,500,117,486,37,180,257,10,48,252,183,86,58,404,,19,470
2017,"7,816",94,243,"1,061",74,217,92,119,40,371,398,14,58,44,77,523,53,201,104,44,693,115,529,105,584,50,177,267,9,53,224,181,78,61,396,,16,451
"Layers                                                                                farms, 2022","7,449",96,269,"1,090",28,187,99,110,24,420,386,8,72,67,40,568,64,170,78,42,604,76,475,110,458,35,170,235,7,43,248,182,85,56,380,,17,450
2017,"7,442",86,228,"1,015",69,208,84,119,33,358,384,14,56,44,68,509,53,194,101,42,654,111,506,94,553,47,159,253,9,43,210,177,78,59,386,,16,422
"number, 2022","3,225,396","1,991","8,126",(D),573,"6,676","2,491","1,396","1,304","7,805","8,019",103,"1,102",807,915,"18,858","1,693","3,812","1,004",650,"17,767","2,185","12,879","2,351",(D),468,"4,408","5,756",133,"5,509",(D),"3,396","1,634","2,088","10,033",,240,"10,736"
2017,"2,491,379","1,944","5,019",(D),"1,206","4,300","1,972","1,555",780,"7,467","6,295",662,933,583,"1,345",(D),"1,156","4,348","1,947",758,"20,110","3,007","13,249","2,711",(D),841,"3,415","6,186",152,"2,731","25,358","3,984","2,660",903,"11,316",,267,"11,056"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"6,853",88,241,995,26,168,87,107,21,388,356,8,71,67,37,529,55,153,77,41,559,62,441,95,393,33,155,221,6,41,243,175,78,53,344,,17,422
50 to 99.................................................................................,394,4,23,67,1,16,5,3,2,24,17,-,1,-,-,24,4,10,1,1,29,9,23,11,39,2,9,10,1,-,2,6,4,2,24,,-,20
100 to 399.............................................................................,162,4,3,23,1,2,7,-,-,8,13,-,-,-,3,12,5,7,-,-,12,5,7,4,18,-,5,2,-,-,1,1,3,-,10,,-,6
"400 to 3,199..........................................................................",34,-,2,4,-,1,-,-,1,-,-,-,-,-,-,2,-,-,-,-,4,-,4,-,5,-,1,2,-,2,1,-,-,1,2,,-,2
"3,200 to 9,999.......................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
"20,000 to 49,999...................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-
"50,000 to 99,999...................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,-,-
"100,000 or more....................................................................",2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,-,-
"Pullets for laying flock replacement                              farms, 2022","1,026",10,43,169,3,41,11,8,5,34,55,1,6,-,6,77,5,20,8,6,92,7,63,14,86,4,38,32,2,7,11,18,2,17,49,,-,76
2017,"1,163",12,44,184,12,52,1,13,4,33,43,-,7,2,10,81,5,38,22,5,77,23,88,14,114,8,17,30,2,1,21,28,7,13,71,,3,78
"number, 2022","1,106,526",102,"1,187",(D),15,501,255,80,(D),744,798,(D),58,-,169,"1,829",52,300,72,66,"1,433",89,(D),408,(D),30,885,324,(D),"2,039",568,249,(D),304,"1,266",,-,"1,287"
2017,"588,665",82,"1,444",(D),126,"2,578",(D),682,"1,250",414,500,-,104,(D),169,(D),47,517,150,84,"2,179",282,(D),481,(D),77,230,337,(D),(D),246,398,314,214,"1,684",,55,"1,137"
"Broilers and other meat-type chickens                         farms, 2022",684,9,17,111,-,22,11,5,2,27,36,-,4,6,6,49,2,14,2,1,39,11,51,13,62,1,26,29,3,2,16,11,5,5,26,,-,60
2017,686,16,31,109,11,28,7,3,-,21,24,-,7,2,9,36,8,7,5,7,28,3,47,6,67,6,34,27,-,4,20,9,9,6,30,,2,57
"number, 2022","3,526,079",584,"1,081","640,148",-,"1,693",85,66,(D),"2,382","1,102",-,100,52,80,"5,081",(D),258,(D),(D),"3,544",113,"1,180,145",179,(D),(D),"2,785",(D),10,(D),595,238,(D),(D),"1,080",,-,"928,195"
