Item,Pennsylvania,Adams,Allegheny,Armstrong,Beaver,Bedford,Berks,Blair,Bradford,Bucks,Butler,Cambria,Cameron,Carbon,Centre,Chester,Clarion,Clearfield,Clinton,Columbia,Crawford,Cumberland,Dauphin,Delaware,Elk,Erie,Fayette,Forest,Franklin,Fulton,Greene,Huntingdon,Indiana,Jefferson,Juniata,Lackawanna,Lancaster,Lawrence,Lebanon,Lehigh,Luzerne,Lycoming,McKean,Mercer,Mifflin,Monroe,Montgomery,Montour,Northampton,Northumberland,Perry,Philadelphia,Pike,Potter,Schuylkill,Snyder,Somerset,Sullivan,Susquehanna,Tioga,Union,Venango,Warren,Washington,Wayne,Westmoreland,Wyoming,York
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","10,361",204,98,124,126,193,362,92,199,254,171,64,5,28,204,341,131,88,72,114,219,244,155,12,37,162,135,16,326,77,94,120,226,72,140,36,"1,319",91,256,83,82,170,59,223,128,43,174,50,101,135,121,4,13,92,145,250,233,18,109,161,167,70,74,267,93,206,72,411
2017,"10,818",232,120,165,110,212,366,106,242,211,177,116,10,41,201,365,89,85,75,133,208,294,143,4,57,166,162,7,333,89,84,129,193,59,174,46,"1,385",96,291,72,71,153,47,225,168,33,145,59,85,134,167,10,18,83,131,263,235,43,134,143,180,61,102,297,144,203,64,372
"Layers                                                                                farms, 2022","8,810",170,91,124,122,180,286,75,183,226,157,57,5,26,188,286,122,86,63,104,192,220,125,12,34,154,133,14,268,69,89,110,202,69,81,36,944,89,155,77,69,155,56,205,111,37,161,40,97,100,88,4,11,87,108,166,222,15,100,146,100,69,62,255,86,203,68,365
2017,"9,290",192,113,160,102,199,294,101,219,200,158,100,6,36,177,326,83,77,70,123,187,261,109,4,54,159,154,5,273,85,76,117,175,55,113,42,"1,045",85,192,65,65,138,47,211,147,29,137,41,68,95,134,10,15,81,95,189,226,41,131,128,109,59,97,280,139,183,60,343
"number, 2022","26,859,709","347,255","3,373","4,614","2,493","32,583","1,436,531",(D),"4,519","15,454","6,019","1,645",47,858,"4,018","62,192","3,242","1,543","102,399",(D),"5,239","1,116,407","527,957",119,689,"4,352","3,863",423,"1,370,753",(D),"1,419","13,039","4,440","1,419","444,186","1,728","13,735,352","2,732","2,091,332","152,423","2,277","41,814","1,244","5,530","160,267","2,220","8,444","188,573","4,007","890,383","473,393",32,787,"2,121","799,852","574,691","6,609",279,"2,527",(D),"601,161","1,207",864,"6,389","3,447","18,570","1,273","492,083"
2017,"26,317,523","210,832","14,094","5,697","3,001","38,386","2,090,750","55,553","4,609","12,814","4,778","2,173",120,804,"4,950","113,599","2,421","1,811","97,368",(D),(D),"393,589","636,663",126,"1,504","4,757","4,351",224,"1,728,944",(D),"1,165","43,587","5,147",(D),"327,141","3,293","13,914,918","2,125","1,533,776","5,609","1,457",(D),917,"8,331","134,338",814,(D),(D),"2,826","847,956","414,785",110,974,"2,062","621,277","569,521","7,401","2,831","3,418","20,341","529,120","8,459","2,064","6,804","3,286","19,837","1,402","274,531"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"7,177",137,88,106,114,165,196,68,165,161,130,46,5,22,178,236,110,82,50,87,175,172,95,12,30,137,118,12,193,49,87,98,186,64,51,30,640,77,105,62,54,139,48,186,94,27,128,32,74,61,68,4,5,81,78,123,177,15,93,141,49,66,60,228,71,177,63,296
50 to 99.................................................................................,624,17,2,7,5,12,26,4,13,37,14,9,-,2,4,18,8,4,2,9,9,7,6,-,4,15,12,-,27,9,1,8,6,4,15,2,54,5,9,6,11,6,8,13,5,1,18,1,13,6,5,-,5,2,9,7,33,-,2,1,4,2,2,23,9,18,5,23
