Item,Rhode Island,Bristol,Kent,Newport,Providence,Washington,
INVENTORY,,,,,,,
"Any poultry                                                                            farms, 2022",289,4,49,65,105,66,
2017,257,16,19,51,83,88,
"Layers                                                                                farms, 2022",257,3,41,59,92,62,
2017,239,15,16,50,72,86,
"number, 2022","44,574",50,619,"1,942","38,421","3,542",
2017,"55,681",(D),"1,099","2,296",(D),"4,495",
2022 farms by inventory:,,,,,,,
1 to 49...................................................................................,218,3,38,48,78,51,
50 to 99.................................................................................,22,-,2,6,8,6,
100 to 399.............................................................................,12,-,1,5,2,4,
"400 to 3,199..........................................................................",3,-,-,-,2,1,
"3,200 to 9,999.......................................................................",1,-,-,-,1,-,
"10,000 to 19,999...................................................................",-,-,-,-,-,-,
"20,000 to 49,999...................................................................",1,-,-,-,1,-,
"50,000 to 99,999...................................................................",-,-,-,-,-,-,
"100,000 or more....................................................................",-,-,-,-,-,-,
"Pullets for laying flock replacement                              farms, 2022",36,-,2,1,27,6,
2017,37,2,3,11,9,12,
"number, 2022",647,-,(D),(D),305,196,
2017,"1,677",(D),240,517,(D),369,
"Broilers and other meat-type chickens                         farms, 2022",39,-,2,14,12,11,
2017,25,1,1,2,12,9,
"number, 2022","21,881",-,(D),"4,680",(D),"3,755",
2017,"1,538",(D),(D),(D),444,494,
"Turkeys                                                                              farms, 2022",22,1,6,2,10,3,
2017,27,4,1,7,5,10,
"number, 2022","11,742",(D),"2,860",(D),(D),190,
2017,"8,737",(D),(D),(D),126,146,
"Ducks, geese, and other miscellaneous",,,,,,,
"poultry                                                                              farms, 2022",96,1,15,21,43,16,
2017,81,3,4,26,28,20,
NUMBER SOLD,,,,,,,
"Any poultry sold                                                                    farms, 2022",210,3,26,52,71,58,
2017,206,16,10,50,55,75,
"Layers sold                                                                        farms, 2022",48,-,7,12,18,11,
2017,61,4,1,21,15,20,
"number, 2022","16,583",-,"4,850","1,930",(D),(D),
2017,(D),498,(D),794,(D),706,
"Pullets for laying flock replacement sold                      farms, 2022",10,-,1,1,8,-,
2017,14,2,1,4,3,4,
"number, 2022",250,-,(D),(D),(D),-,
2017,705,(D),(D),20,15,120,
"Broilers and other meat-type chickens sold                farms, 2022",34,-,-,11,9,14,
2017,27,-,-,7,13,7,
"number, 2022","86,722",-,-,(D),(D),(D),
2017,"6,859",-,-,(D),(D),"1,681",
2022 farms by number sold:,,,,,,,
"1 to 1,999..............................................................................",30,-,-,10,8,12,
"2,000 to 59,999.....................................................................",3,-,-,1,-,2,
"60,000 to 99,999...................................................................",1,-,-,-,1,-,
"100,000 to 199,999...............................................................",-,-,-,-,-,-,
"200,000 to 499,999...............................................................",-,-,-,-,-,-,
"500,000 or more....................................................................",-,-,-,-,-,-,
"Turkeys sold                                                                      farms, 2022",32,1,6,5,8,12,
2017,18,1,1,2,4,10,
"number, 2022","12,158",(D),"2,854",109,(D),(D),
2017,(D),(D),(D),(D),115,452,
"Ducks, geese, and other miscellaneous",,,,,,,
"poultry sold                                                                     farms, 2022",27,-,4,2,20,1,
2017,39,3,3,14,12,7,
