Item,South Dakota,Aurora,Beadle,Bennett,Bon Homme,Brookings,Brown,Brule,Buffalo,Butte,Campbell,Charles Mix,Clark,Clay,Codington,Corson,Custer,Davison,Day,Deuel,Dewey,Douglas,Edmunds,Fall River,Faulk,Grant,Gregory,Haakon,Hamlin,Hand,Hanson,Harding,Hughes,Hutchinson,Hyde,Jackson,Jerauld,Jones,Kingsbury,Lake,Lawrence,Lincoln,Lyman,McCook,McPherson,Marshall,Meade,Mellette,Miner,Minnehaha,Moody,Oglala Lakota,Pennington,Perkins,Potter,Roberts,Sanborn,Spink,Stanley,Sully,Todd,Tripp,Turner,Union,Walworth,Yankton,Ziebach
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","1,851",21,43,6,11,57,45,18,2,63,3,28,26,22,53,12,58,34,27,35,10,26,11,64,16,46,26,10,34,8,32,19,51,38,8,16,10,3,29,12,32,73,13,48,25,19,97,14,10,80,38,13,110,23,2,28,23,18,9,6,10,18,34,21,9,37,8
2017,"1,818",17,60,2,29,43,74,24,3,55,3,42,19,31,31,23,58,38,20,36,13,16,10,50,7,35,12,21,43,13,20,16,38,35,12,20,7,13,32,27,24,64,14,23,15,20,98,6,12,59,51,6,84,23,11,36,10,11,10,8,19,52,31,22,6,45,10
"Layers                                                                                farms, 2022","1,694",21,37,6,9,54,45,14,-,63,2,23,25,22,38,12,58,32,25,31,10,25,9,63,12,46,26,7,34,8,30,19,46,34,7,16,9,3,28,8,32,64,10,46,19,19,92,14,8,76,31,9,108,21,2,26,21,12,7,6,10,13,25,18,6,34,8
2017,"1,644",17,52,2,25,40,68,15,3,51,1,37,16,31,31,23,58,36,20,35,13,16,8,50,4,35,8,20,41,13,17,16,25,31,11,20,6,7,29,15,21,62,13,20,12,17,92,6,8,52,48,6,78,23,11,31,10,6,10,8,19,48,20,22,3,42,10
"number, 2022","1,026,877",(D),"1,296",146,520,857,"1,315",766,-,"1,159",(D),759,"1,616",217,"1,085",180,"1,026",587,446,671,239,(D),(D),"3,004",442,"1,331","1,077",152,903,193,"1,512",300,786,"1,165",200,293,170,69,(D),103,608,"2,985",177,"1,485",890,(D),"2,614","1,361",(D),"2,074",769,131,"2,880",472,(D),(D),433,305,98,142,282,249,"3,171",271,202,"2,218",117
2017,"2,708,331",(D),846,(D),619,417,"1,697",795,90,844,(D),800,"1,228",573,643,603,839,787,483,(D),261,(D),208,"1,298",114,651,113,212,751,218,633,354,420,"1,658",175,442,249,133,(D),"1,193",485,"1,803",330,992,"1,984",(D),"2,185",228,(D),"1,190",(D),156,"1,352",379,257,(D),254,172,374,139,326,"1,493","1,724",407,129,"1,844",138
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"1,477",18,33,4,7,51,34,11,-,58,-,14,23,22,30,12,58,32,25,28,10,22,8,52,11,36,20,7,26,8,27,19,46,26,7,16,9,3,26,8,32,55,10,42,18,13,75,10,7,71,26,9,90,17,2,25,16,10,7,6,7,13,15,18,4,24,8
50 to 99.................................................................................,143,2,2,2,-,3,11,2,-,5,2,7,-,-,8,-,-,-,-,3,-,2,-,8,-,7,3,-,8,-,1,-,-,5,-,-,-,-,1,-,-,3,-,-,-,3,11,1,-,-,5,-,15,4,-,-,5,2,-,-,3,-,4,-,1,4,-
100 to 399.............................................................................,48,-,2,-,2,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,1,3,3,-,-,-,1,-,-,3,-,-,-,-,-,-,-,5,-,3,-,1,6,-,-,5,-,-,3,-,-,-,-,-,-,-,-,-,2,-,1,4,-
"400 to 3,199..........................................................................",21,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,2,-
"3,200 to 9,999.......................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",177,1,11,-,-,10,5,-,-,2,-,5,-,-,-,1,6,1,-,2,-,6,1,2,-,2,-,-,2,1,2,-,2,9,1,-,-,-,3,1,2,14,-,2,2,4,15,-,-,8,1,-,22,-,2,9,9,-,-,-,1,2,1,-,1,6,-
2017,200,3,5,-,2,2,6,8,-,3,1,8,1,-,-,3,-,3,4,2,-,2,-,17,-,7,-,-,1,-,1,1,4,6,-,2,1,6,8,2,2,3,3,1,-,-,25,2,1,14,12,-,11,-,3,-,-,1,2,-,-,2,3,1,1,4,-
"number, 2022",(D),(D),648,-,-,197,98,-,-,(D),-,108,-,-,-,(D),98,(D),-,(D),-,24,(D),(D),-,(D),-,-,(D),(D),(D),-,(D),210,(D),-,-,-,101,(D),(D),560,-,(D),(D),75,330,-,-,215,(D),-,373,-,(D),42,76,-,-,-,(D),(D),(D),-,(D),"1,070",-
2017,(D),(D),54,-,(D),(D),208,289,-,32,(D),91,(D),-,-,24,-,30,30,(D),-,(D),-,272,-,155,-,-,(D),-,(D),(D),96,204,-,(D),(D),150,132,(D),(D),36,84,(D),-,-,384,(D),(D),234,(D),-,162,-,3,-,-,(D),(D),-,-,(D),60,(D),(D),117,-
"Broilers and other meat-type chickens                         farms, 2022",220,1,6,-,-,7,6,1,-,-,-,1,1,5,16,2,3,9,1,9,-,2,1,3,1,1,1,-,5,-,11,-,-,13,-,-,-,-,1,1,3,4,3,8,3,6,6,4,-,15,11,4,11,2,-,5,1,1,-,2,1,3,5,4,-,7,3
2017,196,2,4,-,1,-,8,-,-,14,-,3,1,4,2,5,3,5,4,4,1,-,1,5,2,14,1,9,3,-,6,2,2,11,-,-,-,-,10,-,5,-,-,-,1,4,4,1,-,5,7,-,13,2,6,5,-,-,2,-,-,2,4,1,3,4,-
"number, 2022","40,795",(D),(D),-,-,187,523,(D),-,-,-,(D),(D),130,"1,770",(D),48,367,(D),420,-,(D),(D),(D),(D),(D),(D),-,250,-,"4,968",-,-,"2,164",-,-,-,-,(D),(D),30,245,105,308,(D),(D),113,(D),-,560,718,4,446,(D),-,70,(D),(D),-,(D),(D),84,91,340,-,145,300
2017,"23,376",(D),(D),-,(D),-,32,-,-,354,-,9,(D),56,(D),82,450,72,325,56,(D),-,(D),145,(D),475,(D),65,60,-,624,(D),(D),(D),-,-,-,-,390,-,78,-,-,-,(D),(D),115,(D),-,220,800,-,428,(D),33,98,-,-,(D),-,-,(D),104,(D),75,165,-
"Turkeys                                                                              farms, 2022",115,2,5,-,-,3,6,1,-,2,-,4,2,2,1,-,4,1,-,-,-,3,1,4,1,-,2,-,-,-,5,-,-,3,-,-,3,-,2,1,-,9,-,1,8,-,7,2,-,4,1,-,2,-,-,6,1,4,-,-,-,2,5,2,-,3,-
2017,132,-,4,-,2,1,-,6,-,3,-,6,2,-,-,-,-,4,-,-,-,1,2,1,1,-,2,-,2,-,4,-,-,11,-,2,5,-,1,8,-,3,-,1,5,1,3,-,-,11,7,2,5,-,-,1,3,8,-,6,-,-,4,2,-,2,-
"number, 2022","1,380,618",(D),(D),-,-,(D),20,(D),-,(D),-,"77,012",(D),(D),(D),-,6,(D),-,-,-,(D),(D),302,(D),-,(D),-,-,-,"77,410",-,-,"173,562",-,-,(D),-,(D),(D),-,36,-,(D),"317,571",-,29,(D),-,28,(D),-,(D),-,-,24,(D),"81,804",-,-,-,(D),(D),(D),-,3,-
2017,"1,993,073",-,"184,900",-,(D),(D),-,(D),-,6,-,"127,020",(D),-,-,-,-,95,-,-,-,(D),(D),(D),(D),-,(D),-,(D),-,"279,020",-,-,"257,548",-,(D),(D),-,(D),(D),-,12,-,(D),"273,014",(D),45,-,-,70,(D),(D),15,-,-,(D),24,"156,752",-,18,-,-,(D),(D),-,(D),-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",545,2,24,-,4,22,16,7,2,20,1,6,7,8,17,8,25,5,7,7,3,11,1,14,9,11,5,3,6,4,15,-,14,8,1,2,3,2,7,2,7,12,2,12,2,6,40,10,2,18,8,5,34,2,2,4,21,7,2,4,3,2,13,3,4,11,-
2017,515,4,15,-,9,16,8,16,3,13,3,11,8,14,10,3,14,16,7,5,1,5,3,18,3,8,5,5,2,3,4,3,17,8,1,2,4,2,6,19,10,17,3,9,1,-,20,2,5,24,6,6,34,3,-,7,8,4,3,-,4,15,15,8,-,17,-
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","1,048",15,25,2,7,28,36,12,2,25,2,17,8,2,28,4,35,22,18,15,10,20,7,46,10,29,28,8,23,4,20,8,19,25,7,12,7,3,13,5,9,43,6,20,15,9,63,9,10,33,23,8,60,11,2,12,10,13,6,4,6,6,28,6,4,22,3
2017,"1,038",15,35,2,25,13,41,16,3,23,1,24,17,9,20,19,31,23,17,13,8,11,6,35,6,13,5,4,30,7,12,6,19,19,7,15,7,13,17,16,7,31,9,13,6,3,55,6,9,36,40,5,38,8,9,15,7,10,8,2,14,34,27,9,5,25,4
"Layers sold                                                                        farms, 2022",155,1,5,-,1,-,6,1,-,10,-,-,1,2,1,2,9,1,2,3,-,9,-,5,-,13,-,-,3,1,-,3,-,2,-,3,-,1,6,-,-,6,-,-,2,1,26,-,-,2,2,-,13,-,-,-,1,-,-,-,1,-,6,-,1,3,-
2017,175,-,9,-,-,2,12,4,-,2,1,2,-,2,1,2,11,3,2,2,-,2,-,18,-,-,-,-,9,-,2,1,-,-,-,5,-,-,7,4,-,2,1,2,1,1,3,1,-,8,12,-,9,-,3,-,2,4,3,1,-,1,6,-,4,6,2
"number, 2022",(D),(D),136,-,(D),-,148,(D),-,318,-,-,(D),(D),(D),(D),327,(D),(D),30,-,102,-,50,-,265,-,-,45,(D),-,60,-,(D),-,36,-,(D),273,-,-,120,-,-,(D),(D),372,-,-,(D),(D),-,929,-,-,-,(D),-,-,-,(D),-,556,-,(D),"2,005",-
2017,"13,958",-,137,-,-,(D),"1,684",112,-,(D),(D),(D),-,(D),(D),(D),119,32,(D),(D),-,(D),-,183,-,-,-,-,179,-,(D),(D),-,-,-,58,-,-,572,518,-,(D),(D),(D),(D),(D),20,(D),-,148,170,-,45,-,6,-,(D),134,(D),(D),-,(D),679,-,198,"1,810",(D)
"Pullets for laying flock replacement sold                      farms, 2022",19,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,2,-,-,1,-,2,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-
2017,47,1,-,-,-,-,1,2,-,-,-,-,4,-,-,-,-,-,2,-,-,2,-,3,-,1,-,-,-,-,-,1,-,-,-,2,-,6,-,-,-,-,-,-,-,-,3,-,-,-,7,-,3,-,3,-,-,1,2,-,-,-,3,-,-,-,-
"number, 2022",(D),(D),-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,(D),-,-,-,-,-,(D),-,(D),-,-,-,-,-,(D),-,-,-,-,-,-,(D),-,-,(D),-,-,(D),-,(D),-,-,-,(D),-,(D),-,-,-,-,-,-,-,-,-,-,-,-,(D),-
2017,(D),(D),-,-,-,-,(D),(D),-,-,-,-,508,-,-,-,-,-,(D),-,-,(D),-,15,-,(D),-,-,-,-,-,(D),-,-,-,(D),-,60,-,-,-,-,-,-,-,-,3,-,-,-,(D),-,15,-,3,-,-,(D),(D),-,-,-,"1,500",-,-,-,-
"Broilers and other meat-type chickens sold                farms, 2022",125,-,5,-,-,10,1,-,-,1,-,3,1,-,19,-,2,-,1,-,-,6,1,5,1,1,6,-,3,-,2,-,-,7,-,-,-,-,1,1,3,-,-,-,1,2,5,2,-,4,8,3,13,-,-,-,-,-,-,-,-,-,3,1,2,1,-
2017,101,2,4,-,-,2,2,-,-,2,-,4,1,4,-,-,-,2,-,1,1,2,1,3,-,6,-,2,2,-,2,-,-,9,-,-,-,-,6,2,-,1,-,1,1,1,3,2,-,-,11,-,3,-,3,-,-,-,2,-,7,-,-,2,1,3,-
"number, 2022","77,046",-,"15,870",-,-,464,(D),-,-,(D),-,(D),(D),-,"1,554",-,(D),-,(D),-,-,918,(D),232,(D),(D),225,-,60,-,(D),-,-,(D),-,-,-,-,(D),(D),(D),-,-,-,(D),(D),100,(D),-,190,448,"2,175",396,-,-,-,-,-,-,-,-,-,"1,225",(D),(D),(D),-
2017,"146,197",(D),(D),-,-,(D),(D),-,-,(D),-,(D),(D),230,-,-,-,(D),-,(D),(D),(D),(D),78,-,201,-,(D),(D),-,(D),-,-,(D),-,-,-,-,270,(D),-,(D),-,(D),(D),(D),135,(D),-,-,550,-,150,-,3,-,-,-,(D),-,601,-,-,(D),(D),(D),-
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",116,-,3,-,-,10,1,-,-,1,-,2,1,-,19,-,2,-,1,-,-,6,-,5,1,1,6,-,3,-,1,-,-,6,-,-,-,-,1,1,3,-,-,-,-,-,5,2,-,4,8,3,13,-,-,-,-,-,-,-,-,-,3,1,2,1,-
"2,000 to 59,999.....................................................................",9,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",66,-,3,-,-,3,-,1,-,-,-,3,2,-,1,-,-,1,-,-,-,1,1,3,1,1,-,-,1,-,5,-,-,3,-,-,1,-,2,2,-,-,-,1,8,-,6,2,-,-,1,3,4,-,-,-,-,3,-,-,-,-,2,1,-,-,-
2017,57,-,4,-,-,1,3,3,-,-,-,4,2,-,-,-,-,-,-,-,-,2,1,-,1,-,-,-,2,-,4,-,-,5,-,-,1,-,1,2,-,-,-,2,3,-,3,-,-,-,7,-,-,-,-,1,-,3,-,-,-,-,1,-,-,1,-
"number, 2022","2,630,118",-,"165,000",-,-,(D),-,(D),-,-,-,"204,000",(D),-,(D),-,-,(D),-,-,-,(D),(D),300,(D),(D),-,-,(D),-,"224,880",-,-,"170,940",-,-,(D),-,(D),(D),-,-,-,(D),"400,386",-,12,(D),-,-,(D),216,20,-,-,-,-,"86,200",-,-,-,-,(D),(D),-,-,-
2017,"4,644,860",-,"520,500",-,-,(D),24,(D),-,-,-,"444,000",(D),-,-,-,-,-,-,-,-,(D),(D),-,(D),-,-,-,(D),-,"353,820",-,-,"476,361",-,-,(D),-,(D),(D),-,-,-,(D),"488,000",-,75,-,-,-,(D),-,-,-,-,(D),-,"319,049",-,-,-,-,(D),-,-,(D),-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",142,-,6,-,-,7,2,2,2,6,-,-,1,-,-,-,8,3,1,3,3,8,1,-,6,-,8,3,3,-,3,-,4,3,-,-,-,-,1,1,2,2,-,3,-,1,7,-,4,2,4,-,5,-,2,1,3,2,2,-,-,3,10,1,2,1,-
2017,146,2,11,-,4,4,2,3,-,-,1,1,1,2,-,-,6,-,3,2,-,-,2,7,4,3,4,1,-,-,3,-,1,-,1,2,1,-,1,8,-,7,-,7,-,1,-,-,5,10,4,-,4,-,-,3,2,2,-,-,-,10,8,-,-,3,-
