Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,Cannon,Carroll,Carter,Cheatham,Chester,Claiborne,Clay,Cocke,Coffee,Crockett,Cumberland,Davidson,Decatur,DeKalb,Dickson,Dyer,Fayette,Fentress,Franklin,Gibson,Giles,Grainger,Greene,Grundy,Hamblen,Hamilton,Hancock,Hardeman,Hardin,Hawkins,Haywood,Henderson,Henry,Hickman,Houston,Humphreys,Jackson,Jefferson,Johnson,Knox,Lake,Lauderdale,Lawrence,Lewis,Lincoln,Loudon,McMinn,McNairy,Macon,Madison,Marion,Marshall,Maury,Meigs,Monroe,Montgomery,Moore,Morgan,Obion,Overton,Perry,Pickett,Polk,Putnam,Rhea,Roane,Robertson,Rutherford,Scott,Sequatchie,Sevier,Shelby,Smith,Stewart,Sullivan,Sumner,Tipton,Trousdale,Unicoi,Union,Van Buren,Warren,Washington,Wayne,Weakley,White,Williamson,Wilson
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","9,695",87,155,84,80,187,137,51,105,73,65,79,46,104,50,106,109,21,166,60,42,78,186,31,91,97,94,44,187,108,330,53,65,116,45,70,54,219,14,65,93,127,42,93,91,120,53,169,-,26,207,61,212,121,198,65,92,50,77,159,258,35,130,116,40,80,36,145,46,25,74,152,58,129,179,251,41,35,73,80,107,46,177,211,51,37,17,78,68,153,204,92,70,133,169,289
2017,"9,662",110,204,31,90,202,150,40,114,92,50,89,46,104,56,102,138,18,147,71,47,69,173,25,76,105,75,91,158,104,244,54,82,133,59,78,77,205,15,92,71,130,40,132,80,157,71,209,-,24,208,53,180,77,134,91,135,39,70,147,230,37,114,118,41,97,58,114,48,19,69,169,61,155,142,279,44,45,85,67,130,66,125,193,63,39,12,68,72,164,168,82,116,114,174,220
"Layers                                                                                farms, 2022","8,886",81,131,74,73,181,89,51,92,69,54,77,42,98,37,99,104,14,154,57,40,70,171,28,82,81,83,38,169,105,300,44,56,98,45,66,51,212,13,62,87,115,40,91,80,115,47,157,-,26,182,60,183,112,168,59,79,50,62,148,248,35,123,109,34,76,25,133,40,18,57,142,56,125,157,235,35,33,67,77,103,44,172,197,49,37,16,75,63,148,199,89,55,121,165,276
2017,"8,830",105,163,31,82,192,103,40,102,91,49,87,46,97,37,95,128,15,141,69,43,67,166,25,66,90,60,83,145,98,223,47,69,119,59,71,74,194,13,86,69,120,32,130,76,144,71,193,-,24,188,52,163,72,127,79,116,38,62,131,219,36,105,114,36,90,46,98,41,10,47,151,60,139,140,252,42,39,77,66,121,60,117,181,60,35,12,66,61,152,159,79,97,97,162,205
"number, 2022","2,520,707","1,736",(D),"1,717","381,888","4,487","183,340",957,"1,959","135,112",641,"2,193",975,"3,161",(D),"1,921","2,741",299,"3,565","2,519","1,302","1,364","3,509",662,"2,059","1,796",(D),"10,699","124,167","2,371","5,645",(D),"1,214","22,863","1,198","1,637","1,429","4,298",208,"2,525","56,626","3,143","1,479","1,985","1,983","2,657",887,"5,866",-,489,"438,897","2,680","26,666","2,277","4,396",(D),(D),"1,661","6,301","3,590","5,782",630,"2,432","2,363",596,"9,867",(D),"2,660",783,373,"40,952","3,403",(D),"2,948","3,539","5,463",736,642,"2,476","1,852","1,804","1,414","2,922","3,860","1,010","1,433",367,"1,875",(D),"3,312","3,996","479,501","126,670","2,201","3,979","7,015"
2017,"1,986,321","3,399","52,317","1,157","244,981","5,402","175,124",813,"13,126","1,878",978,"1,648",772,"1,968","56,420","3,056","2,896",440,"4,390","1,898",964,"1,514","3,410",604,"2,180","10,407",(D),"5,122","121,396","2,160","4,072",(D),"1,704","24,330","1,052","2,810","1,701","6,275",465,"1,449","41,221","3,621",669,"3,731","2,091","3,020","2,869","3,836",-,297,"213,893","1,695","51,159","1,218","19,764","2,087","62,642",757,"1,836","2,448","4,990",729,"2,283","22,963",519,"7,101","61,067","1,540","1,146",189,711,"3,528","67,370","3,295","3,244","7,857",854,"1,014","1,650","4,375","2,785","1,176","3,196","4,980","1,251",675,223,"1,243","31,043","3,237","2,987","389,160","91,256","2,683","5,205","5,622"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"7,958",76,119,70,54,161,71,49,87,59,51,68,38,88,28,93,86,14,136,41,31,67,161,26,76,80,75,34,149,97,277,35,53,84,42,58,46,204,13,48,83,92,34,84,73,104,43,134,-,24,141,49,169,101,154,50,76,38,51,132,215,32,117,97,34,70,23,128,38,17,54,127,46,112,142,212,31,31,63,70,97,31,169,182,46,33,16,66,46,137,184,65,47,112,139,252
50 to 99.................................................................................,624,1,10,1,5,14,5,2,5,7,3,4,4,7,6,4,12,-,17,13,7,2,9,-,4,-,6,2,10,4,20,5,2,12,2,8,2,5,-,11,-,21,3,7,2,6,4,14,-,2,14,6,12,11,7,6,2,9,8,11,30,3,4,10,-,4,-,1,2,-,1,14,7,8,11,16,4,2,-,6,5,13,3,9,2,3,-,8,11,7,12,2,2,7,24,17
