Item,Texas,Anderson,Andrews,Angelina,Aransas,Archer,Armstrong,Atascosa,Austin,Bailey,Bandera,Bastrop,Baylor,Bee,Bell,Bexar,Blanco,Borden,Bosque,Bowie,Brazoria,Brazos,Brewster,Briscoe,Brooks,Brown,Burleson,Burnet,Caldwell,Calhoun,Callahan,Cameron,Camp,Carson,Cass,Castro,Chambers,Cherokee,Childress,Clay,Cochran,Coke,Coleman,Collin,Collingsworth,Colorado,Comal,Comanche,Concho,Cooke,Coryell,Cottle,Crane,Crockett,Crosby,Culberson,Dallam,Dallas,Dawson,Deaf Smith,Delta,Denton,DeWitt,Dickens,Dimmit,Donley,Duval,Eastland,Ector,Edwards,Ellis,El Paso,Erath,Falls,Fannin,Fayette,Fisher,Floyd,Foard,Fort Bend,Franklin,Freestone,Frio,Gaines,Galveston,Garza,Gillespie,Glasscock,Goliad,Gonzales,Gray,Grayson,Gregg,Grimes,Guadalupe,Hale,Hall,Hamilton,Hansford,Hardeman,Hardin,Harris,Harrison,Hartley,Haskell,Hays,Hemphill,Henderson,Hidalgo,Hill,Hockley,Hood,Hopkins,Houston,Howard,Hudspeth,Hunt,Hutchinson,Irion,Jack,Jackson,Jasper,Jeff Davis,Jefferson,Jim Hogg,Jim Wells,Johnson,Jones,Karnes,Kaufman,Kendall,Kenedy,Kent,Kerr,Kimble,King,Kinney,Kleberg,Knox,Lamar,Lamb,Lampasas,La Salle,Lavaca,Lee,Leon,Liberty,Limestone,Lipscomb,Live Oak,Llano,Loving,Lubbock,Lynn,McCulloch,McLennan,McMullen,Madison,Marion,Martin,Mason,Matagorda,Maverick,Medina,Menard,Midland,Milam,Mills,Mitchell,Montague,Montgomery,Moore,Morris,Motley,Nacogdoches,Navarro,Newton,Nolan,Nueces,Ochiltree,Oldham,Orange,Palo Pinto,Panola,Parker,Parmer,Pecos,Polk,Potter,Presidio,Rains,Randall,Reagan,Real,Red River,Reeves,Refugio,Roberts,Robertson,Rockwall,Runnels,Rusk,Sabine,San Augustine,San Jacinto,San Patricio,San Saba,Schleicher,Scurry,Shackelford,Shelby,Sherman,Smith,Somervell,Starr,Stephens,Sterling,Stonewall,Sutton,Swisher,Tarrant,Taylor,Terrell,Terry,Throckmorton,Titus,Tom Green,Travis,Trinity,Tyler,Upshur,Upton,Uvalde,Val Verde,Van Zandt,Victoria,Walker,Waller,Ward,Washington,Webb,Wharton,Wheeler,Wichita,Wilbarger,Willacy,Williamson,,Wilson,Winkler,Wise,Wood,Yoakum,Young,Zapata,Zavala
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","33,366",243,29,156,18,41,7,195,234,15,160,298,10,94,430,365,123,4,222,175,459,114,21,3,21,215,218,313,162,46,154,197,80,14,193,7,79,189,8,86,4,22,83,599,7,133,201,173,14,338,274,11,6,4,14,6,7,132,17,16,41,571,122,21,13,15,49,163,35,25,515,96,319,132,322,223,41,15,6,136,119,144,59,40,147,15,253,7,132,215,34,453,109,208,429,16,8,95,3,6,205,334,172,8,14,197,11,355,369,329,40,210,316,118,28,11,763,34,26,103,77,245,18,109,20,126,691,125,56,540,261,1,3,204,46,-,7,38,22,269,37,178,26,242,150,173,278,138,17,98,49,-,155,6,44,575,8,89,43,16,58,60,63,322,13,66,265,80,19,264,316,15,47,7,266,290,111,34,66,6,6,167,204,115,986,7,24,132,35,6,121,143,12,29,81,9,52,2,183,96,46,221,34,70,133,75,80,32,54,23,202,4,491,54,141,47,1,16,19,15,219,210,5,17,8,134,211,167,51,174,282,12,61,44,521,182,217,265,1,195,55,93,20,106,28,42,394,,348,4,718,268,10,99,16,19
2017,"31,222",196,23,168,29,30,13,174,197,23,157,271,2,105,474,372,130,5,164,164,373,129,31,2,16,215,181,308,161,38,141,250,66,25,174,5,73,182,3,58,1,34,75,596,7,121,176,151,22,317,278,4,7,8,3,6,-,153,9,13,56,648,188,19,16,9,36,158,68,33,465,101,293,117,321,277,31,11,10,99,76,148,47,19,110,-,216,7,128,155,42,413,74,209,329,54,4,124,2,6,125,327,149,6,44,204,3,315,350,242,56,162,262,122,36,20,708,16,17,97,48,172,6,136,9,143,640,122,117,534,228,2,2,184,54,-,15,46,2,192,17,180,19,223,195,154,268,132,11,77,85,-,155,11,60,546,4,90,44,17,49,65,60,264,14,61,292,68,29,186,298,20,47,-,180,258,96,43,92,9,3,187,221,100,826,8,30,93,35,17,118,102,7,8,102,28,11,3,140,78,19,212,15,63,113,91,57,27,56,16,190,-,410,47,137,51,1,15,12,13,272,162,3,5,5,142,158,181,79,175,293,13,43,63,432,131,231,251,18,169,96,106,21,81,16,24,422,,339,2,711,225,-,90,16,25
"Layers                                                                                farms, 2022","30,288",216,29,133,17,41,7,182,213,15,155,268,4,88,402,335,119,4,204,158,419,101,15,2,21,200,201,302,136,45,141,179,57,10,144,7,69,175,8,84,4,20,68,561,7,116,189,168,13,318,252,10,6,4,14,3,7,126,15,15,36,526,116,21,11,15,44,157,35,21,496,85,313,124,301,208,41,15,6,127,49,127,59,39,139,14,218,7,121,128,31,420,104,193,401,15,8,92,3,5,195,296,164,8,14,183,11,335,334,308,38,204,234,107,28,11,696,34,26,96,73,215,18,97,18,116,658,117,52,504,251,1,3,179,44,-,7,32,16,256,36,161,24,227,146,133,252,125,17,88,46,-,145,6,42,532,8,72,35,14,54,60,61,303,12,62,236,75,19,252,299,15,30,7,119,271,106,32,60,6,6,152,186,87,910,7,24,128,35,6,113,128,12,29,76,9,46,2,136,94,46,196,29,37,127,71,76,26,50,23,75,2,459,50,123,40,1,16,17,12,211,198,5,11,8,69,204,152,45,170,253,12,56,39,483,172,209,248,1,180,44,88,20,96,25,36,372,,328,4,691,198,10,97,12,19
2017,"28,096",179,23,137,28,21,13,153,185,17,151,261,2,94,430,348,118,5,154,144,343,115,29,2,14,199,164,273,137,38,129,221,48,25,138,5,62,163,3,55,1,27,72,570,7,112,169,128,20,290,249,4,7,8,2,6,-,145,9,13,51,594,172,18,16,8,28,148,56,20,442,99,280,107,312,251,31,11,10,85,36,119,45,12,105,-,209,7,106,92,42,392,62,200,308,46,4,113,2,6,107,295,136,6,44,196,3,274,309,225,55,149,193,110,36,20,653,14,17,89,46,167,6,132,9,132,613,111,101,499,214,2,2,158,48,-,13,40,2,167,17,168,18,205,162,124,251,114,11,76,71,-,150,11,52,493,4,71,42,17,49,64,54,249,10,61,267,59,29,167,271,20,36,-,76,234,85,40,84,9,2,174,209,71,744,8,30,91,35,17,105,101,7,8,90,28,10,3,124,67,19,161,14,45,105,86,54,27,54,15,73,-,373,46,115,51,1,12,12,13,237,140,3,5,5,90,133,170,72,170,266,13,42,51,386,120,214,236,17,158,81,93,19,77,16,22,389,,310,2,652,165,-,84,9,25
"number, 2022","24,478,507","3,936",592,"28,745",854,827,126,"4,667","6,255",226,"3,084","6,236",75,"2,891","8,730","9,061","1,796",39,"3,664","5,773","198,431",(D),905,(D),455,"5,239","233,196","6,150",(D),863,"4,079","5,620",(D),591,"302,260",155,"2,826","3,356",113,"1,263",34,359,"1,075","11,629",284,"82,919","4,137","2,799",253,"6,854","8,922",212,134,70,452,34,159,"9,461",260,438,757,(D),"2,716",421,295,224,804,"2,930",872,365,"10,521","3,139","4,639","2,261","7,357",(D),919,432,52,"3,450",(D),"208,294","1,241",714,"17,784",378,"3,773",139,"2,879","9,876,002",568,"8,621","2,646","3,875",(D),294,126,"1,961",48,58,"4,729","10,165","4,131",130,204,"3,491",187,"9,247","7,974","38,672",600,"3,296","119,113","2,784",631,208,"23,632",517,531,"1,879","1,897","5,110",280,"3,159",179,"3,954","18,984","6,530",967,"14,816","4,568",(D),55,"3,291",896,-,174,522,94,"6,837",790,"3,904",541,"18,783","4,297",(D),"8,218",(D),214,"1,504",903,-,(D),126,739,"144,228",116,"2,040","1,620",226,"1,455","1,728","1,423","11,893",147,"1,310","173,622","1,314",520,"5,218","9,729",298,"1,073",82,"232,110","6,035","3,241",623,"1,200",100,114,"4,423","3,837",(D),"18,552",(D),474,"3,505","1,075",108,"2,695","4,863",895,417,(D),218,"1,447",(D),(D),"1,964",857,"41,060",721,"125,016","4,242","1,387","1,837",425,"1,634",451,"1,166,616",(D),"95,257",801,"2,025","2,375",(D),362,266,345,"5,082","3,326",67,316,35,"2,662","4,778","23,635",967,"5,360","5,174",404,966,751,"12,304","3,664","18,961","5,723",(D),(D),"1,565","3,715",417,"1,967",450,"1,437","8,621",,"7,108",66,"14,372","182,559",165,"1,563",107,621
2017,"21,006,254","3,494",733,"2,597",609,256,309,"4,039","4,013",370,"2,763","7,573",(D),"4,022","9,506","7,531","2,017",120,"3,054","7,306","119,839",(D),"1,011",(D),175,"3,808","111,575","7,085",(D),507,"3,154","7,021",(D),"1,084","25,036",119,"1,273","2,992",63,"1,422",(D),573,"1,419","13,275",165,"9,999","25,099","2,186",394,"6,513","5,894",36,142,269,(D),48,-,"5,446",165,251,"1,312",(D),"5,102",397,339,224,417,"3,060","1,246",371,"9,520","2,362","5,206",(D),"9,509","5,941",522,935,212,"2,111",(D),(D),785,172,"17,110",-,"4,057",250,"2,625","7,625,972",941,"8,094","1,190","6,408",(D),"1,370",33,"3,022",(D),106,"3,446","7,190","4,331",118,"1,107","6,199",27,"6,051","12,643","66,075","1,203","2,840","165,535",(D),637,503,"13,886",156,"1,214","1,334",971,"4,123",76,"3,957",157,"3,812","18,322","3,171","1,790","14,846","4,593",(D),(D),"39,324",884,-,604,"1,112",(D),"3,628",272,"3,506",331,"100,906","3,644","3,008","7,564","4,087",196,"2,400","1,062",-,(D),255,"1,464","12,956",163,"1,545",600,462,"1,499","1,395",561,"11,697",183,"1,228","224,068","1,443",738,"3,531","7,099",440,"1,001",-,"279,527","4,840","1,855",715,"2,328",92,(D),"8,630","4,707","1,388","17,088",(D),601,"1,885",906,382,"3,288","2,204",372,194,(D),"1,066",126,30,(D),"1,354",274,"25,945",359,"125,933","4,040","2,035","1,007",872,"1,282",345,"1,238,783",-,"12,602",840,"4,346","1,138",(D),209,353,327,"6,496","3,157",27,64,44,"1,850","2,578","27,296","2,372","4,061","49,354",165,670,"1,401","9,037","2,295","61,125","5,324",381,(D),"1,746","7,670",318,"2,321","1,121",678,"10,679",,"6,414",(D),"13,606","73,251",-,"2,279",283,414
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"27,352",208,29,108,13,36,7,165,189,14,145,242,4,73,359,305,117,4,188,141,356,90,13,2,21,190,185,291,119,42,136,154,52,9,119,7,60,166,8,84,4,20,67,516,4,107,176,161,13,292,227,7,4,4,12,3,7,107,13,14,35,482,105,19,9,15,39,147,33,21,457,78,309,119,264,198,38,9,6,111,48,114,50,39,111,12,212,6,105,97,30,392,97,183,361,14,8,83,3,5,176,263,144,8,14,172,11,302,295,283,36,197,209,85,24,11,608,33,26,89,65,196,18,81,18,97,579,96,48,425,238,1,3,171,41,-,6,28,16,229,30,145,22,215,130,131,203,118,17,86,42,-,118,6,42,492,8,60,30,14,49,52,58,265,12,57,211,71,17,232,246,15,27,7,106,252,89,30,54,6,6,124,179,80,843,6,24,117,26,6,99,98,5,28,70,9,34,2,118,82,45,176,27,31,102,62,68,26,44,21,52,2,422,50,114,34,1,13,15,7,187,190,5,10,8,54,184,132,43,142,235,9,56,36,447,161,187,215,-,173,34,75,19,84,21,32,327,,301,4,638,162,10,97,12,14
50 to 99.................................................................................,"1,992",8,-,24,1,5,-,13,16,1,6,25,-,11,35,18,-,-,13,11,49,5,-,-,-,9,7,9,5,3,-,15,-,-,14,-,-,8,-,-,-,-,1,36,3,-,8,7,-,19,15,3,2,-,-,-,-,9,2,-,-,37,7,2,2,-,5,8,2,-,26,2,4,5,32,6,2,6,-,12,-,7,9,-,24,-,6,1,16,7,-,23,4,7,27,1,-,8,-,-,17,25,15,-,-,11,-,23,33,8,2,2,11,20,4,-,55,1,-,4,6,10,-,14,-,10,49,13,4,56,10,-,-,6,1,-,1,4,-,13,6,12,2,11,9,1,24,1,-,2,4,-,13,-,-,28,-,6,-,-,3,5,1,23,-,5,17,4,1,19,39,-,-,-,7,8,4,2,6,-,-,19,2,6,56,-,-,4,6,-,10,24,1,1,4,-,12,-,16,12,1,15,2,-,20,9,3,-,4,2,5,-,20,-,9,3,-,3,2,5,15,5,-,1,-,9,20,6,-,11,13,-,-,3,26,8,21,28,-,3,7,4,-,9,4,1,38,,17,-,37,20,-,-,-,5
