Item,Utah_S,Beaver,Box Elder,Cache,Carbon,Daggett,Davis,Duchesne,Emery,Garfield,Grand,Iron,Juab,Kane,Millard,Morgan,Piute,Rich,Salt Lake,San Juan,Sanpete,Sevier,Summit,Tooele,Uintah,Utah,Wasatch,Washington,Wayne,Weber
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","3,186",37,178,211,78,5,81,170,97,43,14,103,54,23,44,59,14,20,126,148,180,109,112,156,189,493,101,106,20,215
2017,"2,806",27,132,173,55,6,100,163,88,26,7,72,12,21,47,54,5,11,163,152,133,112,67,127,206,411,104,125,28,179
"Layers                                                                                farms, 2022","2,943",36,161,195,69,5,80,155,92,39,11,103,48,23,33,57,11,20,120,116,151,105,111,143,173,466,93,100,20,207
2017,"2,553",24,117,167,53,6,91,162,79,26,7,69,11,19,46,47,3,11,157,71,107,108,67,116,192,393,100,119,26,159
"number, 2022","6,077,427",456,"3,394",(D),"1,009",86,"1,287","2,640","1,269",600,157,"1,789",511,435,(D),"1,057",107,234,"2,877","1,214","2,641","2,501","1,428",(D),"3,884",(D),"1,497","1,687",546,"3,774"
2017,"4,480,850","1,417","1,869",(D),979,84,"1,202","2,510","1,212",478,66,"1,329",137,423,(D),"1,315",48,123,"3,029",668,"2,097","3,438",953,(D),"4,390",(D),"1,357","3,058",390,"2,894"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"2,787",36,153,187,67,5,75,152,89,37,11,100,47,20,26,53,11,20,104,114,145,99,109,134,166,434,89,96,19,189
50 to 99.................................................................................,111,-,3,2,2,-,5,1,3,2,-,3,1,3,6,3,-,-,13,-,3,3,-,6,3,25,3,4,-,17
100 to 399.............................................................................,37,-,5,5,-,-,-,2,-,-,-,-,-,-,-,1,-,-,3,2,3,2,2,2,3,4,1,-,1,1
"400 to 3,199..........................................................................",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",5,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",368,4,16,20,11,2,6,17,17,-,2,8,3,3,3,6,-,3,23,25,18,9,9,19,23,72,10,14,3,22
2017,400,7,9,16,8,-,5,30,16,9,1,17,-,-,7,15,-,-,24,85,20,11,3,9,17,38,8,16,6,23
"number, 2022","1,654,780",39,124,(D),161,(D),106,284,132,-,(D),92,36,26,(D),61,-,14,365,115,348,(D),88,(D),703,(D),100,171,17,230
2017,"1,002,848",42,41,(D),98,-,72,302,108,110,(D),189,-,-,(D),268,-,-,292,634,385,838,36,(D),678,(D),66,123,120,308
"Broilers and other meat-type chickens                         farms, 2022",286,-,27,32,4,-,-,14,3,8,-,10,5,-,12,4,5,-,5,7,13,11,8,15,25,30,3,8,3,34
2017,184,2,11,14,5,-,11,15,3,-,2,7,1,-,-,3,-,-,10,2,1,15,17,3,22,20,6,6,1,7
"number, 2022","8,018",-,538,509,(D),-,-,577,34,"1,065",-,355,48,-,184,90,125,-,170,106,213,802,42,698,642,682,85,128,(D),770
2017,"9,680",(D),646,259,269,-,168,344,36,-,(D),102,(D),-,-,47,-,-,206,(D),(D),"1,414",372,(D),744,266,62,72,(D),68
"Turkeys                                                                              farms, 2022",275,2,10,11,-,1,9,12,9,6,1,16,3,2,6,2,3,-,10,17,29,11,3,15,24,29,6,17,2,19
2017,287,-,16,8,9,-,15,28,5,-,2,10,1,-,1,9,2,-,17,18,30,5,2,10,32,37,7,14,2,7
"number, 2022","3,631,677",(D),234,30,-,(D),29,70,54,(D),(D),93,(D),(D),(D),(D),"50,001",-,88,39,"3,322,434",33,9,63,313,310,13,61,(D),82
2017,"3,430,687",-,141,66,66,-,175,97,27,-,(D),30,(D),-,(D),12,(D),-,184,(D),"3,050,306",34,(D),154,339,119,34,186,(D),"1,015"
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",794,1,43,53,18,2,15,45,14,5,4,28,12,1,17,15,3,4,34,53,44,21,18,47,38,125,28,36,3,67
2017,756,8,40,42,16,-,37,40,31,11,2,16,2,5,4,27,-,3,46,73,12,27,18,34,73,94,25,24,6,40
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","1,472",17,101,116,36,2,49,66,37,15,7,51,9,12,29,21,7,7,75,34,93,43,51,79,84,238,36,51,11,95
2017,"1,264",5,73,63,22,-,40,72,40,14,3,33,7,12,19,28,4,7,89,27,79,49,28,52,91,220,43,46,13,85
"Layers sold                                                                        farms, 2022",346,4,21,28,6,2,21,10,8,-,-,7,2,3,7,-,1,3,20,4,20,17,13,19,27,61,10,10,1,21
2017,353,2,16,31,9,-,8,18,16,1,-,4,1,3,6,2,2,2,16,13,23,12,18,25,17,52,17,22,6,11
"number, 2022","4,071,716",23,278,(D),96,(D),363,186,536,-,-,81,(D),36,(D),-,(D),29,513,12,599,739,102,(D),"1,393",(D),70,478,(D),(D)
2017,"3,423,303",(D),510,(D),400,-,73,862,110,(D),-,40,(D),15,(D),(D),(D),(D),115,123,474,"1,950",198,(D),595,(D),88,"2,701",76,372
"Pullets for laying flock replacement sold                      farms, 2022",33,-,-,6,-,-,-,1,-,-,2,1,-,-,-,-,-,-,-,3,2,3,-,1,6,6,-,-,-,2
2017,29,-,-,2,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,8,-,2,-,1,-,5,-,6,-,2
"number, 2022",(D),-,-,(D),-,-,-,(D),-,-,(D),(D),-,-,-,-,-,-,-,30,(D),(D),-,(D),120,90,-,-,-,(D)
2017,(D),-,-,(D),-,-,-,(D),-,-,-,-,-,-,-,(D),-,-,-,89,-,(D),-,(D),-,57,-,60,-,(D)
"Broilers and other meat-type chickens sold                farms, 2022",132,-,9,15,2,2,7,8,3,-,-,5,-,-,8,-,-,-,2,1,5,5,2,14,8,16,2,7,1,10
2017,79,2,12,2,-,-,4,1,-,-,-,-,-,-,-,5,-,1,2,-,2,9,8,3,9,12,-,2,-,5
