Item,Vermont,Addison,Bennington,Caledonia,Chittenden,Essex,Franklin,Grand Isle,Lamoille,Orange,Orleans,Rutland,Washington,Windham,Windsor
INVENTORY,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","1,454",142,63,111,100,24,101,18,57,118,119,157,123,123,198
2017,"1,596",165,48,138,114,26,108,27,89,134,127,145,156,142,177
"Layers                                                                                farms, 2022","1,345",133,57,102,99,23,92,17,56,117,109,136,102,113,189
2017,"1,486",154,45,122,107,26,106,24,78,122,113,134,149,132,174
"number, 2022","163,054","37,489","1,548","63,179","4,791",(D),"22,894",(D),"1,783","4,004","3,858","4,227","4,789","4,536","6,974"
2017,"173,241","58,738","1,457","42,111","6,452",(D),"22,264",(D),"13,685","3,048","2,098","4,407","6,790","5,063","4,022"
2022 farms by inventory:,,,,,,,,,,,,,,,
1 to 49...................................................................................,"1,120",100,54,90,85,23,66,16,43,94,87,112,92,96,162
50 to 99.................................................................................,108,14,-,-,3,-,20,-,7,17,15,15,-,3,14
100 to 399.............................................................................,101,17,2,9,8,-,5,-,6,6,7,9,8,14,10
"400 to 3,199..........................................................................",11,1,1,-,3,-,-,1,-,-,-,-,2,-,3
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",1,-,-,-,-,-,1,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",4,1,-,3,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",156,16,3,12,21,2,10,-,6,13,15,14,13,27,4
2017,189,14,12,12,18,3,11,1,11,12,12,27,18,15,23
"number, 2022","8,782",(D),135,674,535,(D),193,-,870,268,633,131,482,"1,493",102
2017,"13,286",(D),505,372,(D),600,363,(D),535,568,241,949,310,239,584
"Broilers and other meat-type chickens                         farms, 2022",227,11,2,19,13,10,20,1,12,17,19,27,27,20,29
2017,237,22,5,19,11,10,9,4,20,26,14,25,29,21,22
"number, 2022","102,822",(D),(D),"1,084","2,405",292,870,(D),"2,752",376,"41,864","2,398",(D),"2,951","2,767"
2017,"57,968",(D),(D),398,"1,407","1,834","2,880",178,"1,389","1,086",884,"1,340","3,116",855,853
"Turkeys                                                                              farms, 2022",123,5,10,5,5,7,18,1,7,2,10,18,15,1,19
2017,143,5,3,11,10,5,20,-,17,13,15,8,14,12,10
"number, 2022","4,940",(D),595,81,68,132,192,(D),37,(D),205,69,169,(D),206
2017,"4,706",(D),(D),120,83,18,203,-,154,205,247,(D),274,285,129
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",446,39,13,29,33,3,34,2,15,35,42,61,40,48,52
2017,466,42,14,42,36,10,15,6,32,40,44,48,24,58,55
NUMBER SOLD,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","1,032",94,34,82,76,17,88,5,39,90,79,107,85,99,137
2017,"1,029",112,30,88,79,13,59,8,54,62,72,107,117,110,118
"Layers sold                                                                        farms, 2022",218,15,4,19,13,7,17,3,5,10,22,27,16,31,29
2017,212,20,5,23,21,2,12,3,6,11,20,18,16,24,31
"number, 2022","98,228",(D),(D),"1,644",(D),580,(D),(D),378,931,"1,760","2,534",929,"4,877","2,484"
2017,"107,028",(D),265,"2,243","1,784",(D),(D),(D),(D),"2,123",533,"1,173","1,280","1,979",834
"Pullets for laying flock replacement sold                      farms, 2022",46,-,-,6,5,2,4,-,3,1,8,2,1,13,1
2017,35,3,-,8,-,3,4,-,-,4,5,-,4,-,4
"number, 2022","8,837",-,-,"4,616",(D),(D),68,-,156,(D),"1,102",(D),(D),761,(D)
2017,"4,838",62,-,"3,978",-,150,56,-,-,240,67,-,65,-,220
"Broilers and other meat-type chickens sold                farms, 2022",274,12,3,21,18,9,27,3,16,21,27,39,22,30,26
2017,256,27,9,21,13,10,12,3,16,12,19,28,30,32,24
"number, 2022","467,308",(D),"1,700","1,655","25,328",(D),"2,726","13,212",(D),580,"72,718","4,424","1,834","9,728","6,966"
2017,"345,831",(D),(D),"1,678","4,790","4,270","2,850",(D),"1,788",812,(D),"3,086","2,693","4,159","4,245"
2022 farms by number sold:,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",255,11,3,21,14,8,27,1,14,21,18,39,22,30,26
"2,000 to 59,999.....................................................................",18,-,-,-,4,1,-,2,2,-,9,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",139,10,6,8,6,7,27,-,3,2,16,22,20,6,6
2017,121,17,7,12,2,4,16,-,13,5,12,8,6,6,13
"number, 2022",(D),(D),"1,005",180,(D),420,464,-,40,(D),975,242,393,286,337
2017,"82,918",(D),(D),161,(D),(D),166,-,74,187,236,199,834,510,306
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",109,9,3,11,8,-,13,2,2,7,11,6,7,23,7
2017,111,16,-,7,9,3,7,-,6,2,12,11,14,18,6
