Item,Virginia,Accomack,Albemarle,Alleghany,Amelia,Amherst,Appomattox,Arlington,Augusta,Bath,Bedford,Bland,Botetourt,Brunswick,Buchanan,Buckingham,Campbell,Caroline,Carroll,Charles City,Charlotte,Chesterfield,Clarke,Craig,Culpeper,Cumberland,Dickenson,Dinwiddie,Essex,Fairfax,Fauquier,Floyd,Fluvanna,Franklin,Frederick,Giles,Gloucester,Goochland,Grayson,Greene,Greensville,Halifax,Hanover,Henrico,Henry,Highland,Isle of Wight,James City,King and Queen,King George,King William,Lancaster,Lee,Loudoun,Louisa,Lunenburg,Madison,Mathews,Mecklenburg,Middlesex,Montgomery,Nelson,New Kent,Northampton,Northumberland,Nottoway,Orange,Page,Patrick,Pittsylvania,Powhatan,Prince Edward,Prince George,Prince William,Pulaski,Rappahannock,Richmond,Roanoke,Rockbridge,Rockingham,Russell,Scott,Shenandoah,Smyth,Southampton,Spotsylvania,Stafford,Surry,Sussex,Tazewell,Warren,Washington,Westmoreland,Wise,Wythe,York,Chesapeake City,Suffolk,Virginia Beach City
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","7,001",74,169,30,47,65,68,-,310,6,221,43,81,32,15,92,83,46,76,11,37,41,93,39,104,56,27,53,15,22,261,80,69,133,143,49,33,59,76,39,4,92,110,23,51,35,43,21,8,30,33,10,64,314,110,46,74,32,53,13,102,47,26,2,12,59,87,115,57,128,54,66,42,88,57,88,15,50,99,543,87,122,192,57,22,53,68,20,14,81,63,160,18,24,93,23,45,35,23
2017,"6,789",72,166,24,63,51,54,-,265,10,236,28,70,22,19,63,109,50,72,18,55,65,73,19,155,37,24,64,16,33,224,87,57,129,170,64,49,76,63,41,10,85,112,13,26,27,47,13,22,16,24,7,53,335,83,24,72,10,43,7,81,52,39,9,21,55,71,104,69,127,52,43,39,82,37,76,6,15,92,591,96,87,180,76,23,65,63,8,12,72,73,131,26,26,97,6,73,63,29
"Layers                                                                                farms, 2022","5,938",29,164,30,39,60,65,-,187,6,207,39,78,29,15,75,80,43,74,11,33,38,89,39,100,39,25,53,15,21,255,78,62,130,134,46,33,58,72,37,4,89,83,23,51,24,37,13,8,24,33,9,62,297,96,36,68,30,50,13,96,44,23,2,8,49,79,51,54,116,50,50,31,84,54,86,13,49,88,209,79,118,123,52,13,49,67,18,14,79,55,149,18,24,91,23,43,31,18
2017,"5,729",33,161,24,36,51,52,-,158,8,231,27,67,20,17,50,108,42,63,18,49,58,70,19,146,24,24,60,16,33,196,82,55,124,159,59,48,71,60,39,10,78,91,12,22,15,44,13,22,16,22,7,53,315,80,21,61,8,39,7,79,50,34,9,20,43,64,33,65,111,51,38,29,78,36,70,6,15,80,244,90,84,124,74,18,62,57,8,12,72,64,126,20,26,84,6,70,54,29
"number, 2022","2,374,640",(D),"5,425",750,750,"1,347","1,547",-,"134,098",128,"5,634",836,"1,557",514,210,(D),"1,962","1,653","1,423",212,"3,636","1,161","2,989",510,"2,815","132,990",399,"1,663",323,404,"7,530","2,384","2,173","3,762","3,012",852,"2,036","1,956","1,475","4,295",46,"15,567","1,451",695,"2,108","1,450","1,515",170,122,769,"1,276",434,"1,507","10,317","2,667","1,017","1,661","5,030","1,098",188,"2,501","1,461",941,(D),393,(D),"3,887","94,647",851,"38,663",(D),"1,098",969,"2,345","2,669","2,494",411,868,"2,267","641,510","1,096","1,916","59,400",972,519,"2,129","1,999",513,261,"1,860","1,354",(D),317,526,"2,165","1,190","1,017",955,706
2017,"2,447,718",(D),"5,911",719,"1,992","2,312","1,227",-,"119,375",534,"7,652",867,"1,838",377,442,(D),"2,466","2,113","1,749",957,"5,252","1,375","2,012",288,"5,096",(D),"1,084","2,092",575,929,"6,262","2,483","2,171","3,438","4,699","1,147","2,060","3,721",967,"3,210",100,"41,794","3,500",296,568,287,"3,539","1,322","1,752",451,811,463,"1,760","10,199","3,881",927,"3,446",(D),"1,434",115,"2,001","2,023","1,946",696,849,"169,964","2,384","185,447","1,496","42,306",(D),(D),536,"2,137",678,"2,766",104,450,"1,772","559,011","1,393","2,790","65,049","1,410",402,"2,102","2,512",252,334,"1,753","1,906",(D),380,519,"1,387",348,"2,268","1,373","1,382"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"5,106",25,141,26,37,55,54,-,150,6,184,35,73,27,15,54,70,31,70,11,30,30,76,39,81,32,25,47,14,21,213,73,50,119,125,43,21,48,63,25,4,74,79,19,48,15,29,13,8,20,25,6,52,256,80,31,62,21,48,11,86,40,18,2,4,45,61,41,54,103,49,43,22,71,49,76,11,46,77,133,78,113,99,50,9,37,53,17,14,63,52,141,17,22,83,19,32,25,11
50 to 99.................................................................................,510,2,15,4,2,4,8,-,21,-,14,4,4,2,-,11,8,2,2,-,1,6,11,-,17,1,-,4,-,-,23,4,6,4,5,1,3,3,6,8,-,9,2,4,2,3,3,-,-,2,5,-,6,30,15,4,3,8,1,2,5,2,3,-,4,2,10,4,-,6,-,6,9,11,2,6,2,3,7,21,1,5,18,1,3,3,13,1,-,16,3,7,1,2,5,2,11,5,5
