Item,Washington,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","6,090",21,34,253,44,119,501,27,67,34,29,82,10,81,102,122,30,385,214,109,119,373,31,95,148,38,39,423,68,161,33,412,501,216,258,27,100,357,91,336
2017,"6,872",52,40,245,69,129,505,35,82,35,50,50,20,115,128,118,53,469,243,164,127,380,46,58,177,41,55,499,91,209,44,452,550,223,324,43,120,349,83,399
"Layers                                                                                farms, 2022","5,721",18,28,232,42,115,466,27,57,30,27,78,9,80,95,106,28,361,213,100,116,346,30,95,140,38,39,401,64,146,33,370,491,215,238,27,93,331,80,316
2017,"6,451",45,36,233,61,118,476,35,79,34,41,43,18,109,121,108,49,449,233,153,125,350,41,55,167,39,50,471,85,199,44,417,535,209,304,40,117,327,82,353
"number, 2022","6,024,276",(D),382,"3,393",809,"3,667","12,683",487,"1,443",495,616,(D),90,(D),"1,723","3,705",916,"10,884","6,367","1,620","3,501","6,919",883,"3,112","3,497",718,470,(D),"2,118","7,302",473,"801,440","10,968","5,057","1,416,780",767,"3,052","14,452","1,229",(D)
2017,"7,128,683",(D),729,"4,922","1,084","4,019","11,470",532,"1,911",659,535,(D),542,(D),"1,733","2,291","1,929","12,353","6,292","2,660","2,563","6,074","1,186","1,595","3,126",598,"1,004",(D),"2,643","13,686",761,"726,366","10,718","3,748","1,433,800","1,207","2,536","11,729","1,696",(D)
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"5,209",15,25,225,38,100,421,26,51,30,23,72,9,75,85,86,22,308,190,96,105,325,29,82,126,37,38,370,50,130,33,331,458,207,208,19,85,304,78,297
50 to 99.................................................................................,298,-,3,6,2,4,26,-,5,-,4,-,-,1,10,17,3,26,12,4,4,12,-,10,7,-,1,15,9,12,-,22,21,5,12,8,6,16,2,13
100 to 399.............................................................................,171,1,-,1,2,11,15,1,1,-,-,5,-,3,-,2,3,26,10,-,5,9,-,2,7,1,-,13,5,1,-,12,10,2,11,-,1,6,-,5
"400 to 3,199..........................................................................",29,1,-,-,-,-,4,-,-,-,-,-,-,-,-,1,-,1,1,-,2,-,1,1,-,-,-,1,-,3,-,-,2,1,4,-,1,5,-,-
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
