Item,West Virginia,Barbour,Berkeley,Boone,Braxton,Brooke,Cabell,Calhoun,Clay,Doddridge,Fayette,Gilmer,Grant,Greenbrier,Hampshire,Hancock,Hardy,Harrison,Jackson,Jefferson,Kanawha,Lewis,Lincoln,Logan,McDowell,Marion,Marshall,Mason,Mercer,Mineral,Mingo,Monongalia,Monroe,Morgan,Nicholas,Ohio,Pendleton,Pleasants,Pocahontas,Preston,Putnam,Raleigh,Randolph,Ritchie,Roane,Summers,Taylor,Tucker,Tyler,Upshur,Wayne,Webster,Wetzel,Wirt,Wood,Wyoming
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","4,926",130,195,16,99,18,86,48,40,102,69,64,86,118,183,24,181,185,177,139,73,94,33,3,5,154,97,172,52,118,-,138,157,84,102,32,99,71,89,211,158,71,68,85,100,103,70,29,50,101,57,11,68,51,148,12
2017,"4,884",154,236,19,66,21,77,62,35,65,57,55,104,149,234,21,188,172,205,128,67,76,30,2,3,115,126,157,72,119,2,126,168,50,59,35,100,41,101,223,119,89,74,82,106,70,98,23,50,120,64,19,42,42,162,4
"Layers                                                                                farms, 2022","4,580",127,190,15,92,13,83,46,38,99,66,63,66,116,163,22,100,169,168,136,72,87,33,3,5,145,91,164,52,105,-,128,146,77,96,28,56,69,89,203,157,70,67,85,100,98,69,29,48,98,55,10,68,49,144,12
2017,"4,464",140,233,18,64,21,77,60,34,57,57,44,69,138,207,17,87,168,197,124,63,67,24,2,3,109,126,157,72,99,2,125,154,49,53,29,44,41,99,221,113,87,70,80,95,60,98,23,50,115,63,19,39,42,155,4
"number, 2022","1,394,182","2,746","5,729",464,"1,740",398,"2,477","1,171",630,"1,684","1,442",890,"196,104","4,198","67,993",458,"595,250","2,732","2,858","1,994","1,576","2,657",655,54,90,"3,051","2,152","3,484","1,718","55,612",-,"2,147","3,538","1,505","1,860",860,"385,687","1,135","4,265","6,070","3,700","1,299","1,974","2,124","2,042","1,375","1,581",648,"1,065","1,858","1,357",273,"1,536","1,029","3,132",115
2017,"1,215,655","3,292","9,793",882,"1,318",419,"1,518","1,449","1,298",961,"1,158","1,217","285,972","5,556","53,676",376,"447,744","3,475","3,530","3,656","3,044","1,439","3,109",(D),45,"2,418","2,868","3,722","1,738","73,808",(D),"2,962","3,577",958,"1,513",719,"248,123",811,"2,482","6,510","3,102","1,830","1,877","2,664","2,826","2,042","1,954",777,867,"2,734","1,587",430,"1,059","1,137","3,480",80
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"4,100",119,162,12,87,8,67,43,37,93,58,61,52,101,148,21,54,165,163,132,61,81,28,3,5,139,79,152,40,95,-,123,126,73,87,21,35,67,83,183,140,65,56,72,90,95,58,24,43,90,46,8,60,47,130,12
50 to 99.................................................................................,304,8,19,1,4,5,14,-,1,5,8,2,2,11,8,-,3,3,3,3,11,5,4,-,-,2,8,8,6,7,-,5,18,4,9,6,-,2,2,13,17,3,7,9,8,3,10,5,3,5,8,2,7,-,7,-
100 to 399.............................................................................,88,-,7,2,1,-,2,3,-,1,-,-,-,3,3,1,1,1,2,1,-,-,1,-,-,4,4,4,6,-,-,-,2,-,-,1,-,-,3,6,-,2,4,4,2,-,1,-,2,3,1,-,1,2,7,-
"400 to 3,199..........................................................................",7,-,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",10,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,7,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",53,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",18,-,-,-,-,-,-,-,-,-,-,-,3,-,2,-,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
