Item,Wisconsin,Adams,Ashland,Barron,Bayfield,Brown,Buffalo,Burnett,Calumet,Chippewa,Clark,Columbia,Crawford,Dane,Dodge,Door,Douglas,Dunn,Eau Claire,Florence,Fond du Lac,Forest,Grant,Green,Green Lake,Iowa,Iron,Jackson,Jefferson,Juneau,Kenosha,Kewaunee,La Crosse,Lafayette,Langlade,Lincoln,Manitowoc,Marathon,Marinette,Marquette,Menominee,Milwaukee,Monroe,Oconto,Oneida,Outagamie,Ozaukee,Pepin,Pierce,Polk,Portage,Price,Racine,Richland,Rock,Rusk,St. Croix,Sauk,Sawyer,Shawano,Sheboygan,Taylor,Trempealeau,Vernon,Vilas,Walworth,Washburn,Washington,Waukesha,Waupaca,Waushara,Winnebago,Wood
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","9,539",64,51,201,76,143,127,65,62,214,466,183,100,355,206,92,42,167,165,21,104,15,249,265,104,167,18,101,151,101,79,64,92,136,52,83,141,341,89,104,-,16,245,148,39,122,42,51,195,189,198,50,125,119,190,86,164,225,42,134,134,155,167,347,8,182,75,121,113,184,101,111,205
2017,"8,882",66,69,168,82,98,137,54,65,201,388,187,108,336,175,75,48,180,174,16,100,22,210,236,80,134,19,125,149,84,72,53,72,162,59,59,116,320,77,95,1,15,250,98,28,112,25,59,168,182,201,71,99,126,202,74,172,185,35,132,132,144,183,369,20,145,78,81,88,134,109,113,180
"Layers                                                                                farms, 2022","8,696",63,48,182,69,129,71,57,58,193,438,171,92,336,191,92,42,147,146,20,93,15,226,252,91,148,17,87,139,101,78,61,87,129,41,81,127,304,82,94,-,16,234,130,38,118,42,48,182,177,182,46,117,118,179,80,152,214,42,122,129,144,109,311,8,165,66,111,100,157,80,100,181
2017,"7,992",61,56,143,76,87,76,49,62,194,372,176,104,322,154,74,44,170,159,16,93,16,189,212,71,114,18,107,133,80,71,50,64,144,50,54,102,306,76,88,1,15,225,94,26,93,24,57,141,163,185,64,89,116,173,72,147,177,35,123,124,126,113,345,20,128,72,63,85,109,102,90,162
"number, 2022","6,490,101","1,143",864,"4,375","1,608","3,193","166,920","1,583","1,592","6,357","193,933","47,786",(D),(D),"13,810","6,338","1,144","22,835","6,713",543,"2,318",344,"246,405","8,093","10,193","65,637",315,"17,326","3,943,485","2,187","2,216","1,439","9,240","65,501","1,007","30,619",(D),"28,127","1,250","51,770",-,256,"202,176","4,152",655,"3,178","1,389",802,"3,577","4,884","4,002","1,383","3,958","68,981","4,394","1,996","2,448","19,101","1,077","9,302",(D),"2,733","109,744","234,471",207,"40,446","1,423",(D),"3,122","3,294","2,289","2,830","3,904"
2017,"7,639,627","1,339","1,118","3,116","1,787","3,783","156,047",679,"1,319","7,284","130,527","47,693","1,893","73,715","5,690","2,356",810,"24,021","10,062",673,"2,598",492,"248,125","6,118","7,992","97,102",263,"5,241","5,685,942",(D),"4,527","1,166","11,359","75,472","1,303",(D),(D),"28,652","1,884","9,592",(D),554,"190,499","7,543",543,"3,536",(D),"1,275","3,245","3,448","5,420","1,351","3,288","6,649","4,059","1,723","4,794","95,757","1,139","13,362",(D),"3,209","125,846","160,931",521,"3,191","2,162",(D),"2,566","2,306","2,643","1,901","3,813"
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"7,638",58,44,168,66,123,60,49,49,178,380,139,83,291,165,62,35,136,134,18,80,10,202,226,62,129,17,78,110,89,69,55,75,107,33,74,114,269,81,69,-,16,195,118,38,101,37,42,165,150,168,38,86,105,159,74,145,196,37,116,119,140,90,237,8,150,64,90,86,151,67,93,170
50 to 99.................................................................................,615,4,4,8,1,4,2,6,6,9,36,16,7,35,18,24,5,10,8,-,11,5,8,16,16,5,-,5,8,11,6,6,10,11,7,2,7,24,1,10,-,-,17,6,-,10,2,6,15,21,4,5,23,7,10,4,7,5,1,3,7,4,10,15,-,12,2,12,8,4,11,4,8
100 to 399.............................................................................,270,1,-,6,2,1,2,2,3,5,9,11,1,7,7,3,2,-,2,2,2,-,5,7,12,11,-,2,15,1,3,-,-,4,1,2,5,8,-,8,-,-,10,4,-,7,3,-,2,6,10,3,8,2,10,2,-,11,4,2,2,-,2,6,-,1,-,8,6,2,2,2,3
"400 to 3,199..........................................................................",66,-,-,-,-,1,1,-,-,1,4,2,-,1,-,3,-,-,2,-,-,-,-,3,-,-,-,1,1,-,-,-,1,1,-,2,-,2,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,1,-,-,-,-,-,1,-
"3,200 to 9,999.......................................................................",43,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,4,-,-,-,-,-,7,-,-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,1,-,-,1,18,-,-,-,-,-,-,-,-,-
