Item,Wyoming,Albany,Big Horn,Campbell,Carbon,Converse,Crook,Fremont,Goshen,Hot Springs,Johnson,Laramie,Lincoln,Natrona,Niobrara,Park,Platte,Sheridan,Sublette,Sweetwater,Teton,Uinta,Washakie,Weston
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry                                                                            farms, 2022","1,388",72,87,96,22,45,47,126,67,17,48,128,62,91,15,116,66,86,31,15,9,58,33,51
2017,"1,586",89,113,95,31,41,36,131,88,47,39,146,93,103,25,147,40,125,36,30,12,48,38,33
"Layers                                                                                farms, 2022","1,338",65,86,96,20,45,47,123,65,17,40,125,61,82,15,113,63,83,31,15,5,57,33,51
2017,"1,503",83,108,89,25,41,34,126,80,47,37,141,89,89,25,146,38,119,34,30,11,42,38,31
"number, 2022","28,750","2,313","1,550","1,785",347,"1,143",841,"2,899","1,259",515,"1,110","2,231",957,"1,651",301,"2,816","1,580","1,668",424,325,169,"1,045",714,"1,107"
2017,"29,550","1,778","2,382","1,688",437,"1,040",562,"2,647","1,857",614,793,"2,336","1,403","1,630",404,"3,537",568,"1,992",653,400,167,943,790,929
2022 farms by inventory:,,,,,,,,,,,,,,,,,,,,,,,,
1 to 49...................................................................................,"1,239",53,83,91,20,39,43,112,62,16,35,121,60,78,14,101,53,75,31,13,4,56,33,46
50 to 99.................................................................................,84,8,3,5,-,5,4,10,3,-,5,3,1,2,-,10,10,7,-,2,1,-,-,5
100 to 399.............................................................................,15,4,-,-,-,1,-,1,-,1,-,1,-,2,1,2,-,1,-,-,-,1,-,-
"400 to 3,199..........................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",176,11,19,10,3,6,12,15,5,-,4,11,8,13,1,13,9,12,-,2,1,1,7,13
2017,178,12,13,7,5,7,7,25,5,1,10,10,-,26,1,10,3,20,1,-,1,3,6,5
"number, 2022","2,392",155,215,132,62,49,153,222,36,-,35,178,90,117,(D),276,103,124,-,(D),(D),(D),52,217
2017,"2,402",217,272,96,83,43,119,240,35,(D),50,113,-,317,(D),58,68,204,(D),-,(D),46,120,233
"Broilers and other meat-type chickens                         farms, 2022",131,16,5,3,3,1,2,14,5,2,9,15,4,-,-,12,6,10,-,1,3,9,5,6
2017,146,2,6,15,8,3,1,19,5,11,2,2,10,17,4,11,5,11,2,2,1,2,6,1
"number, 2022","3,813",371,71,64,37,(D),(D),480,127,(D),263,325,21,-,-,467,51,118,-,(D),(D),212,125,80
2017,"5,009",(D),260,181,161,80,(D),"1,361",236,174,(D),(D),229,606,37,309,78,195,(D),(D),(D),(D),54,(D)
"Turkeys                                                                              farms, 2022",129,18,4,7,3,3,-,13,3,3,5,10,5,4,2,16,2,9,-,6,1,10,5,-
2017,142,10,12,11,-,3,1,9,9,4,1,14,11,17,-,13,3,5,-,-,1,15,2,1
"number, 2022",928,176,65,20,8,13,-,93,(D),24,16,46,16,12,(D),156,(D),26,-,18,(D),96,20,-
2017,865,12,54,42,-,13,(D),90,48,12,(D),51,85,101,-,173,19,30,-,-,(D),70,(D),(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",359,16,24,27,2,12,4,28,24,5,12,44,7,42,1,30,17,19,-,3,4,20,4,14
2017,424,31,45,22,3,9,10,28,33,28,18,29,20,32,1,27,10,27,14,9,1,12,3,12
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022",739,49,49,49,7,29,24,83,38,8,29,65,30,44,5,69,36,35,11,6,8,15,25,25
2017,828,53,71,60,13,28,13,68,46,24,28,54,41,66,3,97,17,52,26,12,5,13,23,15
"Layers sold                                                                        farms, 2022",122,9,1,10,-,6,-,8,8,1,5,16,15,-,2,8,9,2,5,-,3,-,12,2
2017,184,3,19,16,5,9,1,14,7,4,8,20,13,10,-,22,2,7,4,-,1,2,8,9
"number, 2022","3,772",62,(D),161,-,780,-,37,137,(D),378,246,88,-,(D),169,63,(D),52,-,69,-,"1,279",(D)
