"","GID_2","value"
"1","USA.4.1_1",6732
"2","USA.4.2_1",62
"3","USA.4.3_1",67
"4","USA.4.4_1",434
"5","USA.4.5_1",198
"6","USA.4.6_1",42
"7","USA.4.7_1",21
"8","USA.4.8_1",248
"9","USA.4.9_1",13
"10","USA.4.10_1",49
"11","USA.4.11_1",38
"12","USA.4.12_1",110
"13","USA.4.13_1",63
"14","USA.4.14_1",40
"15","USA.4.15_1",135
"16","USA.4.16_1",30
"17","USA.4.17_1",128
"18","USA.4.18_1",24
"19","USA.4.19_1",17
"20","USA.4.20_1",15
"21","USA.4.21_1",8
"22","USA.4.22_1",49
"23","USA.4.23_1",177
"24","USA.4.24_1",113
"25","USA.4.25_1",124
"26","USA.4.26_1",70
"27","USA.4.27_1",67
"28","USA.4.28_1",67
"29","USA.4.29_1",163
"30","USA.4.30_1",97
"31","USA.4.31_1",153
"32","USA.4.32_1",148
"33","USA.4.33_1",83
"34","USA.4.34_1",24
"35","USA.4.35_1",36
"36","USA.4.36_1",120
"37","USA.4.37_1",44
"38","USA.4.38_1",53
"39","USA.4.39_1",0
"40","USA.4.40_1",48
"41","USA.4.41_1",61
"42","USA.4.42_1",205
"43","USA.4.43_1",89
"44","USA.4.44_1",206
"45","USA.4.45_1",60
"46","USA.4.46_1",45
"47","USA.4.47_1",5
"48","USA.4.48_1",0
"49","USA.4.49_1",53
"50","USA.4.50_1",79
"51","USA.4.51_1",59
"52","USA.4.52_1",34
"53","USA.4.53_1",57
"54","USA.4.54_1",4
"55","USA.4.55_1",87
"56","USA.4.56_1",5
"57","USA.4.57_1",110
"58","USA.4.58_1",174
"59","USA.4.59_1",17
"60","USA.4.60_1",99
"61","USA.4.61_1",171
"62","USA.4.62_1",4
"63","USA.4.63_1",61
"64","USA.4.64_1",85
"65","USA.4.65_1",81
"66","USA.4.66_1",167
"67","USA.4.67_1",126
"68","USA.4.68_1",123
"69","USA.4.69_1",71
"70","USA.4.70_1",46
"71","USA.4.71_1",90
"72","USA.4.72_1",439
"73","USA.4.73_1",244
"74","USA.4.74_1",3
"75","USA.4.75_1",184
"76","USA.3.1_1",841
"77","USA.3.2_1",195
"78","USA.3.3_1",353
"79","USA.3.4_1",38
